threat_class,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
high,attention_full_1500k,attention_full_1500k,reference,286,0.6083916083916084,0.3916083916083916,0.0,0.5734265734265734,0.959865501423297,1.4829664166782286,33.95132442228495,110.72027972027972,22.144055944055943,0.8104870593943796,4.861095004094796,0.9364870186973285,40.92307692307692,6.72027972027972,1.4617966062463275,0.12443184737967858,0.9534240776633883,0,0.0,0.0,0.0,0
high,cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,275,0.03636363636363636,0.06909090909090909,0.8945454545454545,0.22181818181818183,0.9256311968460655,4.793551997379823,7.089371549747082,478.32363636363635,95.66472727272728,1.7343784087354486,3.9708557230551884,1.735163657881997,139.22545454545454,6.781818181818182,0.9999999843421452,1.2078677844997336,1.9999618981101297,0,0.0,0.0,0.0,0
high,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,280,0.06785714285714285,0.039285714285714285,0.8928571428571429,0.26071428571428573,0.9018800475750751,4.5320214885686125,12.433291793542836,479.50357142857143,95.90071428571429,1.8093049707423363,4.092482877817669,1.8337894595361182,131.88571428571427,6.75,0.9999999832216883,0.9666055422640915,1.9999240675142833,0,0.0,0.0,0.0,0
high,cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,277,0.061371841155234655,0.08303249097472924,0.855595667870036,0.2563176895306859,0.9245850048637809,4.378779503305036,9.611160982233699,475.1046931407942,95.02093862815885,1.6797005850485516,3.8809229271464427,1.7085067699747396,134.1119133574007,6.750902527075812,0.9999999844396511,1.1053608627502032,1.9999661230438452,0,0.0,0.0,0.0,0
high,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,277,0.6750902527075813,0.3249097472924188,0.0,0.6750902527075813,0.850418071058658,5.284512924803724,31.138826485512542,94.51624548736461,18.903249097472923,0.8188766274426388,2.8411915166013153,0.8307262985069399,34.3971119133574,6.675090252707581,0.9999999856434062,0.25689528028493314,1.8085414634930097,0,0.0,0.0,0.0,0
high,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,283,0.7137809187279152,0.2862190812720848,0.0,0.7137809187279152,0.8991022148310926,3.637258582422674,33.26384540376017,104.886925795053,20.977385159010602,0.835753616300994,2.7538980919609255,0.8523347119771129,38.59363957597173,6.696113074204947,0.9999999847223281,0.2968088801516609,1.8418518341682826,0,0.0,0.0,0.0,0
high,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",284,0.11267605633802817,0.0880281690140845,0.7992957746478874,0.2640845070422535,0.9306965405238647,3.907995335023168,10.861348980282713,461.7112676056338,92.34225352112676,1.5789752615694428,3.714677330243021,1.6061721346013142,131.65140845070422,6.75,0.9999999841488364,1.1162998095561296,1.9998552366881304,0,0.0,0.0,0.0,0
high,random,random,reference,295,0.0,0.0,1.0,0.030508474576271188,0.08841998987812748,31.45759236610542,-13.484192724156019,500.0,100.0,3.57882166757422,7.212714855807515,3.6150034524626653,100.97966101694915,6.705084745762712,0.7750971097936317,1.0574596091631738,2.42240568581274,0,0.0,0.0,0.0,0
high,straight_line,straight_line,reference,295,0.02711864406779661,0.9728813559322034,0.0,0.02711864406779661,0.3386300332743488,22.490131897239362,1.8893262509572293,29.603389830508476,5.920677966101695,0.4988573983943058,3.8540325061656997,0.5687518761193349,11.11864406779661,6.711864406779661,0.9999999783859158,3.421808814554013e-08,1.0066830247593563e-07,0,0.0,0.0,0.0,0
high,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,safety_filter,269,0.8475836431226765,0.1524163568773234,0.0,0.724907063197026,0.9879282947384449,0.7029910606079385,39.06962503301657,145.0557620817844,29.01115241635688,1.1748708948548399,4.490030055663869,1.2052798801859959,52.69144981412639,6.728624535315985,1.3376685007799634,0.2076559114433546,1.3952933795833233,1,0.3478355266450428,0.23788709308555317,1.4054642762836471,0
