baseline_name,config_name,success_rate,collision_rate,near_miss_rate,progress_mean,episode_min_distance_mean,mean_action_delta,filter_trigger_rate,is_pareto_success_collision,is_pareto_progress_collision,rank_score,episodes,baseline_category
vo_like_filter,vo_like_filter_h45_cpa1p2_h16,0.8333333333333334,0.16666666666666666,0.72,0.987975154553813,1.154640065530936,0.20969612961297096,0.35089521955741826,1,1,0.3375950309107626,300,safety_filter
vo_like_filter,vo_like_filter_h45_cpa1p5_h16,0.7066666666666667,0.27666666666666667,0.35333333333333333,0.9879083184493468,1.1125054294615984,0.22729342331436708,0.44086002264459845,0,0,0.17424833035653603,300,safety_filter
cpa_reactive_sweep,cpa_reactive_d5,0.06666666666666667,0.043333333333333335,0.2733333333333333,0.9060392831133264,1.781223299925526,0.9625574483697553,0.0,1,1,0.024541189955998605,300,cpa_reactive_sweep
random,random,0.0,0.0,0.03,0.0889230732826078,3.584475581248601,1.057906126734958,0.0,1,1,0.0027846146565215606,300,reference
cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,0.72,0.28,0.72,0.8963958647509671,0.8400688154498736,0.29851321630188243,0.0,0,0,-0.020720827049806628,300,apf
current_cpa_reactive,cpa_reactive_current,0.11333333333333333,0.09666666666666666,0.26666666666666666,0.9332210138574023,1.561236172169447,1.1101426722122933,0.0,1,1,-0.026689130561852847,300,"reference,cpa_reactive_sweep"
cpa_reactive_sweep,cpa_reactive_cpa30,0.03333333333333333,0.07666666666666666,0.23,0.9300151411436698,1.715386128326257,1.2010151666893556,0.0,0,1,-0.048996971771266024,300,cpa_reactive_sweep
cpa_reactive_sweep,cpa_reactive_w28,0.06333333333333334,0.09,0.26,0.9275579516321831,1.673681342601776,1.1037824167948045,0.0,0,0,-0.061155076340230013,300,cpa_reactive_sweep
cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,0.6866666666666666,0.31333333333333335,0.6866666666666666,0.8556935907467544,0.8204568370183309,0.26257156558080724,0.0,0,0,-0.1121946151839825,300,apf
attention_full_1500k,attention_full_1500k,0.61,0.39,0.5766666666666667,0.9572205441305308,0.812980044707656,0.12426815078862209,0.0,0,0,-0.2668892245072272,300,reference
straight_line,straight_line,0.02666666666666667,0.9733333333333334,0.02666666666666667,0.33686516619713763,0.49710603250811497,3.4192587311832425e-08,0.0,0,0,-1.865960300093906,300,reference
