stage,baseline_name,config_name,scenario,episode_id,episode_seed,failure_type,success,collision,near_miss,progress,episode_min_distance,min_distance_after_threat,threat_class,motion_mode,planned_cpa,planned_ttc,filter_used,filter_trigger_rate,mean_filter_delta_norm
b2_formal,straight_line,straight_line,eval_flow_high_density,9,1009,collision,0,1,0,0.2373760377388117,0.0445050857961177,0.0445050857961177,high,linear,0.5255815736422803,7.583107407532159,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_speed,36,1036,collision,0,1,0,0.9749451805563534,0.0639794692397117,0.0639794692397117,medium,ar1_velocity,1.5775697328536102,0.8,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,eval_flow_high_speed,1,1001,collision,0,1,0,0.972678363097909,0.0787887275218963,0.0787887275218963,high,linear,0.4966499146250206,0.8,1,0.4541484716157205,0.2688432435899582
b2_formal,cpa_reactive_sweep,cpa_reactive_d5,eval_flow_sudden_threat,47,1047,collision,0,1,0,0.982545836322297,0.0851534977555275,0.0851534977555275,high,ar1_velocity,0.6041041557952646,3.017283729550001,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,eval_flow_high_threat,40,1040,collision,0,1,0,1.0,0.1186348274350166,0.1186348274350166,high,ar1_velocity,0.3907280607804555,0.8,1,0.2972972972972973,0.2164982790882523
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_speed,26,1026,collision,0,1,0,0.8443409793709771,0.1192637383937835,0.1192637383937835,high,accel_decel,0.3659930451844984,4.335385618728862,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,eval_flow_high_density,11,1011,collision,0,1,0,0.9562823011003828,0.1310468167066574,0.1310468167066574,high,sinusoidal_lateral,0.4231801935778314,4.138576417449814,1,0.7660256410256411,0.6461838111520196
b2_formal,straight_line,straight_line,eval_flow_high_speed,0,1000,collision,0,1,0,0.155106206065831,0.1412393450736999,0.1412393450736999,high,accel_decel,0.4687952004202452,3.576438068816352,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_sudden_threat,9,1009,collision,0,1,0,0.8781283016413153,0.1431169807910919,0.1431169807910919,high,crossing_or_sudden_threat,0.388755058606974,4.236368952074788,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_speed,16,1016,collision,0,1,0,0.978511708330968,0.1457768082618713,0.1457768082618713,high,linear,0.4036134723800134,4.410415567646634,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,44,1044,collision,0,1,0,0.1785680158703099,0.1473744958639145,0.1473744958639145,high,linear,0.3538473116118849,3.099361840193449,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,24,1024,collision,0,1,0,0.2727454532093293,0.1512028723955154,0.1512028723955154,high,sinusoidal_lateral,0.4817130255335856,4.421508534607018,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,39,1039,collision,0,1,0,0.1786348495967829,0.1534177213907241,0.1534177213907241,high,sinusoidal_lateral,0.4123135338936055,2.606615478403536,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,9,1009,collision,0,1,0,0.2020943060917315,0.1554217189550399,0.1554217189550399,high,accel_decel,0.3508623376299342,4.214105090188161,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,18,1018,collision,0,1,0,0.1903550259651572,0.156449407339096,0.156449407339096,high,ar1_velocity,0.5233237701614631,4.458590917384072,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_id,9,1009,collision,0,1,0,0.7687063286085047,0.1609807163476944,0.1609807163476944,high,accel_decel,0.4395699782588546,7.49242013096209,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_threat,35,1035,collision,0,1,0,0.5314999001030605,0.1649577766656875,0.6832844018936157,high,linear,0.3931290167669241,5.311089667173773,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_density,35,1035,collision,0,1,0,0.8867372313369688,0.1862474232912063,0.1862474232912063,high,sinusoidal_lateral,0.3814844621072709,4.032766866540761,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_density,16,1016,collision,0,1,0,0.2139219010041931,0.1882686465978622,0.1882686465978622,high,linear,0.5410418491292468,6.877354208736964,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_sudden_threat,27,1027,collision,0,1,0,0.908997974971505,0.1909927725791931,0.1909927725791931,high,crossing_or_sudden_threat,0.7781819725511345,6.133215363421963,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,17,1017,collision,0,1,0,0.2844082083464974,0.1936267763376236,0.1936267763376236,high,linear,0.4892925043198047,4.831856970241756,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_density,44,1044,collision,0,1,0,0.2373692446798392,0.1948148161172866,0.1948148161172866,high,linear,0.3538473116118849,4.098814846073548,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,eval_flow_high_speed,22,1022,collision,0,1,0,0.9830955164467262,0.1991482377052307,0.1991482377052307,high,ar1_velocity,0.888606601084866,3.870406591867364,1,0.396694214876033,0.232434054051549
b2_formal,straight_line,straight_line,eval_flow_sudden_threat,22,1022,collision,0,1,0,0.2139268171730793,0.2015941441059112,0.2015941441059112,high,linear,0.4797676887125333,3.6576421332569335,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_threat,27,1027,collision,0,1,0,0.9124674168326328,0.2098943144083023,0.2098943144083023,high,linear,0.44470337451336,6.157349074876782,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_threat,36,1036,collision,0,1,0,0.9822330474853516,0.2126397043466568,0.2126397043466568,high,accel_decel,0.357001550304322,5.403344506760453,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_mixed_ood,11,1011,collision,0,1,0,0.2138991908388554,0.2202045172452926,0.2202045172452926,high,crossing_or_sudden_threat,0.4812157408560492,3.2920756941883083,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,40,1040,collision,0,1,0,0.2021493142996192,0.2238726019859314,0.2238726019859314,medium,crossing_or_sudden_threat,1.6210247464899417,2.7620835906673533,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_density,42,1042,collision,0,1,0,0.9740289027749962,0.2244692891836166,0.2244692891836166,high,ar1_velocity,0.4388895954344087,4.894572400365879,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_mixed_ood,36,1036,collision,0,1,0,0.1551063761991613,0.2307818979024887,0.2307818979024887,high,sinusoidal_lateral,0.3856461647192235,2.6377213573980827,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,eval_flow_high_density,10,1010,collision,0,1,0,0.6347805405051333,0.2352998256683349,0.2352998256683349,high,ar1_velocity,0.3947637539834298,7.443288019653773,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_sudden_threat,16,1016,collision,0,1,0,0.2609790215125253,0.2358593642711639,0.2358593642711639,high,sinusoidal_lateral,0.5382879611273097,7.457817739576481,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_density,37,1037,collision,0,1,0,0.1903964734973769,0.2414097040891647,0.2414097040891647,high,crossing_or_sudden_threat,0.7054376395478759,4.309382266186732,0,0.0,0.0
b2_formal,current_cpa_reactive,cpa_reactive_current,eval_flow_id,15,1015,collision,0,1,0,0.9804311670640546,0.2497410625219345,0.2497410625219345,high,ar1_velocity,0.9733547257548826,0.8,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_sudden_threat,48,1048,collision,0,1,0,0.2020968826261212,0.2502991855144501,0.2502991855144501,high,crossing_or_sudden_threat,0.4144489711288051,4.017364909417626,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_mixed_ood,43,1043,collision,0,1,0,0.805677312024069,0.250403493642807,0.250403493642807,high,crossing_or_sudden_threat,0.3919827837503319,5.609588194105386,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,eval_flow_sudden_threat,6,1006,collision,0,1,0,1.0,0.2523794770240783,0.2523794770240783,high,crossing_or_sudden_threat,0.4607868009424555,0.8,1,0.4409448818897638,0.3427274113330315
b2_formal,straight_line,straight_line,eval_flow_sudden_threat,33,1033,collision,0,1,0,0.2726698352611286,0.2528620958328247,0.2528620958328247,high,accel_decel,0.5185554256826368,4.909717533900822,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,8,1008,collision,0,1,0,0.1433220549808186,0.253520667552948,0.253520667552948,high,linear,0.4033138391070568,2.4960707145927583,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,7,1007,collision,0,1,0,0.249215181823924,0.2561038434505462,0.2561038434505462,high,sinusoidal_lateral,0.7142909595868985,3.690533535715408,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_id,36,1036,collision,0,1,0,0.578635664547191,0.2604614794254303,0.2604614794254303,high,linear,0.646407196167737,3.6393145472782633,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_threat,23,1023,collision,0,1,0,0.1785839449191928,0.2639553546905517,0.2639553546905517,high,linear,0.4545408657292824,3.105393057420307,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,eval_flow_high_threat,16,1016,collision,0,1,0,1.0,0.2646671533584595,0.2646671533584595,high,sinusoidal_lateral,0.5380220750660476,0.8,1,0.1018518518518518,0.056946059068044
b2_formal,straight_line,straight_line,eval_flow_mixed_ood,31,1031,collision,0,1,0,0.2374484506415243,0.2654486894607544,0.2654486894607544,high,ar1_velocity,0.3720338092722665,6.907852720573434,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_id,14,1014,collision,0,1,0,0.307963029556479,0.2679243981838226,0.2679243981838226,high,accel_decel,0.3798618336761625,4.933482955100535,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_cpa30,eval_flow_high_speed,37,1037,collision,0,1,0,0.981186413675183,0.2709347903728485,0.2709347903728485,high,accel_decel,0.4362515658783008,3.8314826100253048,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_speed,21,1021,collision,0,1,0,0.9604461107460002,0.2720776796340942,0.2720776796340942,high,sinusoidal_lateral,0.4265351208355513,4.65497314264196,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_id,10,1010,collision,0,1,0,0.3667603284854187,0.2763262987136841,0.2763262987136841,high,sinusoidal_lateral,0.9469158847699164,6.476506606296063,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_id,38,1038,collision,0,1,0,0.8951991289196651,0.2788589894771576,1.3753440380096436,high,linear,0.3678529361127034,7.276129953397895,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_speed,12,1012,collision,0,1,0,0.8165321415834572,0.2815272212028503,0.2815272212028503,high,accel_decel,0.4830747851363958,2.881892101328165,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_speed,32,1032,collision,0,1,0,0.8523522053460161,0.2819126844406128,0.2819126844406128,high,sinusoidal_lateral,0.5172569103897128,4.548153514705934,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_sudden_threat,9,1009,collision,0,1,0,0.9772179739390444,0.2905912697315216,0.2905912697315216,high,crossing_or_sudden_threat,0.7849290404852152,0.8,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,eval_flow_id,49,1049,collision,0,1,0,1.0,0.2910194396972656,0.6516170501708984,high,ar1_velocity,0.3599391066034195,7.305798462052162,1,0.3577235772357723,0.2916688623467112
b2_formal,cpa_reactive_sweep,cpa_reactive_cpa30,eval_flow_high_speed,28,1028,collision,0,1,0,0.9855333055847564,0.2920516729354858,0.2920516729354858,high,crossing_or_sudden_threat,0.5597945243799385,3.1376621232002893,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_high_threat,24,1024,collision,0,1,0,0.9866085578002404,0.2964802384376526,0.2964802384376526,high,sinusoidal_lateral,0.675342145115807,0.8,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d5,eval_flow_sudden_threat,22,1022,collision,0,1,0,0.9687817372787226,0.2976260483264923,0.2976260483264923,high,linear,0.6693543974597498,0.8,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,35,1035,collision,0,1,0,0.2491878395640567,0.3022532165050506,0.3022532165050506,high,sinusoidal_lateral,0.4028928465528686,3.888904446063691,0,0.0,0.0
b2_formal,current_cpa_reactive,cpa_reactive_current,eval_flow_mixed_ood,43,1043,collision,0,1,0,0.9756492049416048,0.3026565313339233,0.3026565313339233,high,ar1_velocity,0.611771975732194,0.8,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_speed,5,1005,collision,0,1,0,0.2256767724668635,0.3035916090011596,0.3035916090011596,high,ar1_velocity,0.4066002232910365,5.183489345041742,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_speed,24,1024,collision,0,1,0,0.946911615471738,0.3046463429927826,0.7709046006202698,high,ar1_velocity,0.5990487218120473,3.4469210602201343,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_threat,3,1003,collision,0,1,0,0.2492238493526683,0.3049533069133758,0.3049533069133758,high,accel_decel,0.3746959557645111,4.497770211164257,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_sudden_threat,45,1045,collision,0,1,0,0.6609334302185673,0.3095059990882873,0.3095059990882873,high,sinusoidal_lateral,0.3621900137916846,5.3935122668750575,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,eval_flow_high_density,7,1007,collision,0,1,0,1.0,0.3096408247947693,0.3096408247947693,high,ar1_velocity,0.604045091767939,0.8,1,0.2833333333333333,0.1384442607561747
b2_formal,straight_line,straight_line,eval_flow_high_threat,40,1040,collision,0,1,0,0.2374407183101483,0.309688925743103,0.309688925743103,high,ar1_velocity,0.4476130042680659,4.041375231373593,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_threat,49,1049,collision,0,1,0,0.9667382574880092,0.3097174763679504,0.3097174763679504,high,accel_decel,0.549534838299529,4.307032414691508,0,0.0,0.0
