model,split,samples,valid_labels,masked_mse,masked_smoothl1,gaussian_nll,mean_logvar,min_logvar,max_logvar
delta_only,train,228957,563471,0.19413040529630335,0.0702557544648262,0.09185664200181944,-0.029649430885910988,-3.7103025913238525,3.0
delta_only,val,49599,121725,0.20114381469278947,0.07146970342255997,0.09722377918208033,-0.028655756264925003,-3.4434125423431396,3.0
delta_only,test,48096,118325,0.18410978988305282,0.06677065474137944,0.0838048095836082,-0.02926282398402691,-3.1123311519622803,3.0
