model,split,samples,valid_labels,masked_mse,masked_smoothl1,gaussian_nll,mean_logvar,min_logvar,max_logvar
nll,train,228957,563471,0.19586461929153612,0.07103053330411847,-0.8060792011817123,-2.440276861190796,-5.0,0.9856181144714355
nll,val,49599,121725,0.20318341720579047,0.07237922525839575,-0.7902362577855022,-2.452321767807007,-5.0,0.9077584743499756
nll,test,48096,118325,0.18598122786886997,0.06762798680698888,-0.813543881885293,-2.4363322257995605,-5.0,0.9648754000663757
