split,horizon_sec,direction,bin,std_low,std_high,count,mean_predicted_std,mean_abs_projected_error,pct_abs_z_lt_1,pct_abs_z_lt_2
train,1.0,x_axis,0,0.08208499848842621,0.1717631071805954,41803,0.15389740467071533,0.14303749799728394,0.6477764753725809,0.8647226275626151
train,1.0,x_axis,1,0.1717631071805954,0.19261838495731354,41803,0.18260173499584198,0.11282520741224289,0.7858766117264311,0.9516302657703992
train,1.0,x_axis,2,0.19261838495731354,0.21166245639324188,41803,0.20203836262226105,0.10619419068098068,0.8330981030069612,0.9706958830705931
train,1.0,x_axis,3,0.21166245639324188,0.23295514285564423,41803,0.22184674441814423,0.09963817894458771,0.8753199531134129,0.9826806688515178
train,1.0,x_axis,4,0.23295514285564423,0.47744423151016235,41804,0.25230658054351807,0.10107890516519547,0.8966366854846426,0.9913166204190986
train,1.0,y_axis,0,0.08208499848842621,0.14989979565143585,41803,0.1337340772151947,0.09767862409353256,0.7932445039829678,0.9064181996507428
train,1.0,y_axis,1,0.14989979565143585,0.16820509731769562,41803,0.15939685702323914,0.08882127702236176,0.8519962682104155,0.934645838815396
train,1.0,y_axis,2,0.16820509731769562,0.18544933199882507,41803,0.17674827575683594,0.0841033011674881,0.8744826926297156,0.9446929646197642
train,1.0,y_axis,3,0.18544933199882507,0.20428338646888733,41803,0.19448009133338928,0.08152704685926437,0.8886204339401479,0.9500514317154272
train,1.0,y_axis,4,0.20428338646888733,0.42263540625572205,41804,0.2223375141620636,0.07356871664524078,0.9192421777820304,0.9670366472107932
train,1.0,radial_xy,0,0.08208499103784561,0.16878582537174225,41803,0.1509849578142166,0.1486055850982666,0.6244288687414778,0.8584551347989379
train,1.0,radial_xy,1,0.16878582537174225,0.1895919144153595,41803,0.179621160030365,0.11806006729602814,0.7679831591034136,0.945434538191039
train,1.0,radial_xy,2,0.1895919144153595,0.20843784511089328,41804,0.19890008866786957,0.1097673624753952,0.818821165438714,0.9666539087168692
train,1.0,radial_xy,3,0.20843784511089328,0.23006105422973633,41802,0.21876399219036102,0.10416501015424728,0.8638103440026793,0.9788048418735945
train,1.0,radial_xy,4,0.23006105422973633,0.47679632902145386,41804,0.2499251514673233,0.10156162083148956,0.8930485121041049,0.9894268491053487
train,1.0,rel_velocity_xy,0,0.08208499103784561,0.15397630631923676,41803,0.13901600241661072,0.12913553416728973,0.677798244145157,0.8683587302346721
train,1.0,rel_velocity_xy,1,0.15397630631923676,0.17191024124622345,41803,0.16329024732112885,0.10832828283309937,0.7927182259646437,0.9283305025955075
train,1.0,rel_velocity_xy,2,0.17191024124622345,0.18852272629737857,41804,0.18019983172416687,0.10305406898260117,0.8276002296430963,0.9437613625490384
train,1.0,rel_velocity_xy,3,0.18852272629737857,0.2070118635892868,41802,0.19736512005329132,0.09659252315759659,0.8599588536433663,0.952322855365772
train,1.0,rel_velocity_xy,4,0.2070118635892868,0.4226900041103363,41804,0.22529201209545135,0.09043671190738678,0.8970911874461774,0.9696679743565209
train,1.0,error_direction_diag_only,0,0.08208498358726501,0.1628704071044922,41803,0.14567089080810547,0.21145915985107422,0.4792718225964644,0.7470994904671914
train,1.0,error_direction_diag_only,1,0.1628704071044922,0.1834486573934555,41803,0.17342039942741394,0.17402610182762146,0.6365811066191421,0.8680238260411932
train,1.0,error_direction_diag_only,2,0.1834486573934555,0.20225358009338382,41804,0.19278854131698608,0.16513949632644653,0.6936178356138168,0.906085542053392
train,1.0,error_direction_diag_only,3,0.20225358009338382,0.22423554956912994,41802,0.2128795087337494,0.14792200922966003,0.7718530213865366,0.9408401511889384
train,1.0,error_direction_diag_only,4,0.22423554956912994,0.4710903465747833,41804,0.24488773941993713,0.13662995398044586,0.8281504162281121,0.9759831595062674
train,2.0,x_axis,0,0.21460627019405365,0.3934312164783478,38593,0.36497557163238525,0.3315957188606262,0.6385095742751277,0.8805223745238774
train,2.0,x_axis,1,0.3934312164783478,0.41800662875175476,38593,0.40646418929100037,0.24424779415130615,0.8068043427564584,0.9611069364910735
train,2.0,x_axis,2,0.41800662875175476,0.43923014402389526,38593,0.42874693870544434,0.2349376380443573,0.8287772393957453,0.9721192962454331
train,2.0,x_axis,3,0.43923014402389526,0.4626457989215851,38593,0.4503192901611328,0.2368883639574051,0.8409556137123313,0.9787008006633328
train,2.0,x_axis,4,0.4626457989215851,0.7458176612854004,38594,0.49344903230667114,0.3769943118095398,0.6919210239933669,0.9565217391304348
train,2.0,y_axis,0,0.2330884039402008,0.4737793803215027,38593,0.44849660992622375,0.24336101114749908,0.8433394657062162,0.9387712797657606
train,2.0,y_axis,1,0.4737793803215027,0.49861982464790344,38593,0.4868924021720886,0.2500077486038208,0.8501800844712771,0.9345736273417459
train,2.0,y_axis,2,0.49861982464790344,0.5196316838264465,38592,0.5091440677642822,0.23367686569690704,0.8646092454394693,0.9428638059701493
train,2.0,y_axis,3,0.5196316838264465,0.5417966842651367,38594,0.5304147601127625,0.2344312220811844,0.8690988236513447,0.9440845727315127
train,2.0,y_axis,4,0.5417966842651367,0.8178986310958862,38594,0.5613947510719299,0.19361183047294617,0.9030937451417319,0.9638026636264705
train,2.0,radial_xy,0,0.2274520844221115,0.4049946069717407,38593,0.37711891531944275,0.3328004777431488,0.6453242816054725,0.8972611613505039
train,2.0,radial_xy,1,0.4049946069717407,0.4283999502658844,38593,0.4172057807445526,0.2642040252685547,0.7851942062031975,0.9588267302360531
train,2.0,radial_xy,2,0.4283999502658844,0.44942203164100647,38592,0.43892332911491394,0.2598625421524048,0.7998808043117744,0.9679726368159204
train,2.0,radial_xy,3,0.44942203164100647,0.4720907211303711,38594,0.4601791501045227,0.26014968752861023,0.8201015701922578,0.972534590869047
train,2.0,radial_xy,4,0.4720907211303711,0.7459925413131714,38594,0.49960997700691223,0.3727492690086365,0.7037622428356739,0.9585168679069286
train,2.0,rel_velocity_xy,0,0.23578840494155884,0.46466025710105896,38593,0.42547735571861267,0.3311504125595093,0.7136527349519343,0.9258414738424067
train,2.0,rel_velocity_xy,1,0.46466025710105896,0.49255985021591187,38593,0.4795074462890625,0.2861323952674866,0.8249423470577566,0.937346150856373
train,2.0,rel_velocity_xy,2,0.49255985021591187,0.5149843692779541,38593,0.5038757920265198,0.2686087191104889,0.845904697743114,0.9469333817013448
train,2.0,rel_velocity_xy,3,0.5149843692779541,0.538191020488739,38593,0.5263288617134094,0.2659206688404083,0.8559324229782603,0.9461042157904284
train,2.0,rel_velocity_xy,4,0.538191020488739,0.8122620582580566,38594,0.5578044056892395,0.2365899682044983,0.8865626781364979,0.9606674612634089
