method,seed,episode,episode_seed,step,time,turn_step,has_turned,turning_obstacle_id,success,collision,min_distance,episode_min_distance,R_max,R_sum,R_bar,risk_turn,sigma_turn_x,sigma_turn_y,sigma_turn_z,sigma_turn_trace,mu_turn_x,mu_turn_y,mu_turn_z,dist_turn,rel_speed_turn,w_risk_turn,risk_rank_turn,action_x,action_y,action_z,v_des_norm,deviation_lateral
risk_full_rbar,2,19,21019,1,0.2,15,False,-1,0,0,1.468969464302063,1.468969464302063,0.8322510123252869,0.8322510123252869,0.6816828419735281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.2365221232175827,-1.0,2.8677117824554443,1.9992237091064453
risk_full_rbar,2,19,21019,2,0.4,15,False,-1,0,0,1.0057685375213623,1.0057685375213623,0.814547061920166,0.814547061920166,0.6720910100627857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.4479811191558838,-1.0,2.966942548751831,2.2151095867156982
risk_full_rbar,2,19,21019,3,0.6000000000000001,15,False,-1,0,0,0.8578444719314575,0.8578444719314575,0.005911695770919323,0.005911695770919323,0.005911626904277974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.5300799608230591,-1.0,3.0205860137939453,2.3472321033477783
risk_full_rbar,2,19,21019,4,0.8,15,False,-1,0,0,1.1103498935699463,0.8578444719314575,6.475554314988585e-09,6.476669867083729e-09,6.476669867083729e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.29234543442726135,-0.6827089190483093,2.4912304878234863,1.6019418239593506
risk_full_rbar,2,19,21019,5,1.0,15,False,-1,0,0,1.2117260694503784,0.8578444719314575,0.007150806020945311,0.007158155087381601,0.007158032830544854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.17831240594387054,-0.421894907951355,2.1998095512390137,1.07294762134552
risk_full_rbar,2,19,21019,6,1.2000000000000002,15,False,-1,0,0,1.2192599773406982,0.8578444719314575,0.06437137722969055,0.0644954964518547,0.06440621835542513,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.12595795094966888,-0.2778608202934265,2.0910017490386963,0.8064634203910828
risk_full_rbar,2,19,21019,7,1.4000000000000001,15,False,-1,0,0,1.2353664636611938,0.8578444719314575,0.12700065970420837,0.12700457870960236,0.12632608785482644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0997844859957695,-0.2569698095321655,2.074599266052246,0.7684861421585083
risk_full_rbar,2,19,21019,8,1.6,15,False,-1,0,0,1.27842378616333,0.8578444719314575,0.15537574887275696,0.15537583827972412,0.1541374524840911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.07479318231344223,-0.30204516649246216,2.0945885181427,0.8449349999427795
risk_full_rbar,2,19,21019,9,1.8,15,False,-1,0,0,1.3467586040496826,0.8578444719314575,0.15549558401107788,0.15549582242965698,0.1542545838412891,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.04788307845592499,-0.3369251787662506,2.1126394271850586,0.9139692187309265
risk_full_rbar,2,19,21019,10,2.0,15,False,-1,0,0,1.4329041242599487,0.8578444719314575,0.13907842338085175,0.13907842338085175,0.13818858512886148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.02412167191505432,-0.3312654495239258,2.1074330806732178,0.9187718033790588
risk_full_rbar,2,19,21019,11,2.2,15,False,-1,0,0,1.84181547164917,0.8578444719314575,0.033586520701646805,0.033586520701646805,0.033573897257073604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.004606441594660282,-0.28474104404449463,2.0795178413391113,0.8524854183197021
risk_full_rbar,2,19,21019,12,2.4000000000000004,15,False,-1,0,0,1.7775428295135498,0.8578444719314575,0.006822562776505947,0.006822562776505947,0.006822456921041846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.004108903929591179,-0.12640978395938873,2.01593279838562,0.603150486946106
risk_full_rbar,2,19,21019,13,2.6,15,False,-1,0,0,1.8392808437347412,0.8578444719314575,0.0008054011268541217,0.0008054011268541217,0.0008054009527073887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,-0.008609676733613014,-0.04286842793226242,2.001910924911499,0.48295971751213074
risk_full_rbar,2,19,21019,14,2.8000000000000003,15,False,-1,0,0,2.1176185607910156,0.8578444719314575,4.166653525317088e-05,4.166653525317088e-05,4.166653522905845e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,-0.02333947829902172,-0.003171016927808523,2.0005548000335693,0.4295777380466461
