method,run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,reaction_time_eval_style,reaction_time_nan_style,reaction_time,min_distance_after_turn,nan_reaction_rate,no_response_count,total_episodes
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,750000,eval_random_switch,0.98,0.02,1.0090191709995269,0.6,6.588000000000001,21.849970063277766,0.0023391831918342866,0.00033202927559614,0.005577263253990161,0.009597264070662257,0.019477435334515483,0.09569554281162052,0.021009324788994338,0.3096532416446123,0.44518734419807626,0.6007137439528151,0.09350035519080191,0.02051257258558295,0.30217201815079786,0.43642583718612626,0.5880244296917363,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,750000,eval_sudden_turn,0.98,0.02,0.8848075723648071,0.84,6.540000000000001,21.725260067352902,0.002144583598937931,0.0,0.004547241357795418,0.010029787799539886,0.027849419307728277,0.10657839702442284,0.022951132105106232,0.31359282445162534,0.4875950891524553,0.682579076886177,0.10346811499446627,0.02253641815040257,0.2999773994274437,0.47366666980087757,0.6631506979465485,21.39591836734694,0.5904761904761906,21.39591836734694,1.4097187435626983,0.58,28.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,750000,eval_random_switch_hard,0.88,0.12,0.7696127611398696,0.98,5.920000000000001,18.35558347001787,0.01486503803183263,0.007043351354077452,0.032187949867256954,0.04659158916950213,0.07400706764959997,0.20692110158503055,0.11571091444686403,0.4545516459853388,0.6470316936075687,0.888671081662178,0.196441435739398,0.11251948207909773,0.42438990039518104,0.5982862131297588,0.8341900545358658,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,750000,mixed_uncertainty,0.98,0.02,0.9048961544036865,0.76,6.588000000000001,21.952771828422545,0.0017507224877361413,0.0,0.0045719349972568706,0.011629354094620768,0.023002590177375423,0.13348006142303345,0.046465809505443705,0.4060182347148657,0.49852775983512404,0.5949848873913288,0.13092208063229915,0.045788553361035114,0.4024908243864775,0.4905520962923765,0.5708486072719097,3.188,1.0297872340425536,3.188,0.9188152587413788,0.06,3.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,1000000,eval_random_switch,0.96,0.04,0.9562601071596145,0.82,6.528,21.32297130741935,0.002801338484059634,0.0,0.0066789052918829715,0.015497343711176628,0.03196939890665858,0.1294917775098541,0.019920059115692987,0.45963904004544054,0.593750776795523,0.711319191008106,0.12296740723674457,0.019051463443279897,0.4390186941809956,0.5741292486505972,0.6918624334402831,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,1000000,eval_sudden_turn,0.98,0.02,0.8342844641208649,0.98,6.536000000000001,21.71234372528239,0.002937068337596379,0.0,0.006360407454102396,0.015621438491652906,0.038715325524639355,0.14198831674177195,0.027760357843207108,0.44807824733899904,0.6320441887900233,0.7851589664071799,0.13543132319115098,0.026934535089176405,0.4258045199816115,0.6085466803237796,0.7590517991036176,8.893877551020408,0.7578947368421055,8.893877551020408,1.3743009734153748,0.24,11.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,1000000,eval_random_switch_hard,0.86,0.14,0.719417861700058,1.0,5.804000000000001,17.746387671609924,0.017523900797195843,0.0077305213548242956,0.03877390598966483,0.05789852303947551,0.0944251422750807,0.23859131103381515,0.13167776594755992,0.5773533898964525,0.7551726740598679,0.920499786734581,0.223462973292917,0.12719948445884227,0.5278408089652658,0.6946535076200963,0.8381389445066452,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,1000000,mixed_uncertainty,0.96,0.04,0.8870624363422394,0.84,6.568,21.535199123638108,0.002343106291630438,0.0,0.006407727700789083,0.01439244371184028,0.030311678624804054,0.13773800466791722,0.03571521200052299,0.45279644769616423,0.557664211820811,0.6579272989183664,0.13643333784071726,0.0344791994569243,0.4495973869878799,0.5557026426307857,0.6492712564021349,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.9017829191684723,0.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,1500000,eval_random_switch,1.0,0.0,0.981094217300415,0.7,6.712,22.454770156263912,0.001172677258600716,0.0,0.0025272137786941924,0.0077464625719403275,0.0165530403972404,0.09859732533648635,0.005449491247867798,0.3507206051869356,0.4894847756395984,0.6512697693338123,0.0960630476365986,0.005367992795170474,0.34151381769013045,0.4787151688109088,0.637129464708778,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,1500000,eval_sudden_turn,0.98,0.02,0.8609200847148896,0.84,6.556000000000001,21.701728912817252,0.002346898028772518,0.0,0.0041932551857644116,0.012309494388423404,0.032924010203260426,0.12602060075849292,0.02452900836339248,0.37290224955417217,0.5484669643640518,0.7355650120973587,0.12018339611589904,0.02450767762971955,0.35564731759019197,0.5188568434119225,0.7031353962421417,4.587755102040816,0.9045454545454548,4.587755102040816,1.314187649488449,0.12,5.0,50.0
