method,run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,reaction_time_eval_style,reaction_time_nan_style,reaction_time,min_distance_after_turn,nan_reaction_rate,no_response_count,total_episodes
attention_full,attention_full,0,250000,eval_random_switch,1.0,0.0,1.4078598785400391,0.1,7.252000000000001,22.413701185407636,8.020561275770555e-05,0.0,9.1907996684312e-05,0.00040208139693276746,0.0016062159528708222,0.018812705731979754,0.0005139145395361165,0.04784914118276898,0.0969721904992002,0.20644966577761806,0.018563702381798018,0.0004799954927988413,0.04632093224450269,0.09671011428084964,0.2061950529611204,,,,,1.0,0.0,50.0
attention_full,attention_full,0,250000,eval_sudden_turn,1.0,0.0,1.3336464941501618,0.1,7.204000000000001,22.318905888348343,2.0556786073481075e-05,0.0,0.0,3.2667201594447994e-05,0.0006066354064687795,0.020363410290847195,0.0003911727273997877,0.05046310417815956,0.0968340708278583,0.27284198649955216,0.020307260949011786,0.0003870046438132451,0.05035246706865845,0.0964850070648708,0.2723085732458276,0.20800000000000007,0.20800000000000007,0.20800000000000007,1.8546710646152496,0.0,0.0,50.0
attention_full,attention_full,0,250000,eval_random_switch_hard,0.96,0.04,0.9433984690904618,0.58,6.831999999999999,20.787078492918162,0.005315466407381541,0.0028615245223045337,0.011176167355806671,0.016074643344509223,0.026180862714879957,0.07914325622841713,0.04233770467766506,0.1382012560062867,0.26566840001381936,0.5983789095282555,0.07706235036253925,0.04156562333735048,0.1312820769754762,0.2543020712537691,0.5894000890851021,,,,,1.0,0.0,50.0
attention_full,attention_full,0,250000,mixed_uncertainty,0.92,0.08,0.9696304303407669,0.6,7.0520000000000005,20.677133060764312,0.002172177079978588,0.0,0.001055207737954326,0.011929350663140185,0.044840213825173884,0.07654406649883295,0.002399157600819199,0.3199446871377836,0.441314216506953,0.5674372761026462,0.07563764525643472,0.0023977279917071466,0.31797497156209603,0.43965919065224623,0.5540835785568197,0.3360000000000001,0.3360000000000001,0.3360000000000001,0.9699642068147659,0.0,0.0,50.0
attention_full,attention_full,0,500000,eval_random_switch,1.0,0.0,1.3811390066146851,0.1,7.132000000000001,22.405401270888092,0.00014524916925438136,0.0,0.000172820305451748,0.001091691986657676,0.002373023197431502,0.02055862268268778,0.002391560617921927,0.054625170328241206,0.10292751889558982,0.19719786581450535,0.020388749876396682,0.002387275219806965,0.05415053308596338,0.10256280998233247,0.19711749713735116,,,,,1.0,0.0,50.0
attention_full,attention_full,0,500000,eval_sudden_turn,1.0,0.0,1.166894315481186,0.22,7.047999999999999,22.300926296790344,0.00012488769145419505,0.0,0.0,0.00026478305856982606,0.0034484901066649935,0.02928819269931406,0.0014563627198612124,0.07313594527357051,0.15111675882129927,0.31623085828498004,0.029030299794976556,0.0014416900325197237,0.07180982073765331,0.14966034246026536,0.3152467573620379,1.8600000000000005,0.3958333333333334,1.8600000000000005,1.6133913862705231,0.04,2.0,50.0
attention_full,attention_full,0,500000,eval_random_switch_hard,0.98,0.02,0.9022164136171341,0.68,6.868,21.42871910683271,0.005492387734614088,0.003145763278007506,0.010447858704719681,0.020622993668544018,0.04046932059736468,0.07510463315993543,0.026151483808054033,0.17147800189690315,0.32685467023402454,0.6302929684519768,0.07315200323238966,0.02598656270442247,0.164423704353685,0.315342955365777,0.6239972832798958,,,,,1.0,0.0,50.0
attention_full,attention_full,0,500000,mixed_uncertainty,0.96,0.04,0.9886369866132736,0.6,7.168000000000001,21.45000864776675,0.002127145882022862,0.0,0.00495275550056248,0.011720488768132762,0.03669835034139871,0.06341297903010851,0.0017477768445767134,0.24914190754469018,0.3713262829440646,0.5057796538178809,0.06311681384133404,0.001738625853699688,0.24832903237256687,0.36719734656391667,0.5045858143572696,0.2200000000000001,0.2200000000000001,0.2200000000000001,0.9886369866132736,0.0,0.0,50.0
attention_full,attention_full,0,750000,eval_random_switch,1.0,0.0,1.1767279243469237,0.24,6.824000000000001,22.441990238255066,0.0001853626621414106,0.0,0.00030813309829682,0.0010707014876243136,0.0032276537867897926,0.03661562652104184,0.0013543113278966087,0.10598812066419316,0.19448635070364284,0.3375886804070254,0.03619919596948311,0.0012992344893380358,0.10470407524546875,0.1938616457466345,0.33592384336701825,,,,,1.0,0.0,50.0
attention_full,attention_full,0,750000,eval_sudden_turn,1.0,0.0,1.0404673862457274,0.42,6.780000000000001,22.359537202829987,0.0001931573798355991,0.0,0.0,0.00040640228335998005,0.005258727202940866,0.047715032272972115,0.002982949195220705,0.1355564685377203,0.2462167571671307,0.4435927970707417,0.04666607644408937,0.0026397409050890963,0.1291460778589271,0.2428062874265015,0.44021026119589807,11.424000000000001,0.4628571428571429,11.424000000000001,1.5330410277843476,0.3,15.0,50.0
