method,run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,reaction_time_eval_style,reaction_time_nan_style,reaction_time,min_distance_after_turn,nan_reaction_rate,no_response_count,total_episodes
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,100000,eval_random_switch,1.0,0.0,1.106597548723221,0.54,7.004000000000001,22.448928952838195,0.0009344728468567804,0.0,0.0025879563260241324,0.005594732083918625,0.011251485079649843,0.07859530468055365,0.0034941938337559,0.2765644865309628,0.38317279598485127,0.5633569462126252,0.07679408560789507,0.003440305637317573,0.2715651593780172,0.37984195658979386,0.5522727178311106,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,100000,eval_random_switch_hard,0.98,0.02,0.8861974900960923,0.78,7.039999999999999,21.487038786683353,0.004334415609822567,0.0010158217698335642,0.01363708561701058,0.02174200377368831,0.03372663224903809,0.11334880527108904,0.0391005440144703,0.3093693898025231,0.4808041452243924,0.8233721369504928,0.11039706982672211,0.03850818127679546,0.3038615033430688,0.4672254865244031,0.7971266943216324,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,100000,eval_sudden_turn,0.98,0.02,0.987859787940979,0.62,6.908000000000002,21.776494542984324,0.0009829936718596995,0.0,0.0008465199964120901,0.004459054534672735,0.018807890090982337,0.0815190362124849,0.0026041822088186876,0.25905318542703754,0.4161095936052152,0.6728770917229121,0.07919091324969482,0.002593113982405466,0.25451739785348765,0.4067037261358928,0.6493312376312679,0.4120000000000001,0.4120000000000001,0.4120000000000001,1.607356903553009,0.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,100000,mixed_uncertainty,0.94,0.06,0.8785365813970566,0.82,6.784,21.06061944974904,0.002624705759644676,0.0,0.005843119821031424,0.015859039318542583,0.04306915224132913,0.13752756139263508,0.022029944845288297,0.4944677739590406,0.6489658373594284,0.7908766289055348,0.1339340915344655,0.02169803085284769,0.485630598589778,0.634816693663597,0.7477379949390888,1.3920000000000001,0.6653061224489798,1.3920000000000001,0.8991129487752915,0.02,1.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,200000,eval_random_switch,1.0,0.0,1.6687223052978515,0.06,7.632000000000001,22.350750394823454,1.6203846746519777e-05,0.0,2.9065017588436e-05,6.0689604870276216e-05,0.00033470464861153336,0.01161037762032302,0.00021136489204356588,0.026149338913442545,0.05110161498739348,0.15822327361003974,0.01160225988760923,0.00020076349254116596,0.026144984527277773,0.05109030027569265,0.1582151182656364,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,200000,eval_random_switch_hard,1.0,0.0,1.0631800723075866,0.38,7.5680000000000005,22.03467027179668,0.001324250697027906,0.0,0.0033215112955076558,0.008066822904511342,0.018218309618773236,0.050579063044860914,0.012242374588218453,0.11672618303535266,0.2133883123541591,0.5972546994686126,0.04946368185803289,0.01223283978423238,0.11025823899167328,0.20410975770312917,0.5909668186306953,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,200000,eval_sudden_turn,1.0,0.0,1.3467360258102417,0.16,7.580000000000001,22.274685874697113,0.0001427826540788073,0.0,5.7555269449948e-05,0.0005538717240779023,0.003926261015474203,0.02103245232327022,2.6312492416399846e-05,0.05544417506524726,0.09956805480476756,0.2834716532108723,0.02072780164264255,2.6251734674210793e-05,0.05424993939357368,0.0987262808980449,0.281469573295617,0.2480000000000001,0.2480000000000001,0.2480000000000001,1.9044569301605225,0.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,200000,mixed_uncertainty,0.88,0.12,0.9206759840250015,0.72,7.651999999999999,19.674044534963002,0.0037061484182049466,0.0,0.006914428466188819,0.01663941935687942,0.06677067170542825,0.09170498571756067,0.0017334745671690208,0.3835029207849584,0.5568416773763238,0.7925795858820129,0.08839091052919679,0.0017190613603766582,0.37637083655736203,0.5436999872958403,0.7272207241972137,0.24000000000000007,0.24000000000000007,0.24000000000000007,0.9206759840250015,0.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,300000,eval_random_switch,1.0,0.0,1.4035872650146484,0.1,6.98,22.41012547629144,0.00028040491968567716,0.0,0.000487767867743968,0.0014712211595906378,0.003536959512546638,0.027345328758665844,0.001046369844821148,0.07552058765595399,0.12735607609938934,0.2670899102085605,0.026795806462897004,0.0010419220905053754,0.07334806846879979,0.12583357569383563,0.26412344887790823,,,,,1.0,0.0,50.0
risk_full_rbar,risk_Rgate8_lambda015_RbarFloor03,0,300000,eval_random_switch_hard,0.9,0.1,0.9041213780641556,0.66,6.26,18.96997429261121,0.013126327461995945,0.008459906831849362,0.025894618552410962,0.03225652867135066,0.05007003453891762,0.14025775179266925,0.09327609375039658,0.21669077215320612,0.3499047736171633,0.7287668240070343,0.13677280578762288,0.09219371947743987,0.20734216789918264,0.3343730468209833,0.7162550884485245,,,,,1.0,0.0,50.0
