training_seed,step_bin,episode_reward_mean,episode_reward_p25,episode_reward_p75,episode_length_mean,episodes,fps_mean,fps_min,recent_episode_reward_mean_last,heartbeat_rows
1,0,12.565253582491582,7.466119,14.63791825,167.65656565656565,594,,,,
1,100000,20.713275305483027,15.2173945,35.801105250000006,130.68537859007833,766,,,,
1,200000,23.840545220299884,16.769756,38.7573485,115.5916955017301,867,,,,
1,300000,23.848078479848866,17.169658,38.68689775,125.81738035264483,794,,,,
1,400000,26.49603052199762,17.840315,39.637221,118.67657550535077,841,,,,
1,500000,26.359061136,17.6556535,39.540315,114.376,875,,,,
1,600000,27.080138326991676,17.77276,40.077801,119.01070154577883,841,,,,
1,700000,27.920302866666667,18.1970335,40.255507249999994,118.86904761904762,840,,,,
1,800000,27.133199607623318,18.47352875,40.19225025,112.29372197309416,892,,,,
1,900000,28.523688620067645,19.123935,40.266963,112.84329199549042,887,,,,
1,1000000,29.345536018072288,19.045143,40.042567,120.25421686746988,830,,,,
1,1100000,30.30802250058617,19.592717,40.682549,117.27315357561548,853,,,,
1,1200000,29.32527441485714,19.560521,40.653360500000005,114.30971428571429,875,,,,
1,1300000,29.453685888762767,19.487104,40.768257,113.51191827468786,881,,,,
1,1400000,30.205632387134504,19.0114995,40.50148,116.96491228070175,855,,,,
1,1500000,29.119793599999998,19.369775,40.18382,124.32,25,,,,
1,-1,,,,,,243.16207471273947,241.90291457876853,32.09176022,20
2,0,13.67158191092437,7.7393245,15.959641000000001,167.2873949579832,595,,,,
2,100000,21.946606589147283,14.50924625,37.08334825,129.4315245478036,774,,,,
2,200000,25.591138016883114,16.91227875,38.0944225,129.87402597402598,770,,,,
2,300000,26.20553226699029,17.58717,38.53992975,121.22087378640776,824,,,,
2,400000,26.413497040740744,17.465008,38.909563500000004,123.68148148148148,810,,,,
2,500000,27.305443761904762,18.159186000000002,39.2956365,119.04166666666667,840,,,,
2,600000,28.240312229216155,18.4229145,39.51648725,118.80047505938242,842,,,,
2,700000,28.165703302270014,18.844064,40.046761,119.50776583034647,837,,,,
2,800000,29.017327113557357,19.4271375,40.5295545,115.80417149478563,863,,,,
2,900000,27.44398281447964,19.018710249999998,40.41402625,113.0972850678733,884,,,,
2,1000000,28.31088632934132,18.35208,40.2676025,119.74491017964071,835,,,,
2,1100000,27.611145694954132,18.447616500000002,40.08245525,114.71788990825688,872,,,,
2,1200000,28.612577147895333,19.066211,40.2073035,113.73606370875996,879,,,,
2,1300000,29.684665532871975,19.450580000000002,40.589882,115.37139561707036,867,,,,
2,1400000,28.8259997037037,19.303950750000002,40.58861625,115.72453703703704,864,,,,
2,1500000,28.5162015862069,19.608742,40.799676,111.27586206896552,29,,,,
2,-1,,,,,,242.92564657441488,241.76093920973568,29.79072168,20
