training_seed,method_key,checkpoint_label,obs_i_l2_p95,obs_i_l2_p95_nan_count,obs_i_l2_p95_inf_count,delta_hat_l2_p95,delta_hat_l2_p95_nan_count,delta_hat_l2_p95_inf_count,logvar_scaled_l2_p95,logvar_scaled_l2_p95_nan_count,logvar_scaled_l2_p95_inf_count,adapter_output_l2_p95,adapter_output_l2_p95_nan_count,adapter_output_l2_p95_inf_count,delta_norm_1s_p95,delta_norm_1s_max,logvar_xy_1s_span,inactive_forwarded_count,feature_nonfinite_count
0,p3_s0_1000k,1000k,1.8375301361083984,0,0,1.953041076660156,0,0,2.910872483253479,0,0,5.861423897743225,0,0,1.5686930418014526,2.5546724796295166,6.0074462890625,0.0,0
0,p3_s0_1500k,1500k,1.8581802248954773,0,0,1.9480666518211367,0,0,2.8901733398437504,0,0,6.097716426849365,0,0,1.572828233242034,2.4800875186920166,5.863854885101318,0.0,0
0,p3_s0_final,final,1.879308462142944,0,0,1.9220236301422118,0,0,2.9001060962677,0,0,6.0802342891693115,0,0,1.5421542525291443,2.479555606842041,5.86190938949585,0.0,0
1,p3_s1_1000k,1000k,1.8538911193609233,0,0,2.077013850212097,0,0,2.874893546104431,0,0,5.830886125564575,0,0,1.6758334636688232,2.942167282104492,5.757457733154297,0.0,0
1,p3_s1_1500k,1500k,1.878018856048584,0,0,2.1279812455177307,0,0,2.905470371246338,0,0,5.893699645996094,0,0,1.5848114669322966,2.5395514965057373,5.833878397941589,0.0,0
1,p3_s1_final,final,1.8902151584625244,0,0,2.1273233890533447,0,0,2.906712055206299,0,0,5.903834819793701,0,0,1.563576340675354,2.660485982894897,5.842333793640137,0.0,0
2,p3_s2_1000k,1000k,1.9147950768470765,0,0,2.1369560956954956,0,0,2.8999263048171997,0,0,6.019773960113525,0,0,1.7234991937875748,2.78084135055542,5.784618973731995,0.0,0
2,p3_s2_1500k,1500k,1.8677629232406616,0,0,2.105454921722412,0,0,2.881532669067383,0,0,6.168846368789673,0,0,1.6785614728927611,2.6923623085021973,5.861527442932129,0.0,0
2,p3_s2_final,final,1.871271532773971,0,0,2.089668035507202,0,0,2.87579950094223,0,0,6.177605152130127,0,0,1.6501191854476929,2.6471431255340576,5.86190938949585,0.0,0
