variant,step,base_scenario,risk_mean_time,wide_d2_mean_time,delta_mean_time,delta_near_miss,delta_min_distance,delta_collision,delta_success,delta_reaction,risk_pareto_positive
high_speed,250000,eval_accel_decel,8.436,8.728,-0.2919999999999998,0.039999999999999994,-0.30300652027130126,0.0,0.0,,True
high_speed,250000,eval_ar1,8.456000000000001,8.584,-0.12799999999999834,0.0,-0.22044057130813588,-0.02,0.020000000000000018,,False
high_speed,250000,eval_mixed_v2,9.304,9.091999999999999,0.21200000000000152,0.02,-0.7192025876045229,0.0,0.0,0.0,False
high_speed,250000,eval_random_switch,11.160000000000002,9.212,1.9480000000000022,0.04,-0.18237435698509197,0.02,-0.020000000000000018,,False
high_speed,250000,eval_random_switch_hard,16.163999999999998,8.88,7.283999999999997,0.27999999999999997,-0.32816152453422553,0.15999999999999998,-0.38,,False
high_speed,250000,eval_sinusoidal,8.564,8.648000000000001,-0.0840000000000014,0.04,-0.2536737310886381,0.0,0.0,,False
high_speed,250000,eval_sudden_turn,12.620000000000003,9.124,3.496000000000002,0.020000000000000004,-0.15646828055381778,0.02,-0.020000000000000018,0.0,False
high_speed,250000,eval_threat_validated_sudden,10.412,9.372,1.040000000000001,0.02,-0.3824831986427304,0.0,0.0,0.0,False
high_speed,500000,eval_accel_decel,8.164000000000001,9.44,-1.275999999999998,0.06,-0.5294762897491454,0.0,0.0,,False
high_speed,500000,eval_ar1,8.160000000000002,9.488000000000001,-1.3279999999999994,0.039999999999999994,-0.5111596584320066,0.0,0.0,,True
high_speed,500000,eval_mixed_v2,8.184000000000001,9.047999999999998,-0.8639999999999972,0.02,-0.5595295608043669,0.02,-0.020000000000000018,2.7755575615628914e-17,False
high_speed,500000,eval_random_switch,9.62,9.82,-0.20000000000000107,0.04000000000000001,-0.30255547285079953,-0.02,0.020000000000000018,,True
high_speed,500000,eval_random_switch_hard,9.315999999999999,10.052,-0.7360000000000007,0.24000000000000002,-0.3350672519207001,0.060000000000000005,-0.05999999999999994,,False
high_speed,500000,eval_sinusoidal,8.072000000000001,9.472,-1.3999999999999986,0.02,-0.49261749863624593,0.02,-0.020000000000000018,,False
high_speed,500000,eval_sudden_turn,9.824,9.783999999999999,0.040000000000000924,0.06,-0.21144001662731182,0.0,0.0,0.0,False
high_speed,500000,eval_threat_validated_sudden,9.164000000000001,9.184,-0.019999999999997797,-0.04,-0.2230369579792022,0.0,0.0,0.0,False
high_speed,750000,eval_accel_decel,8.548,8.796,-0.24799999999999933,0.02,-0.22254897713661204,0.0,0.0,,True
high_speed,750000,eval_ar1,8.52,8.82,-0.3000000000000007,0.02,-0.19345433831214898,0.0,0.0,,True
high_speed,750000,eval_mixed_v2,8.496,8.340000000000002,0.1559999999999988,0.0,0.025947452783584346,0.0,0.0,-0.028000000000000025,False
high_speed,750000,eval_random_switch,9.32,9.595999999999998,-0.275999999999998,0.020000000000000004,-0.06627726763486863,0.02,-0.020000000000000018,,False
high_speed,750000,eval_random_switch_hard,9.16,10.495999999999999,-1.3359999999999985,0.10000000000000003,-0.1514299696683883,0.0,0.0,,False
high_speed,750000,eval_sinusoidal,8.532000000000002,8.851999999999999,-0.31999999999999673,0.0,-0.18526696443557755,0.0,0.0,,True
high_speed,750000,eval_sudden_turn,9.584000000000001,9.512,0.07200000000000095,0.0,-0.019870343208312935,0.02,-0.020000000000000018,0.0,False
