split,horizon_sec,motion_mode_id,motion_mode,axis,count,mean,median,p10,p90,min,max
train,1.0,0,linear,x,38644,-4.920273623078053,-5.0,-5.0,-5.0,-5.0,-2.185905933380127
train,1.0,0,linear,y,38644,-4.569664242903449,-5.0,-5.0,-3.2930476188659665,-5.0,-1.9227014780044556
train,1.0,0,linear,z,38644,-4.989704226240733,-5.0,-5.0,-5.0,-5.0,-4.045034408569336
train,2.0,0,linear,x,36034,-4.799162493820903,-5.0,-5.0,-4.534426975250244,-5.0,-1.1677170991897583
train,2.0,0,linear,y,36034,-3.8978031671283917,-5.0,-5.0,-1.4157554149627685,-5.0,-0.170803964138031
train,2.0,0,linear,z,36034,-4.9354390387213005,-5.0,-5.0,-5.0,-5.0,-2.8810372352600098
train,4.0,0,linear,x,30881,-4.470555030539309,-5.0,-5.0,-2.9979135990142822,-5.0,-0.41668009757995605
train,4.0,0,linear,y,30881,-3.0461307747083044,-4.018715858459473,-5.0,0.28903281688690186,-5.0,1.7514268159866333
train,4.0,0,linear,z,30881,-4.840849755109968,-5.0,-5.0,-4.714285850524902,-5.0,-1.829445481300354
train,1.0,1,sinusoidal_lateral,x,58636,-4.837070700351193,-5.0,-5.0,-4.628467321395874,-5.0,-0.6107238531112671
train,1.0,1,sinusoidal_lateral,y,58636,-4.938408405527963,-5.0,-5.0,-5.0,-5.0,-1.919409155845642
train,1.0,1,sinusoidal_lateral,z,58636,-4.991909384914518,-5.0,-5.0,-5.0,-5.0,-3.997918128967285
train,2.0,1,sinusoidal_lateral,x,54710,-4.455262434473655,-5.0,-5.0,-2.664091205596924,-5.0,0.10216738283634186
train,2.0,1,sinusoidal_lateral,y,54710,-4.865804112672784,-5.0,-5.0,-5.0,-5.0,-0.22585299611091614
train,2.0,1,sinusoidal_lateral,z,54710,-4.956548070210335,-5.0,-5.0,-5.0,-5.0,-2.853424310684204
train,4.0,1,sinusoidal_lateral,x,46984,-4.021558749778889,-4.5264201164245605,-5.0,-2.0457863330841053,-5.0,-0.48169800639152527
train,4.0,1,sinusoidal_lateral,y,46984,-4.751250574764565,-5.0,-5.0,-5.0,-5.0,1.5364121198654175
train,4.0,1,sinusoidal_lateral,z,46984,-4.899275200136695,-5.0,-5.0,-5.0,-5.0,-1.8020284175872803
train,1.0,2,accel_decel,x,36257,-4.879955422573477,-5.0,-5.0,-4.945370292663574,-5.0,-2.2614026069641113
train,1.0,2,accel_decel,y,36257,-2.745205069218218,-2.716644048690796,-3.444225215911865,-2.0387195587158202,-5.0,-0.9148436784744263
train,1.0,2,accel_decel,z,36257,-4.98452906044773,-5.0,-5.0,-5.0,-5.0,-3.6792500019073486
train,2.0,2,accel_decel,x,32717,-4.491467453562827,-4.802213191986084,-5.0,-3.472760820388794,-5.0,-1.1841883659362793
train,2.0,2,accel_decel,y,32717,-0.8492896947944257,-0.7717120051383972,-1.6366945266723634,-0.10778528749942777,-5.0,0.8826528787612915
train,2.0,2,accel_decel,z,32717,-4.897008517663177,-5.0,-5.0,-4.780647468566895,-5.0,-2.5320513248443604
train,4.0,2,accel_decel,x,25735,-3.0513392768648266,-3.133472204208374,-3.8333997249603273,-2.009889841079712,-5.0,-0.36038821935653687
train,4.0,2,accel_decel,y,25735,0.6826156188252743,0.7750688195228577,-0.15934312343597412,1.4588712215423585,-5.0,2.609541177749634
train,4.0,2,accel_decel,z,25735,-4.729464144314843,-5.0,-5.0,-3.8974010944366433,-5.0,-1.847956895828247
train,1.0,3,ar1_velocity,x,43021,-3.8159486940223464,-3.7892143726348877,-4.7689619064331055,-2.9698662757873535,-5.0,-1.7350201606750488
train,1.0,3,ar1_velocity,y,43021,-3.735847860152844,-3.734698534011841,-4.491232872009277,-2.989382743835449,-5.0,-1.749620795249939
train,1.0,3,ar1_velocity,z,43021,-3.9064743256696928,-3.8871583938598633,-4.960660457611084,-3.0051496028900146,-5.0,-1.8410650491714478
train,2.0,3,ar1_velocity,x,39057,-2.2770658735230023,-2.2171740531921387,-3.0629960536956786,-1.5777438879013062,-4.9903411865234375,-0.5061336755752563
train,2.0,3,ar1_velocity,y,39057,-2.17896593134085,-2.1758687496185303,-2.9433922290802,-1.4034031867980952,-5.0,-0.05082646384835243
train,2.0,3,ar1_velocity,z,39057,-2.474604263675467,-2.382779836654663,-3.468309450149536,-1.6299978494644163,-5.0,-0.6634660959243774
train,4.0,3,ar1_velocity,x,31366,-0.9086500049840633,-0.8698466122150421,-1.5442562103271484,-0.3034450113773346,-3.5146117210388184,0.5274844169616699
train,4.0,3,ar1_velocity,y,31366,-0.7856535403007634,-0.796638011932373,-1.575825035572052,0.02847391925752163,-5.0,1.536907434463501
train,4.0,3,ar1_velocity,z,31366,-1.34797346489868,-1.219575822353363,-2.367142915725708,-0.5619321465492249,-5.0,0.2288919985294342
train,1.0,4,crossing_or_sudden_threat,x,32458,-4.811663155936513,-5.0,-5.0,-4.184233093261719,-5.0,-1.3139766454696655
train,1.0,4,crossing_or_sudden_threat,y,32458,-4.738896213953476,-5.0,-5.0,-3.5544614076614387,-5.0,-0.29609543085098267
train,1.0,4,crossing_or_sudden_threat,z,32458,-4.999385906445487,-5.0,-5.0,-5.0,-5.0,-4.537181377410889
train,2.0,4,crossing_or_sudden_threat,x,30448,-4.5986914084529324,-5.0,-5.0,-2.8076796293258677,-5.0,-0.21709923446178436
train,2.0,4,crossing_or_sudden_threat,y,30448,-4.553313771441884,-5.0,-5.0,-2.626958274841309,-5.0,-0.5451916456222534
train,2.0,4,crossing_or_sudden_threat,z,30448,-4.988076214461783,-5.0,-5.0,-5.0,-5.0,-3.5991604328155518
train,4.0,4,crossing_or_sudden_threat,x,26523,-4.345618331534144,-5.0,-5.0,-1.8652145624160774,-5.0,-0.3580470085144043
train,4.0,4,crossing_or_sudden_threat,y,26523,-4.293031210518641,-5.0,-5.0,-1.785712003707886,-5.0,1.0069677829742432
train,4.0,4,crossing_or_sudden_threat,z,26523,-4.961032886515555,-5.0,-5.0,-5.0,-5.0,-2.909618377685547
val,1.0,0,linear,x,8307,-4.9196370312980156,-5.0,-5.0,-5.0,-5.0,-2.2661781311035156
val,1.0,0,linear,y,8307,-4.553977898057796,-5.0,-5.0,-3.2299539566040036,-5.0,-1.7427376508712769
val,1.0,0,linear,z,8307,-4.989610188960512,-5.0,-5.0,-5.0,-5.0,-4.075511455535889
val,2.0,0,linear,x,7742,-4.793243049774574,-5.0,-5.0,-4.463001775741574,-5.0,-1.2465558052062988
val,2.0,0,linear,y,7742,-3.8898688459620208,-5.0,-5.0,-1.3616007328033446,-5.0,-0.00810728594660759
val,2.0,0,linear,z,7742,-4.933522002360088,-5.0,-5.0,-5.0,-5.0,-2.9000322818756104
val,4.0,0,linear,x,6622,-4.470076067863149,-5.0,-5.0,-2.996201992034911,-5.0,-0.553119421005249
val,4.0,0,linear,y,6622,-3.0500456426164395,-3.9906500577926636,-5.0,0.3466431200504306,-5.0,1.6130226850509644
val,4.0,0,linear,z,6622,-4.841444352122457,-5.0,-5.0,-4.722700834274291,-5.0,-1.8646835088729858
val,1.0,1,sinusoidal_lateral,x,12298,-4.84177250078605,-5.0,-5.0,-4.731996631622314,-5.0,-0.968529999256134
val,1.0,1,sinusoidal_lateral,y,12298,-4.938213846531897,-5.0,-5.0,-5.0,-5.0,-1.8546208143234253
val,1.0,1,sinusoidal_lateral,z,12298,-4.992245268833348,-5.0,-5.0,-5.0,-5.0,-4.064609050750732
val,2.0,1,sinusoidal_lateral,x,11497,-4.473771387171183,-5.0,-5.0,-2.7277688503265387,-5.0,-0.25909945368766785
val,2.0,1,sinusoidal_lateral,y,11497,-4.8656053068565885,-5.0,-5.0,-5.0,-5.0,-0.06965672969818115
val,2.0,1,sinusoidal_lateral,z,11497,-4.957775503218127,-5.0,-5.0,-5.0,-5.0,-2.97251033782959
val,4.0,1,sinusoidal_lateral,x,9909,-4.040411941386073,-4.535830497741699,-5.0,-2.103151512145996,-5.0,-0.6339998841285706
val,4.0,1,sinusoidal_lateral,y,9909,-4.754934553648983,-5.0,-5.0,-5.0,-5.0,1.5996410846710205
val,4.0,1,sinusoidal_lateral,z,9909,-4.901590813432167,-5.0,-5.0,-5.0,-5.0,-1.8864184617996216
val,1.0,2,accel_decel,x,7500,-4.871946844673157,-5.0,-5.0,-4.831444263458252,-5.0,-2.241894483566284
val,1.0,2,accel_decel,y,7500,-2.75453292093277,-2.72503662109375,-3.4589633464813234,-2.043880033493042,-5.0,-1.0272855758666992
val,1.0,2,accel_decel,z,7500,-4.983431222661336,-5.0,-5.0,-5.0,-5.0,-4.073034763336182
