split,horizon_sec,direction,count,mean_abs_z,std_z,pct_abs_z_lt_1,pct_abs_z_lt_2,projected_nll,corr_projected_std_abs_error,mean_projected_std,mean_abs_projected_error,scalar_std_trace_mean,scalar_std_max_mean
train,1.0,x_axis,209016,0.35185110569000244,0.5972571969032288,0.9077630420637655,0.9832548704405404,-2.144134521484375,0.5951227492860521,0.10503175109624863,0.04547563195228577,0.17924855649471283,0.1433204859495163
train,1.0,y_axis,209016,0.37808069586753845,0.6734645366668701,0.8948979982393692,0.9759539939526161,-1.8780198097229004,0.5899267961180907,0.13924461603164673,0.07029394060373306,0.17924855649471283,0.1433204859495163
train,1.0,radial_xy,209016,0.39319294691085815,0.6511187553405762,0.8910561870861561,0.9787863130095303,-2.0452306270599365,0.6062752399632522,0.112265944480896,0.05400685966014862,0.17924855649471283,0.1433204859495163
train,1.0,rel_velocity_xy,209016,0.4076443314552307,0.7004390954971313,0.8877167298197267,0.9741598729283882,-1.8572686910629272,0.5743093585800545,0.13923822343349457,0.0729517862200737,0.17924855649471283,0.1433204859495163
train,1.0,error_direction_diag_only,209016,0.5704571008682251,0.669506847858429,0.8163872622191602,0.9527356757377425,-1.7258329391479492,0.6070863816206533,0.13754191994667053,0.09673707187175751,0.17924855649471283,0.1433204859495163
train,2.0,x_axis,192966,0.5000025033950806,0.7627483010292053,0.8493361524828208,0.9715649389011536,-1.7622817754745483,0.6372019827784061,0.16009563207626343,0.09926702082157135,0.33351701498031616,0.2858700752258301
train,2.0,y_axis,192966,0.41013601422309875,0.7155375480651855,0.8831193059917292,0.9755034565674782,-1.4494434595108032,0.6362207741125246,0.2704556882381439,0.16623176634311676,0.33351701498031616,0.2858700752258301
train,2.0,radial_xy,192966,0.5214475393295288,0.7850334644317627,0.8382927562368501,0.9699584382741001,-1.5952962636947632,0.6174226762375467,0.1859649419784546,0.11961361765861511,0.33351701498031616,0.2858700752258301
train,2.0,rel_velocity_xy,192966,0.4689446687698364,0.7612889409065247,0.8655048039551009,0.9735186509540541,-1.3892238140106201,0.6267958211017866,0.27349182963371277,0.17461200058460236,0.33351701498031616,0.2858700752258301
train,2.0,error_direction_diag_only,192966,0.6767330169677734,0.695158839225769,0.7667879315527087,0.9481411233066965,-1.196929931640625,0.6426323937445986,0.2708795964717865,0.22582325339317322,0.33351701498031616,0.2858700752258301
train,4.0,x_axis,161489,0.5702117681503296,0.8393979668617249,0.8168296292626742,0.9645920155552391,-1.3470268249511719,0.6505127707484274,0.2595350444316864,0.17747318744659424,0.6120301485061646,0.542504608631134
train,4.0,y_axis,161489,0.4249102771282196,0.7200965285301208,0.8819300385784791,0.9755648991572181,-1.0970464944839478,0.6277084656419107,0.5139228105545044,0.32686227560043335,0.6120301485061646,0.542504608631134
train,4.0,radial_xy,161489,0.5786119103431702,0.8472123742103577,0.8105815256766715,0.964746824861136,-1.1798713207244873,0.608635840053207,0.3192019462585449,0.21730154752731323,0.6120301485061646,0.542504608631134
train,4.0,rel_velocity_xy,161489,0.509267270565033,0.7960637807846069,0.8479586844924422,0.9716389351596704,-0.9916309118270874,0.6191005342435261,0.5178550481796265,0.33889392018318176,0.6120301485061646,0.542504608631134
train,4.0,error_direction_diag_only,161489,0.7339994311332703,0.7007942199707031,0.7362730588461134,0.9453523150183604,-0.7678232192993164,0.6520031421717045,0.5018933415412903,0.42940056324005127,0.6120301485061646,0.542504608631134
val,1.0,x_axis,45257,0.3829783797264099,0.6498767137527466,0.8923481450383366,0.9780807388912213,-2.1054625511169434,0.5857929533436554,0.10578638315200806,0.04928246885538101,0.1797650158405304,0.14356249570846558
val,1.0,y_axis,45257,0.40691041946411133,0.727023184299469,0.8834434452128952,0.9707227611198268,-1.8396843671798706,0.5891386453400789,0.13938739895820618,0.07466571778059006,0.1797650158405304,0.14356249570846558
val,1.0,radial_xy,45257,0.42286741733551025,0.7046732306480408,0.8783834544932275,0.972114810968469,-2.0054328441619873,0.6024118817583446,0.11276371031999588,0.05808146297931671,0.1797650158405304,0.14356249570846558
val,1.0,rel_velocity_xy,45257,0.43877217173576355,0.7554606795310974,0.8753342024438209,0.9687562145082529,-1.8167861700057983,0.5733330564373987,0.13924795389175415,0.07755528390407562,0.1797650158405304,0.14356249570846558
val,1.0,error_direction_diag_only,45257,0.6134717464447021,0.7240472435951233,0.7989924210619351,0.9417548666504629,-1.6619292497634888,0.6046505584245276,0.1375746726989746,0.10293909162282944,0.1797650158405304,0.14356249570846558
val,2.0,x_axis,41720,0.5580453276634216,0.8589533567428589,0.8216442953020134,0.9577900287631831,-1.6747711896896362,0.6222976183726755,0.16186624765396118,0.10898671299219131,0.3315565288066864,0.28317904472351074
val,2.0,y_axis,41720,0.4651775062084198,0.8237400054931641,0.8647411313518696,0.9658676893576222,-1.3705391883850098,0.6336831801040136,0.26777294278144836,0.18018345534801483,0.3315565288066864,0.28317904472351074
val,2.0,radial_xy,41720,0.5747955441474915,0.8805522918701172,0.8151246404602109,0.9574065196548418,-1.5158673524856567,0.5972423369356694,0.18582499027252197,0.12885671854019165,0.3315565288066864,0.28317904472351074
val,2.0,rel_velocity_xy,41720,0.527442991733551,0.870074987411499,0.8381591562799616,0.9644534995206137,-1.3056756258010864,0.625018553192701,0.2707103192806244,0.18910276889801025,0.3315565288066864,0.28317904472351074
val,2.0,error_direction_diag_only,41720,0.7582389116287231,0.794498085975647,0.7321188878235858,0.9284036433365292,-1.0743778944015503,0.6427291930041723,0.26718324422836304,0.2444654107093811,0.3315565288066864,0.28317904472351074
val,4.0,x_axis,34748,0.6473772525787354,0.9494709372520447,0.7801887878439047,0.9477092206745712,-1.2457290887832642,0.6433225836059793,0.2611214220523834,0.19734802842140198,0.6018085479736328,0.5316181182861328
