split,horizon_sec,direction,bin,std_low,std_high,count,mean_predicted_std,mean_abs_projected_error,pct_abs_z_lt_1,pct_abs_z_lt_2
train,1.0,x_axis,3,0.08208499848842621,0.12331289798021317,167212,0.0841655433177948,0.022548653185367584,0.952969882544315,0.9922732818218788
train,1.0,x_axis,4,0.12331289798021317,0.7368566393852234,41804,0.1884944885969162,0.13718141615390778,0.7269400057410774,0.9471820878384843
train,1.0,y_axis,2,0.08208499848842621,0.12368393689394,125410,0.08491087704896927,0.015872079879045486,0.9753847380591659,0.9955266725141536
train,1.0,y_axis,3,0.12368393689394,0.20636510848999023,41802,0.16549023985862732,0.11302346736192703,0.7606334625137553,0.9482560643031434
train,1.0,y_axis,4,0.20636510848999023,0.8623899221420288,41804,0.27599889039993286,0.19082942605018616,0.7876997416515166,0.9449334991866807
train,1.0,radial_xy,0,0.08208498358726501,0.08208499848842621,32303,0.08208499848842621,0.013377062045037746,0.9912082469120516,0.9992260780732439
train,1.0,radial_xy,2,0.08208499848842621,0.09353309869766237,93107,0.08297674357891083,0.01844782754778862,0.9687241560784904,0.9949950057460771
train,1.0,radial_xy,3,0.09353309869766237,0.14328253269195557,41802,0.11595789343118668,0.07146836817264557,0.8012535285393043,0.9600497583847662
train,1.0,radial_xy,4,0.14328253269195557,0.7099653482437134,41804,0.19712947309017181,0.14713990688323975,0.7304803368098747,0.945627212706918
train,1.0,rel_velocity_xy,0,0.08208498358726501,0.08208499848842621,31682,0.08208499848842621,0.011579364538192749,0.9943816678240011,0.9988637080992362
train,1.0,rel_velocity_xy,2,0.08208499848842621,0.12534777820110324,93728,0.08671271055936813,0.022978616878390312,0.9544639808808467,0.9916887162854217
train,1.0,rel_velocity_xy,3,0.12534777820110324,0.20578567683696747,41802,0.16579999029636383,0.11467073112726212,0.7569015836562843,0.9469403377828812
train,1.0,rel_velocity_xy,4,0.20578567683696747,0.647587776184082,41804,0.27375897765159607,0.18979111313819885,0.7880346378337001,0.9433547028992441
train,1.0,error_direction_diag_only,0,0.08208498358726501,0.08208499848842621,31278,0.08208499848842621,0.01913529448211193,0.983790523690773,0.9975701771212994
train,1.0,error_direction_diag_only,2,0.08208499848842621,0.12164124846458435,94131,0.08620879799127579,0.03332575783133507,0.9167330634966164,0.9826199657923532
