method,seed,episode,success,collision,episode_min_distance,steps,turn_step,turning_obstacle_id,risk_at_turn,risk_max_after_turn,risk_rise_time_0p3,risk_rise_time_0p5,risk_rise_time_0p7,sigma_trace_at_turn,sigma_trace_max_after_turn,sigma_rise_time_2x,R_sum_at_turn,R_sum_max_after_turn,R_bar_at_turn,R_bar_max_after_turn,w_risk_at_turn,w_risk_max_after_turn,risk_rank_at_turn,risk_rank_best_after_turn,reaction_time
risk,0,0,1,0,1.6412599086761475,37,15,2,1.3929722930683397e-09,0.00020126374147366732,nan,nan,nan,0.7234493494033813,2.469062089920044,1.6000000000000005,1.3929722930683397e-09,0.03762552887201309,1.3929722930683397e-09,0.03760778367901251,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk,0,1,1,0,0.7276226878166199,39,15,2,1.2957540422575686e-11,1.4645561350334901e-06,nan,nan,nan,0.46959930658340454,1.4085732698440552,1.8000000000000007,1.2957628893472961e-11,0.8895066380500793,1.2957628893472961e-11,0.7111499654625577,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk,0,2,1,0,1.5166444778442383,36,15,0,1.7867731762471334e-13,4.636982282590907e-07,nan,nan,nan,0.546495795249939,0.9815062284469604,nan,1.7867731762471334e-13,0.2713359594345093,1.7867731762471334e-13,0.2648675099265429,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk,0,3,1,0,0.6615042090415955,35,15,2,0.8796078562736511,0.8796078562736511,0.0,0.0,0.0,0.9780800342559814,0.9780800342559814,nan,0.8796249032020569,0.8796249032020569,0.7062313577035704,0.7062313577035704,0.999980628490448,0.999980628490448,1.0,1.0,0.20000000000000018
risk,0,4,1,0,0.8371098041534424,33,15,2,5.071026407676982e-06,0.0023214786779135466,nan,nan,nan,1.0697470903396606,1.9786267280578613,nan,7.198920229711803e-06,1.1190425157546997,7.198920229587442e-06,0.807235614874018,0.7044148445129395,1.0,1.0,1.0,0.20000000000000018
risk,0,5,1,0,1.454157829284668,40,15,1,3.1330416039310194e-09,0.0001370778336422518,nan,nan,nan,1.190948247909546,1.8174294233322144,nan,3.1331159888736693e-09,0.28113242983818054,3.1331159888736693e-09,0.2739528459615851,0.3333333432674408,0.5217276215553284,1.0,1.0,0.20000000000000018
risk,0,6,1,0,1.2459489107131958,37,15,1,0.0805281475186348,0.3928910493850708,0.20000000000000018,nan,nan,1.5113592147827148,1.5890583992004395,nan,0.08055583387613297,0.554602861404419,0.08038203621144496,0.5039620079336576,0.9996563196182251,0.9996563196182251,1.0,1.0,0.20000000000000018
risk,0,7,1,0,0.7567887306213379,42,15,2,0.7688866257667542,0.8660984039306641,0.0,0.0,0.0,0.15961815416812897,0.7740784287452698,3.0,0.7688866257667542,0.8889852166175842,0.646281576667968,0.7108921491421448,1.0,1.0,1.0,1.0,0.20000000000000018
risk,0,8,1,0,0.7291064858436584,36,15,2,0.011285927146673203,0.0419168584048748,nan,nan,nan,0.8865706920623779,1.2281566858291626,nan,0.011465847492218018,0.9010627865791321,0.011465345063574417,0.7168149655907896,0.984308123588562,0.9993984699249268,1.0,1.0,0.20000000000000018
risk,0,9,1,0,0.7690036296844482,34,15,2,0.38043975830078125,0.613919734954834,0.0,0.20000000000000018,nan,0.9746643304824829,1.997942566871643,1.6000000000000005,0.38043975830078125,0.7954755425453186,0.36308931179474013,0.6614997440009506,1.0,1.0,1.0,1.0,0.20000000000000018
