episode,step,time,turn_time,turn_step,scenario,success,collision,uav_position,uav_velocity,goal_position,action,min_distance,distance_warning_cost,risk_sum,risk_max,risk_values,sigma_values,reaction_flag,reaction_time_current,attention_weights,attention_entropy,turning_obstacle_id,turning_obstacle_attention_weight,turning_obstacle_attention_rank,turning_obstacle_risk,R_sum,R_max,lateral_deviation,base_reward,applied_cost,shaped_reward,fallback_penalty_active
1,1,0.2,3.0,15,mixed_uncertainty,0,0,"[5.261602401733398,3.0028738975524902,1.1700915098190308]","[-1.3097405433654785,-1.0906838178634644,-0.29252195358276367]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-0.8327480554580688,-0.22334344685077667]",2.9496982097625732,0.0,2.5806690246099606e-05,2.533281804062426e-05,"[2.533281804062426e-05,0.0,4.7387138124577177e-07]","[0.22499999403953552,0.22499999403953552,0.22499999403953552,0.22821703553199768,0.2465055286884308,0.24112474918365479,0.5802773833274841,0.23036997020244598,0.23456552624702454]",0,nan,"[0.5056940913200378,0.026277901604771614,0.4680280089378357]",0.7957596778869629,-1,nan,nan,nan,2.5806690246099606e-05,2.533281804062426e-05,0.9713791012763977,0.2250770652294159,0.0,0.2250770652294159,0
1,2,0.4,3.0,15,mixed_uncertainty,0,0,"[4.981773853302002,2.7289745807647705,1.148675560951233]","[-1.399143099784851,-1.3694969415664673,-0.10707978904247284]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,-0.05523516237735748]",2.7147040367126465,0.0,0.0006949370726943016,0.0006156543968245387,"[0.0006156543968245387,0.0,7.928265404189005e-05]","[0.20249998569488525,0.20249998569488525,0.20249998569488525,0.20802995562553406,0.2339407205581665,0.2246886044740677,0.8100243210792542,0.21168264746665955,0.2188570499420166]",0,nan,"[0.4699784517288208,0.014531653374433517,0.515489935874939]",0.7579384446144104,-1,nan,nan,nan,0.0006949370726943016,0.0006156543968245387,1.015005111694336,0.3541831774264574,0.0,0.3541831774264574,0
1,3,0.6000000000000001,3.0,15,mixed_uncertainty,0,0,"[4.699477672576904,2.4474809169769287,1.1574205160140991]","[-1.4114809036254883,-1.4074686765670776,0.04372495412826538]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,0.047635484486818314]",2.4748380184173584,0.0,0.004691132809966803,0.004196793306618929,"[0.004196793306618929,0.0,0.0004943396779708564]","[0.1822499781847,0.1822499781847,0.1822499781847,0.18897408246994019,0.2145688831806183,0.2053370624780655,0.9621194005012512,0.19403760135173798,0.2032472938299179]",0,nan,"[0.4468923509120941,0.015872709453105927,0.537234902381897]",0.7595016956329346,-1,nan,nan,nan,0.004691132809966803,0.004196793306618929,0.9630542993545532,0.3648113432899117,0.0,0.3648113432899117,0
1,4,0.8,3.0,15,mixed_uncertainty,0,0,"[4.417373180389404,2.16548490524292,1.184076189994812]","[-1.4105229377746582,-1.4099799394607544,0.13327860832214355]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,0.10443714261054993]",2.2398383617401123,0.0,0.018588708713650703,0.017682135105133057,"[0.017682135105133057,0.0,0.0009065730264410377]","[0.1640249788761139,0.1640249788761139,0.1640249788761139,0.17071613669395447,0.19321849942207336,0.1859581619501114,1.0547163486480713,0.17748765647411346,0.18800607323646545]",0,nan,"[0.46238982677459717,0.016864925622940063,0.5207452178001404]",0.7652976512908936,-1,nan,nan,nan,0.018588708713650703,0.017682135105133057,0.9652586579322815,0.36632450317032633,0.0,0.36632450317032633,0
1,5,1.0,3.0,15,mixed_uncertainty,0,0,"[4.135674476623535,1.883800745010376,1.219608187675476]","[-1.4084938764572144,-1.408420443534851,0.17765992879867554]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,0.13109607994556427]",2.0152857303619385,0.0,0.050741180777549744,0.04998161643743515,"[0.04998161643743515,0.0,0.0007595628267154098]","[0.1476224809885025,0.1476224809885025,0.1476224809885025,0.15364482998847961,0.17570120096206665,0.16796784102916718,1.102180004119873,0.16205048561096191,0.1733231097459793]",0,nan,"[0.5004699230194092,0.017350878566503525,0.482179194688797]",0.7684921026229858,-1,nan,nan,nan,0.050741180777549744,0.04998161643743515,0.9887725114822388,0.3656673230236629,0.0,0.3656673230236629,0
1,6,1.2000000000000002,3.0,15,mixed_uncertainty,0,0,"[3.8539910316467285,1.6021194458007812,1.2557330131530762]","[-1.4084166288375854,-1.4084067344665527,0.18062394857406616]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,0.1285765916109085]",1.8077560663223267,0.0,0.09229603409767151,0.09199019521474838,"[0.09199019521474838,0.0,0.00030584094929508865]","[0.1328602284193039,0.1328602284193039,0.1328602284193039,0.1391414850950241,0.16552802920341492,0.15196199715137482,1.1158394813537598,0.14771781861782074,0.15932609140872955]",0,nan,"[0.5585992336273193,0.01721300184726715,0.4241877794265747]",0.7589805126190186,-1,nan,nan,nan,0.09229603409767151,0.09199019521474838,1.0241763591766357,0.36401644438871245,0.0,0.36401644438871245,0
1,7,1.4000000000000001,3.0,15,mixed_uncertainty,0,0,"[3.571948528289795,1.3200770616531372,1.2856894731521606]","[-1.4102131128311157,-1.4102118015289307,0.1497824341058731]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,0.10276906937360764]",1.6261471509933472,0.0,0.10594751685857773,0.10589504987001419,"[0.10589504987001419,0.0,5.246413275017403e-05]","[0.11957420408725739,0.11957420408725739,0.11957420408725739,0.12856516242027283,0.1620195358991623,0.1384945511817932,1.1045963764190674,0.13446266949176788,0.14609506726264954]",0,nan,"[0.6260263323783875,0.01651710830628872,0.35745659470558167]",0.7287135124206543,-1,nan,nan,nan,0.10594751685857773,0.10589504987001419,1.0700820684432983,0.3615382394235348,0.0,0.3615382394235348,0
1,8,1.6,3.0,15,mixed_uncertainty,0,0,"[3.289682388305664,1.0378109216690063,1.3111364841461182]","[-1.4113308191299438,-1.4113305807113647,0.12723514437675476]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,0.08764122426509857]",1.4795405864715576,0.0,0.07594108581542969,0.07593788951635361,"[0.07593788951635361,0.0,3.1936619961925317e-06]","[0.10761678218841553,0.10761678218841553,0.10761678218841553,0.12189576774835587,0.16186273097991943,0.12829817831516266,1.0754127502441406,0.12224487215280533,0.13367384672164917]",0,nan,"[0.6760652661323547,0.016224641352891922,0.3077101409435272]",0.6941879987716675,-1,nan,nan,nan,0.07594108581542969,0.07593788951635361,1.1161539554595947,0.358925096111343,0.0,0.358925096111343,0
1,9,1.8,3.0,15,mixed_uncertainty,0,0,"[3.0076448917388916,0.7557734251022339,1.341232180595398]","[-1.4101874828338623,-1.4101874828338623,0.1504783034324646]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,0.10930164903402328]",1.3752800226211548,0.0,0.032554760575294495,0.03255470469594002,"[0.03255470469594002,0.0,5.474056408161232e-08]","[0.09685510396957397,0.09685510396957397,0.09685510396957397,0.1176377534866333,0.1616411805152893,0.12204021960496902,1.0337049961090088,0.1110154464840889,0.12207897752523422]",0,nan,"[0.6967026591300964,0.01771719567477703,0.2855800986289978]",0.6811416149139404,-1,nan,nan,nan,0.032554760575294495,0.03255470469594002,1.1502026319503784,0.3568779390049167,0.0,0.3568779390049167,0
1,10,2.0,3.0,15,mixed_uncertainty,0,0,"[2.726229429244995,0.4743579924106598,1.3811683654785156]","[-1.4070771932601929,-1.4070771932601929,0.19968071579933167]","[-5.781534194946289,-2.690187692642212,2.890302896499634]","[-1.0,-1.0,0.14743578433990479]",1.3210644721984863,0.0,0.006342381704598665,0.006342381704598665,"[0.006342381704598665,0.0,1.8146384395123505e-10]","[0.0871695876121521,0.0871695876121521,0.0871695876121521,0.11372081935405731,0.15902864933013916,0.12011879682540894,0.9836596846580505,0.10071990638971329,0.1113068088889122]",0,nan,"[0.7015898823738098,0.02153337188065052,0.2768767774105072]",0.6868565678596497,-1,nan,nan,nan,0.006342381704598665,0.006342381704598665,1.1845324039459229,0.3549003576254472,0.0,0.3549003576254472,0
