method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,50,0.64,0.36,0.6,0.9425466687975175,4.637472968618212,0.8225073555111885,111.5,33.909592687906176,0.31680413374459365,0.35253479357382517,1.4682135498042905,0.1390629515040212,0.0,2.7703164137868908,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_speed,50,0.54,0.46,0.54,0.9577705475963839,4.461542829295176,0.7254288952052593,111.36,32.446302590603125,0.2632905173584327,0.3141579216105438,1.4509645614477007,0.15824016798678953,0.0,2.82697219052927,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_threat,50,0.62,0.38,0.58,0.9686721024780387,4.931150739451462,0.8570077282190323,112.34,34.48946027429755,0.2948588110572009,0.3242064516809692,1.44465356408027,0.1420979551131395,0.0,3.134819085380028,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_id,50,0.58,0.42,0.5,0.9633676170801111,5.371075515532408,0.8378773894906044,106.88,33.58951273552314,0.27388309442686276,0.29665674971749384,1.4817701300464372,0.11944116185433179,0.0,3.354912980474257,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_mixed_ood,50,0.54,0.46,0.52,0.940270728452252,4.8153337649816255,0.771695716381073,106.74,31.948109109385317,0.30997763836280484,0.34823637229868754,1.4707981365341265,0.13802798087198137,0.0,2.875157854510103,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_sudden_threat,50,0.74,0.26,0.72,0.9706955151270755,4.963086190034131,0.8633657366037368,113.72,36.932236312063466,0.2897752169439903,0.3143468112892526,1.4547155336127695,0.1359593390777997,0.0,3.038270611338123,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,eval_flow_high_density,50,0.62,0.38,0.58,0.942331800376975,4.651041712684045,0.8120894822478294,111.34,33.5045661080172,0.3160623755028354,0.35334523313426475,1.4725283035699608,0.1369788669322544,0.0,2.762120636989154,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,eval_flow_high_speed,50,0.52,0.48,0.52,0.9574171047382249,4.4704951085252675,0.7188399164378643,111.32,32.03767862465902,0.26469149644165474,0.31518862922069063,1.4518820654548474,0.15648605989433742,0.0,2.8283840570751138,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,eval_flow_high_threat,50,0.62,0.38,0.58,0.9685961245469923,4.944763258939948,0.8571274667978287,112.58,34.48495081730085,0.2946176236731564,0.32446619194070947,1.4462304647654796,0.14228776747486013,0.0,3.1423867956965905,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,eval_flow_id,50,0.6,0.4,0.52,0.9638576855643494,5.369750570476063,0.8596342530846596,106.9,34.00660793084631,0.26797409004841233,0.29113038383133355,1.4818357312422008,0.11893733204495961,0.0,3.3647374531442473,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,eval_flow_mixed_ood,50,0.52,0.48,0.5,0.9396270408700147,4.823978127926167,0.7682682824134827,106.76,31.528770455532516,0.3125320938083494,0.35157498616007365,1.4727047140078284,0.1364562055085293,0.0,2.8654907548265705,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,eval_flow_sudden_threat,50,0.74,0.26,0.72,0.9710998169857322,4.969714109691996,0.8619629114866256,113.68,36.93742329989879,0.2869368331056064,0.31206735000979136,1.4590839518362984,0.13359989641243575,0.0,3.055567735842564,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,eval_flow_high_density,50,0.6,0.4,0.56,0.9407927402168454,4.6406096481136565,0.8009948405623436,111.46,33.0457330036917,0.31771316915362907,0.35497293876197034,1.4708577603628978,0.1391785345759133,0.0,2.7476764381882317,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,eval_flow_high_speed,50,0.5,0.5,0.5,0.9573408963448827,4.480710448533823,0.6980835689604282,111.02,31.640237525733017,0.26343062687643737,0.31500602052503845,1.4531619395868378,0.15576959595441492,0.0,2.830859038331032,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,eval_flow_high_threat,50,0.62,0.38,0.58,0.9685991706326622,4.967700554816944,0.8602395910024643,111.3,34.50023737566623,0.2923272351250991,0.32155487013368217,1.4516200904901284,0.13910166783998704,0.0,3.1652344703403634,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,eval_flow_id,50,0.62,0.38,0.54,0.9639964768685728,5.36002986081743,0.8721728464961052,107.02,34.410962609067994,0.26645525174385976,0.29017669466335866,1.4809199609103383,0.11914480150031061,0.0,3.363317267557523,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,eval_flow_mixed_ood,50,0.52,0.48,0.5,0.9397627426083649,4.848101711396457,0.7770594477653503,105.96,31.546674860635818,0.307160280031227,0.34682391530830764,1.4776329833357753,0.13242950084255234,0.0,2.878266943480778,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,eval_flow_sudden_threat,50,0.72,0.28,0.7,0.9708366429968227,4.987633666588889,0.8571383184194565,113.96,36.524504008214734,0.28394523646695097,0.3090085264803796,1.459475820680718,0.13440392902661905,0.0,3.0743206613082275,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,eval_flow_high_density,50,0.5,0.5,0.46,0.9469330240085331,5.257380803797207,0.7406794887781143,113.28,31.398831758308457,0.27982833927296324,0.31132437635569005,1.5595936166136934,0.09627168704974666,0.0,3.327122206298041,0
