policy_a,policy_b,success_diff_mean,collision_diff_mean,seed_success_diff_mean,seed_success_diff_std,seed_collision_diff_mean,seed_collision_diff_std,worst_scenario_success_diff,worst_scenario_collision_diff,better_success,better_collision,better_both
p3_1000k,attention_full,0.033333333333333326,-0.03333333333333338,0.033333333333333326,0.012018504251546616,-0.033333333333333326,0.012018504251546616,-0.17333333333333334,0.17333333333333334,1,1,1
p3_1000k,no_z_full,0.07000000000000017,-0.07,0.07000000000000002,0.003333333333333355,-0.06999999999999997,0.003333333333333355,-0.32,0.32,1,1,1
p3_1500k,attention_full,0.013333333333333308,-0.013333333333333364,0.013333333333333308,0.005773502691896294,-0.013333333333333345,0.005773502691896262,-0.12,0.12,1,1,1
p3_1500k,no_z_full,0.050000000000000155,-0.04999999999999999,0.05000000000000001,0.005773502691896231,-0.04999999999999999,0.005773502691896198,-0.08666666666666663,0.08666666666666668,1,1,1
p3_final,attention_full,-0.01000000000000012,0.010000000000000009,-0.010000000000000009,0.005773502691896294,0.010000000000000009,0.005773502691896247,-0.11333333333333333,0.11333333333333333,0,0,0
p3_final,no_z_full,0.026666666666666727,-0.026666666666666616,0.02666666666666669,0.005773502691896231,-0.026666666666666634,0.005773502691896231,-0.05999999999999998,0.06,1,1,1
p3_1000k,p3_1500k,0.020000000000000018,-0.020000000000000018,0.020000000000000018,0.008819171036881984,-0.01999999999999998,0.008819171036881943,-0.2333333333333334,0.2333333333333333,1,1,1
p3_1500k,p3_final,0.023333333333333428,-0.023333333333333373,0.023333333333333317,0.0,-0.023333333333333355,3.208066105977134e-17,-0.05333333333333338,0.05333333333333332,1,1,1
