method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,accel_decel,high,420,0.36666666666666664,0.4166666666666667,2.2079512063280813,2.0770616788282235,1.509830612511862,0.12771070866867723,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,accel_decel,low,312,0.2724358974358974,0.33974358974358976,2.3206502072668322,1.8236371787655787,1.510729322830836,0.10627981652037423,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,accel_decel,medium,675,0.24296296296296296,0.28,2.782984474418271,1.9940492683038578,1.447261316952882,0.11894458446858658,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,ar1_velocity,high,387,0.43410852713178294,0.4806201550387597,2.457724632280193,1.881779914079298,1.388527462783556,0.20014821367521196,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,ar1_velocity,low,367,0.24250681198910082,0.28065395095367845,2.9620024407693575,1.8420478155624904,1.4793278022747924,0.14004067723621547,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,ar1_velocity,medium,560,0.34464285714285714,0.3678571428571429,2.6715854519371143,1.5114961428086875,1.507871577143669,0.13367022294551134,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,crossing_or_sudden_threat,high,233,0.41201716738197425,0.44206008583690987,2.1262827027796933,2.1888052816482078,1.4042294554316435,0.18771041070746633,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,crossing_or_sudden_threat,low,190,0.1,0.10526315789473684,4.1149542802062475,1.6264298962143506,1.2597200199961662,0.16331052641433322,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,crossing_or_sudden_threat,medium,272,0.15073529411764705,0.16176470588235295,3.6401581563028125,2.0572505047002227,1.3045498550705172,0.17888050355181537,0.0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,eval_flow_high_density,linear,high,261,0.5632183908045977,0.5977011494252874,1.8952721467349138,1.8139269414764012,1.5108348718091447,0.17164401272561586,0.0
