method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_z,include_logvar,logvar_output_scale,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,obs_i_12,0,16384,196608,0,0,1.3859249518536672,1.3861812353134155,1.8489652872085571,2.236682891845703,0.8435389057412976,1.0444923639297485,1.3661044836044312
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,delta_hat_9_after_scale,0,16384,147456,0,0,1.2915170491560275,1.3352372646331787,1.9178438007831549,2.553992509841919,1.0142640743994207,1.4833059668540953,2.3632664680480957
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,logvar_raw_9_clamped,0,16384,147456,0,0,12.625253025587881,12.942436218261719,14.536237716674805,15.0,4.948115314880852,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,logvar_scaled_9_policy,0,16384,147456,0,0,2.525050614185602,2.588487386703491,2.90724778175354,3.0,0.9896230636095424,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,adapter_output_64,0,16234,1038976,0,0,5.666498274437177,5.6761555671691895,5.861423897743225,6.048527717590332,0.9997640001747399,0.9999883770942688,0.9999970197677612
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,full_aug_obs,0,16384,491520,0,0,3.1958625311599462,3.2581300735473633,3.637037992477417,4.230168342590332,1.1377737308903306,1.4833059668540953,2.3632664680480957
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,obs_i_12,0,25487,305844,0,0,1.3749711478720483,1.3720121383666992,1.8249017715454092,2.205901861190796,0.8261997676538346,1.0,1.4087098836898804
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,delta_hat_9_after_scale,0,25487,229383,0,0,1.2375714042560788,1.2806038856506348,1.9424630403518677,3.3572492599487305,0.9793890713726012,1.4799829721450806,2.763392686843872
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,logvar_raw_9_clamped,0,25487,229383,0,0,12.901050432566434,13.346498489379883,14.673989295959473,15.0,4.94940539226202,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,logvar_scaled_9_policy,0,25487,229383,0,0,2.5802100945946544,2.669299840927124,2.934798002243042,3.0,0.9898810790843016,1.0,1.0
