method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,300,0.61,0.39,0.5766666666666667,0.9572205299218965,4.863277001318836,0.8129804702351491,110.42333333333333,33.8858689516298,0.29143156864898084,0.32502318336179536,1.4618525792542658,0.1388049260680105,0.0,3.000074856003112,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,300,0.6033333333333334,0.39666666666666667,0.57,0.957154928847048,4.871623814707248,0.8129870520780483,110.43,33.74999953937578,0.2904690854300025,0.3246287957161439,1.4640442051461025,0.13745768804456276,0.0,3.003114572262373,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,300,0.5966666666666667,0.4033333333333333,0.5633333333333334,0.9568881116113584,4.880797648377866,0.8109481022010246,110.12,33.611391563834914,0.2885052998995339,0.32292382764545613,1.4656114258944493,0.13667133828996622,0.0,3.009945803201026,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,300,0.5633333333333334,0.43666666666666665,0.5066666666666667,0.9471121652374622,5.423485243667064,0.790180019090573,113.37333333333333,32.68476061886579,0.23975497889650904,0.27324713621411284,1.559664954617079,0.09670759033606453,0.0,3.5663159588795725,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,300,0.5666666666666667,0.43333333333333335,0.51,0.9477922158531821,5.427353127193372,0.7898081071674824,113.35,32.77725451606349,0.2389292621562991,0.27190450350124795,1.5590198822232904,0.09664854530815264,0.0,3.5736592952606347,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,300,0.57,0.43,0.51,0.9518255182230773,5.431027705231822,0.797580726047357,113.79333333333334,32.98100337073349,0.23613517356881344,0.26941233796102837,1.5584647625502899,0.09652914580989137,0.0,3.5842689437976794,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,300,0.63,0.37,0.5366666666666666,0.955558348676923,4.736741800198169,0.8711684265732765,115.80666666666667,34.29218527532305,0.22754062487720111,0.27112978166351126,1.49023137353473,0.12264495132875972,0.0,2.843341299549421,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1001,300,0.64,0.36,0.5466666666666666,0.9560143681222694,4.718545679358626,0.8756162215272586,115.95333333333333,34.509788527396125,0.22832187816356508,0.2722726398362871,1.4894002745970891,0.12270077267514101,0.0,2.82562894540921,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1002,300,0.64,0.36,0.5433333333333333,0.9559877993838497,4.72546860448094,0.8787589910626411,115.56,34.5107067776807,0.22754425082606006,0.271554497668353,1.4893447100619832,0.12273674633356163,0.0,2.8236981100936442,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1000,300,0.44666666666666666,0.5533333333333333,0.42,0.9224414529638938,4.224279646575787,0.7005268070846796,105.34333333333333,29.522048046352563,0.3119383903586026,0.36329157305283477,1.49436841630791,0.11639072993381742,0.0,2.301164189038911,0
