method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,accel_decel,58,0.5,0.5,0.4482758620689655,0.9524958547564026,4.945561503768677,0.7411091908298689,107.24137931034483,31.453454519318413,0.27975145221067305,0.3153971497971203,1.4633318981685763,0.13091056508106103,0.0,3.0755192211749054,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,ar1_velocity,85,0.6705882352941176,0.32941176470588235,0.6470588235294118,0.9631134523418806,4.837963868267925,0.8386951421113575,112.4235294117647,35.29721294939041,0.29512683322659505,0.32809677214333943,1.454572769351963,0.14633787923348515,0.0,3.0287856157925575,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,crossing_or_sudden_threat,49,0.6938775510204082,0.30612244897959184,0.673469387755102,0.9679373989421733,4.787469984615381,0.8624986665589469,111.44897959183673,35.95847276676602,0.2948400913695428,0.326871570915852,1.4584785757954997,0.1386981628839082,0.0,2.917433533125559,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,linear,36,0.5277777777777778,0.4722222222222222,0.4444444444444444,0.9379612676840777,4.941808052842185,0.7910714170171155,108.19444444444444,31.654514454979108,0.31006394660861797,0.340087754511754,1.480019458930168,0.1343197713401159,0.0,2.971976797448223,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,sinusoidal_lateral,72,0.6111111111111112,0.3888888888888889,0.5972222222222222,0.9564058023172838,4.839201183691966,0.8177738229019774,111.04166666666667,33.884299121104206,0.2848422081555111,0.32035872987252617,1.4624678826683322,0.13858643835138476,0.0,2.9756966222101844,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,accel_decel,58,0.4827586206896552,0.5172413793103449,0.43103448275862066,0.9520749088618008,4.966073775591062,0.733424631172213,107.05172413793103,31.096831108641553,0.27690430789032966,0.3137617183968374,1.4666940158080704,0.12926652448047563,0.0,3.0889879356450076,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,ar1_velocity,84,0.6785714285714286,0.32142857142857145,0.6547619047619048,0.9631918703529655,4.838812866828061,0.852261088699812,112.54761904761905,35.45761395508107,0.2916650335797085,0.32511023214614937,1.4560408733410166,0.1460470073644054,0.0,3.042824866932488,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,crossing_or_sudden_threat,49,0.6938775510204082,0.30612244897959184,0.673469387755102,0.9679373989421733,4.787469984615381,0.8624986665589469,111.44897959183673,35.95847276676602,0.2948400913695428,0.326871570915852,1.4584785757954997,0.1386981628839082,0.0,2.917433533125559,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,linear,36,0.5,0.5,0.4166666666666667,0.9375066114908233,4.9643972638185225,0.7799183738728365,108.11111111111111,31.086768956908227,0.31501392264504263,0.3466627605026478,1.4828795467345137,0.13144513031569335,0.0,2.9439818743002517,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,sinusoidal_lateral,73,0.6027397260273972,0.3972602739726027,0.589041095890411,0.9566965242280102,4.8450719708317145,0.8140830060798828,111.13698630136986,33.72404434608882,0.2848321542237941,0.3203374410216162,1.4655953612314425,0.1362145849618456,0.0,2.9758656437124804,0
