method,seed,episode,episode_seed,step,time,turn_step,has_turned,turning_obstacle_id,success,collision,min_distance,episode_min_distance,R_max,R_sum,R_bar,risk_turn,sigma_turn_x,sigma_turn_y,sigma_turn_z,sigma_turn_trace,mu_turn_x,mu_turn_y,mu_turn_z,dist_turn,rel_speed_turn,w_risk_turn,risk_rank_turn,action_x,action_y,action_z,v_des_norm,deviation_lateral
risk_full_rbar,2,28,21028,1,0.2,15,False,-1,0,0,3.149780035018921,3.149780035018921,0.13702863454818726,0.13702863454818726,0.13617737236395705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9434390068054199,0.29074472188949585,-0.3913988769054413,2.1239612102508545,1.0352989435195923
risk_full_rbar,2,28,21028,2,0.4,15,False,-1,0,0,2.545419931411743,2.545419931411743,0.46114325523376465,0.46114325523376465,0.43101553760315564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.858905017375946,0.4411391019821167,-0.316758930683136,2.032395362854004,1.2443082332611084
risk_full_rbar,2,28,21028,3,0.6000000000000001,15,False,-1,0,0,2.2048251628875732,2.2048251628875732,0.05258708819746971,0.05258708819746971,0.05253866694820625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20008313655853271,0.6208184957504272,0.25723186135292053,1.4023082256317139,1.397419810295105
risk_full_rbar,2,28,21028,4,0.8,15,False,-1,0,0,1.7056900262832642,1.7056900262832642,0.17767322063446045,0.17767323553562164,0.17582696201518505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9270039796829224,0.49756136536598206,-0.13549363613128662,2.121567487716675,1.352952241897583
risk_full_rbar,2,28,21028,5,1.0,15,False,-1,0,0,1.3126797676086426,1.3126797676086426,0.029387125745415688,0.02938719280064106,0.029378736059159066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.808337926864624,0.4607616066932678,-0.08042921870946884,1.8678117990493774,1.2588536739349365
risk_full_rbar,2,28,21028,6,1.2000000000000002,15,False,-1,0,0,1.086374282836914,1.086374282836914,0.00013945218233857304,0.00014057170483283699,0.0001405717039069191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.2848510444164276,-0.31976303458213806,2.175673246383667,1.1348274946212769
risk_full_rbar,2,28,21028,7,1.4000000000000001,15,False,-1,0,0,1.1995728015899658,1.086374282836914,1.6994302143302775e-07,1.6994398777114839e-07,1.6994398777114674e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.1368505358695984,-0.4448440670967102,2.2060048580169678,1.0653975009918213
risk_full_rbar,2,28,21028,8,1.6,15,False,-1,0,0,1.5927852392196655,1.086374282836914,2.3593907383379076e-10,2.361026651964693e-10,2.361026651964693e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.01747739128768444,-0.4899194538593292,2.2273988723754883,1.0162431001663208
risk_full_rbar,2,28,21028,9,1.8,15,False,-1,0,0,2.120339870452881,1.086374282836914,1.8307282516616397e-05,1.8307282516616397e-05,1.8307282514571127e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,-0.0772194191813469,-0.48723480105400085,2.230121612548828,0.9541528224945068
risk_full_rbar,2,28,21028,10,2.0,15,False,-1,0,0,2.2434632778167725,1.086374282836914,0.00020817726908717304,0.00020817726908717304,0.00020817726607985984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,-0.1546075940132141,-0.4585222005844116,2.2218425273895264,0.879059374332428
