method,seed,step,d_warning,sudden_reaction,sudden_near_miss,sudden_collision,sudden_min_distance,sudden_mean_time,random_success,random_mean_time,random_min_distance,random_near_miss,hard_success,hard_collision,hard_near_miss,hard_min_distance,mixed_success,mixed_collision,mixed_near_miss,mixed_min_distance,is_750k
attention_full_distance_penalty_mid_d15,0,500000,1.5,0.20000000000000007,0.02,0.0,1.7966441857814788,7.972000000000001,1.0,8.028,2.0277389311790466,0.0,1.0,0.0,0.1,1.3441034066677093,0.9,0.1,0.46,1.1238591915369034,0
attention_full_distance_penalty_mid_d15,0,750000,1.5,2.7039999999999997,0.02,0.0,1.5413485157489777,7.280000000000001,1.0,7.328,1.7653246164321899,0.0,1.0,0.0,0.12,1.2504352200031281,0.96,0.04,0.38,1.19529332280159,1
attention_full_distance_penalty_mid_d15,0,1000000,1.5,8.36,0.0,0.0,1.5472828578948974,7.188000000000001,1.0,7.228,1.757274901866913,0.0,1.0,0.0,0.06,1.3242288172245025,0.96,0.04,0.42,1.1809307610988617,0
attention_full_distance_penalty_wide_d2,0,250000,2.0,0.20000000000000007,0.0,0.0,2.3818694710731507,36.808,0.1,37.968,2.605376636981964,0.06,0.02,0.18,0.3,1.2850597932934762,0.3,0.04,0.2,1.9814840430021285,0
attention_full_distance_penalty_wide_d2,0,500000,2.0,0.20000000000000007,0.0,0.0,2.3171388363838195,9.075999999999999,1.0,8.976,2.481542613506317,0.0,1.0,0.0,0.02,1.888380479812622,0.86,0.14,0.44,1.1134017294645309,0
attention_full_distance_penalty_wide_d2,0,750000,2.0,0.20000000000000007,0.0,0.0,1.994805543422699,8.692,1.0,8.716000000000001,2.1610974717140197,0.0,1.0,0.0,0.0,1.692935781478882,0.86,0.14,0.36,1.2156662821769715,1
attention_full_distance_penalty_wide_d2,0,1000000,2.0,0.2720000000000001,0.0,0.0,2.0372200560569764,8.276,1.0,8.260000000000002,2.1519343185424806,0.0,1.0,0.0,0.0,1.8567125511169433,0.92,0.08,0.34,1.2407325100898743,0
attention_full_distance_penalty_wide_d2,1,250000,2.0,0.20000000000000007,0.0,0.0,2.6830143690109254,20.875999999999998,0.92,19.304000000000002,2.598967205286026,0.02,0.04,0.18,0.34,1.1955252140760422,0.86,0.0,0.02,1.8831507468223572,0
attention_full_distance_penalty_wide_d2,1,500000,2.0,0.20000000000000007,0.02,0.0,2.143421858549118,8.943999999999999,1.0,8.692,2.3108923983573915,0.0,1.0,0.0,0.06,1.6365449142456054,0.82,0.18,0.52,1.032123187482357,0
attention_full_distance_penalty_wide_d2,1,750000,2.0,0.20000000000000007,0.02,0.02,2.0535946148633957,8.796,1.0,8.68,2.2575710463523864,0.0,1.0,0.0,0.0,1.7523277831077575,0.8,0.2,0.5,0.9916217803955079,1
attention_full_distance_penalty_wide_d2,1,1000000,2.0,0.21600000000000008,0.0,0.0,2.0608789277076722,8.404000000000002,1.0,8.307999999999998,2.218117175102234,0.0,1.0,0.0,0.0,1.747461631298065,0.82,0.18,0.52,1.0189517718553542,0
attention_full_distance_penalty_wide_d2,2,250000,2.0,0.20000000000000007,0.0,0.0,2.799286618232727,31.28,0.46,28.96,3.0364733541011812,0.04,0.06,0.0,0.0,2.2136193037033083,0.48,0.0,0.04,2.5480573070049286,0
attention_full_distance_penalty_wide_d2,2,500000,2.0,0.20000000000000007,0.0,0.0,2.3106582283973696,9.319999999999999,1.0,9.048,2.7955695104599,0.0,1.0,0.0,0.0,1.8538553380966187,0.8,0.2,0.54,1.0234439638257027,0
attention_full_distance_penalty_wide_d2,2,750000,2.0,0.20000000000000007,0.0,0.0,2.0372329711914063,8.916,1.0,8.660000000000002,2.555093228816986,0.0,1.0,0.0,0.0,1.7138577365875245,0.78,0.22,0.52,1.0931334447860719,1
attention_full_distance_penalty_wide_d2,2,1000000,2.0,0.20000000000000007,0.0,0.0,1.9668021893501282,8.216000000000001,1.0,8.1,2.4336187052726745,0.0,1.0,0.0,0.0,1.6682712125778199,0.94,0.06,0.46,1.117437744140625,0
attention_full_risk_penalty,0,250000,1.0,0.20000000000000007,0.0,0.0,2.647464916706085,32.028,0.44,30.492000000000004,2.904252781867981,0.0,0.0,0.0,0.04,1.7218007242679596,0.68,0.0,0.0,2.2281193780899047,0
attention_full_risk_penalty,0,500000,1.0,0.20000000000000007,0.0,0.0,2.0302189564704896,8.44,1.0,8.58,2.220622630119324,0.0,1.0,0.0,0.08,1.4800609230995179,0.94,0.06,0.36,1.2847452092170715,0
