method,raw_method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,mean_time,min_distance_p10,min_distance_p25,min_distance_min,checkpoint_path,eval_csv_path
attention_full,attention_full,0,250000,eval_random_switch,1.0,50,1.0,0.0,,,,1.4078598785400391,0.1,0.1,8.020561275770555e-05,0.00017808977762712253,0.007151883470218172,0.0399049465973035,0.018812705731979754,0.018563702381798018,7.252000000000001,1.05213121175766,1.2952987253665924,0.800237774848938,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,results/p1_three_seed/eval/attention_full_s0_step250000_random.csv
attention_full,attention_full,0,250000,eval_random_switch_hard,1.0,50,0.96,0.04,,,,0.9433984690904618,0.58,0.58,0.005315466407381541,0.07142928221818218,0.12387710385389056,0.2617439396157772,0.07914325622841713,0.07706235036253925,6.831999999999999,0.7328418552875519,0.8517152816057205,0.4883908331394195,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,results/p1_three_seed/eval/attention_full_s0_step250000_hard.csv
attention_full,attention_full,0,250000,eval_sudden_turn,1.0,50,1.0,0.0,0.20800000000000007,0.20800000000000007,0.0,1.3336464941501618,0.1,0.1,2.0556786073481075e-05,9.715472643279238e-07,0.00558878376020212,0.0106990540103311,0.020363410290847195,0.020307260949011786,7.204000000000001,1.0051261067390442,1.1591953039169312,0.8965637683868408,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,results/p1_three_seed/eval/attention_full_s0_step250000_sudden.csv
attention_full,attention_full,0,250000,mixed_uncertainty,1.0,50,0.92,0.08,0.3360000000000001,0.3360000000000001,0.0,0.9696304303407669,0.6,0.6,0.002172177079978588,0.1723789285800791,0.22287394035154684,0.2927488912909917,0.07654406649883295,0.07563764525643472,7.0520000000000005,0.5849459409713745,0.7798258811235428,0.458937257528305,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,results/p1_three_seed/eval/attention_full_s0_step250000_mixed.csv
attention_full,attention_full,0,500000,eval_random_switch,1.0,50,1.0,0.0,,,,1.3811390066146851,0.1,0.1,0.00014524916925438136,7.462112940039105e-05,0.015250807176121036,0.0514871720793195,0.02055862268268778,0.020388749876396682,7.132000000000001,1.0241567075252533,1.1924160718917847,0.7730921506881714,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,results/p1_three_seed/eval/attention_full_s0_step500000_random.csv
attention_full,attention_full,0,500000,eval_random_switch_hard,1.0,50,0.98,0.02,,,,0.9022164136171341,0.68,0.68,0.005492387734614088,0.16285390075675607,0.17440526922564806,0.3279341498491073,0.07510463315993543,0.07315200323238966,6.868,0.5964573144912719,0.8038356304168701,0.4273446500301361,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,results/p1_three_seed/eval/attention_full_s0_step500000_hard.csv
attention_full,attention_full,0,500000,eval_sudden_turn,1.0,50,1.0,0.0,1.8600000000000005,0.3958333333333334,0.04,1.166894315481186,0.22,0.22,0.00012488769145419505,0.014220974869169775,0.020216453672376518,0.0578712047172302,0.02928819269931406,0.029030299794976556,7.047999999999999,0.880840253829956,1.0197691023349762,0.7594356536865234,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,results/p1_three_seed/eval/attention_full_s0_step500000_sudden.csv
attention_full,attention_full,0,500000,mixed_uncertainty,1.0,50,0.96,0.04,0.2200000000000001,0.2200000000000001,0.0,0.9886369866132736,0.6,0.6,0.002127145882022862,0.09852478398760876,0.14969999062443112,0.5613337994574232,0.06341297903010851,0.06311681384133404,7.168000000000001,0.6861186385154724,0.8030511885881424,0.2507778704166412,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,results/p1_three_seed/eval/attention_full_s0_step500000_mixed.csv
attention_full,attention_full,0,750000,eval_random_switch,1.0,50,1.0,0.0,,,,1.1767279243469237,0.24,0.24,0.0001853626621414106,0.00542506187105254,0.019587589004510842,0.0652692646366546,0.03661562652104184,0.03619919596948311,6.824000000000001,0.9273965239524843,1.001636266708374,0.7445214986801147,checkpoints/longtrain_baseline/attention_full_s0_step750000.zip,results/p1_three_seed/eval/attention_full_s0_step750000_random.csv
attention_full,attention_full,0,750000,eval_random_switch_hard,1.0,50,0.94,0.06,,,,0.844206919670105,0.84,0.84,0.009117599136498001,0.1450049208995274,0.19973954653452844,0.249592946894154,0.11928371276706454,0.11605811372399327,6.376,0.6192607283592224,0.7727484554052353,0.5004072189331055,checkpoints/longtrain_baseline/attention_full_s0_step750000.zip,results/p1_three_seed/eval/attention_full_s0_step750000_hard.csv
