method,step,scenario,seed_count,d_warning,mean_success_rate,std_success_rate,mean_collision_rate,std_collision_rate,mean_reaction_time_eval_style,std_reaction_time_eval_style,mean_reaction_time_nan_style,std_reaction_time_nan_style,mean_nan_reaction_rate,std_nan_reaction_rate,mean_mean_min_distance,std_mean_min_distance,mean_near_miss_rate,std_near_miss_rate,mean_distance_warning_cost_nonzero_rate,std_distance_warning_cost_nonzero_rate,mean_distance_warning_cost_mean,std_distance_warning_cost_mean,mean_distance_warning_cost_p90,std_distance_warning_cost_p90,mean_distance_warning_cost_p95,std_distance_warning_cost_p95,mean_distance_warning_cost_max,std_distance_warning_cost_max,mean_risk_sum_mean,std_risk_sum_mean,mean_risk_max_mean,std_risk_max_mean,mean_mean_time,std_mean_time
attention_full,250000,eval_random_switch,3,1.0,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,,,,,,,1.5914457450310389,0.22608412449307053,0.10666666666666667,0.03055050463303894,0.10666666666666667,0.03055050463303894,0.00015682563281037024,0.00020065457748444615,6.803444471922667e-05,9.619411887918599e-05,0.003034056342446825,0.0035936636021012235,0.11219668482887263,0.15425712060173996,0.019700925886940425,0.0016903730921127393,0.019513539661903334,0.0018034473464841319,7.217333333333333,0.046875722216659574
attention_full,250000,eval_random_switch_hard,3,1.0,0.9866666666666667,0.023094010767585053,0.013333333333333334,0.023094010767585032,,,,,,,1.0017615979909895,0.052223018400518365,0.5133333333333333,0.06110100926607784,0.5133333333333333,0.06110100926607784,0.0021233272351511494,0.0027645051533551138,0.04275391845851947,0.0251085961048082,0.06588365601042526,0.05112407849332869,0.13682762526404135,0.10886784242975413,0.05178238071501251,0.023874329275259194,0.050502582515279414,0.02319342571681246,7.145333333333333,0.27926570382582533
attention_full,250000,eval_sudden_turn,3,1.0,1.0,0.0,0.0,0.0,0.2173333333333334,0.010066445913694341,0.2173333333333334,0.010066445913694341,0.0,0.0,1.34665412346522,0.04986884443161522,0.11333333333333333,0.011547005383792509,0.11333333333333333,0.011547005383792509,1.4265754509776155e-05,7.5228489854768545e-06,0.00012880165461230826,0.00015589202973963489,0.0030806641561826596,0.002518124480276734,0.0113299927056225,0.006992567825744317,0.020473548638642522,0.004517929877072433,0.020298417807271058,0.004314911643024624,7.298666666666668,0.09816992071573344
attention_full,250000,mixed_uncertainty,3,1.0,0.9,0.03464101615137758,0.10000000000000002,0.03464101615137755,0.2840000000000001,0.07343023900274327,0.2840000000000001,0.07343023900274327,0.0,0.0,0.8895140663782755,0.0745438558644817,0.6999999999999998,0.08717797887081348,0.6999999999999998,0.08717797887081348,0.003544277400734063,0.001261211017927596,0.19208675075097284,0.020180280789208967,0.2564980333336737,0.030806324066084693,0.4364817933940592,0.13785719421710518,0.08866727008171622,0.012970078695973782,0.08808362460595953,0.013136120161979273,7.2106666666666674,0.14914869537925354
attention_full,500000,eval_random_switch,3,1.0,1.0,0.0,0.0,0.0,,,,,,,1.499481231371562,0.22272232970328715,0.20000000000000004,0.09999999999999999,0.20000000000000004,0.09999999999999999,0.0002561467480446257,0.0002028678835947365,0.01708832560599551,0.018520684281234986,0.030415609469639077,0.022598212056097574,0.07576671984926496,0.06170422147151506,0.030332216189654263,0.009832601943010189,0.030035972105682623,0.009718011018689873,7.033333333333334,0.10002666311205904
attention_full,500000,eval_random_switch_hard,3,1.0,0.9866666666666667,0.011547005383792525,0.013333333333333334,0.011547005383792516,,,,,,,0.9072924270232519,0.03495235709502884,0.7200000000000001,0.06928203230275509,0.7200000000000001,0.06928203230275509,0.0034459731857539757,0.0021428841914095716,0.12291083196694774,0.04789399202854335,0.14596669117067915,0.038724447841820324,0.22105581058696944,0.10210401110218117,0.07332958826174335,0.017766977471974598,0.0699385184360047,0.015527545249769995,6.8773333333333335,0.11428619047519831
attention_full,500000,eval_sudden_turn,3,1.0,1.0,0.0,0.0,0.0,2.6,0.6985585158023626,0.4036681570562237,0.09478525862619684,0.06,0.02,1.2165722600618996,0.05778170522507332,0.22666666666666668,0.07023769168568492,0.22666666666666668,0.07023769168568492,8.317945026329548e-05,3.739970488605227e-05,0.006498179841208168,0.006873926430833365,0.014557088164958288,0.0052952863556771585,0.036610241432722235,0.0184402683300099,0.032141805479392695,0.005959997622457076,0.03164783591849599,0.0053907576742344325,7.044,0.0660908465674335
attention_full,500000,mixed_uncertainty,3,1.0,0.8666666666666666,0.10066445913694332,0.13333333333333333,0.10066445913694332,0.26800000000000007,0.043266615305567864,0.26800000000000007,0.043266615305567864,0.0,0.0,0.9045587915182113,0.07735775601539054,0.6866666666666665,0.08082903768654762,0.6866666666666665,0.08082903768654762,0.00350824245822079,0.0013569885018388142,0.19762675265581583,0.08767571796531443,0.2613951843627325,0.09693860752878211,0.4671453947785021,0.09118138315853211,0.09084872057010211,0.02384869366353816,0.09023087224031585,0.02354528591518469,7.124000000000001,0.06286493458200695
attention_full,750000,eval_random_switch,3,1.0,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,,,,,,,1.3628237322966257,0.2661411286831376,0.2933333333333333,0.14742229591663988,0.2933333333333333,0.14742229591663988,0.00047666182725425595,0.00048215448877911835,0.018464769410398995,0.021013535379553038,0.04115856853944914,0.0284410723664441,0.147971298948768,0.15477482426231207,0.04564215385127046,0.017955112381506346,0.04476650785581995,0.017221947151758996,6.810666666666667,0.12055427546683341
attention_full,750000,eval_random_switch_hard,3,1.0,0.9666666666666667,0.023094010767585053,0.03333333333333333,0.02309401076758503,,,,,,,0.8422062838077545,0.056126421664825,0.86,0.07211102550927974,0.86,0.07211102550927974,0.006558741916836453,0.0033454601302988925,0.14052740784732226,0.035306561048764756,0.16928254634499665,0.04318952496568024,0.24788961993289146,0.02295515822355004,0.11021064752712843,0.028832252293738276,0.10314136901870367,0.02407942828258088,6.578666666666667,0.20005332622411762
