method,raw_method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,mean_time,min_distance_p10,min_distance_p25,min_distance_min,checkpoint_path,eval_csv_path,sweep_label
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,1000000,eval_random_switch,1.0,50,1.0,0.0,,,,1.1789413702487945,0.24,0.24,0.0001961515238065137,0.007348369340062513,0.021970681434953294,0.0596098544748748,0.04181846124983163,0.04118708970189796,6.824,0.9143611550331116,1.0102111101150513,0.7558487057685852,checkpoints/gate2b/attention_full_distance_penalty_s0_step1000000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step1000000_random.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,1000000,eval_random_switch_hard,1.0,50,0.96,0.04,,,,0.8501770585775376,0.88,0.88,0.009000749322822197,0.13357290975710895,0.18608702641867628,0.3739844395776694,0.108914849050343,0.10537031803280111,6.5440000000000005,0.6345755815505981,0.7837980687618256,0.388457328081131,checkpoints/gate2b/attention_full_distance_penalty_s0_step1000000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step1000000_hard.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,1000000,eval_sudden_turn,1.0,50,1.0,0.0,7.5360000000000005,1.0682926829268293,0.18,1.0465904653072358,0.44,0.44,0.0003038358636155007,0.025417105977020422,0.040281373964901876,0.0453731641113144,0.05006128249689933,0.04955356505699452,6.772,0.8411337673664093,0.9015686213970184,0.786990225315094,checkpoints/gate2b/attention_full_distance_penalty_s0_step1000000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step1000000_sudden.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,1000000,mixed_uncertainty,1.0,50,0.94,0.06,0.9320000000000003,0.9320000000000003,0.0,0.9947926092147827,0.54,0.54,0.0018403022178426647,0.07745766653358223,0.18765818234076956,0.245273671006263,0.07359962124959561,0.07225395002285945,6.800000000000001,0.7231786131858826,0.8626145273447037,0.5047488808631897,checkpoints/gate2b/attention_full_distance_penalty_s0_step1000000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step1000000_mixed.csv,d1.0
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,250000,eval_random_switch,1.5,50,1.0,0.0,,,,2.4882832860946653,0.0,0.04,2.417692216113e-05,0.0,0.0,0.0204020475571411,0.0004028639565191673,0.0004028639537856344,9.892000000000001,1.7948856830596924,2.085789680480957,1.3571642637252808,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step250000_random.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,250000,eval_random_switch_hard,1.5,50,1.0,0.0,,,,1.5682525396347047,0.08,0.4,0.00432404589882933,0.21105039139890358,0.33292078497271393,0.8662240216956754,0.02462045648584076,0.022858342990439227,13.208,1.040783417224884,1.2218750715255737,0.569288432598114,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step250000_hard.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,250000,eval_sudden_turn,1.5,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.1959517359733582,0.0,0.14,9.005730252965543e-05,0.00027609423003124086,0.007375610294135918,0.0691572181531228,0.0022956498453504033,0.002295649832851867,10.164000000000001,1.4839483499526978,1.8219777047634127,1.2370223999023438,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step250000_sudden.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,250000,mixed_uncertainty,1.5,50,0.98,0.02,0.20800000000000007,0.20800000000000007,0.0,1.3335367989540101,0.22,0.76,0.01025509188606517,0.36922290834693605,0.46786635324543263,0.9792756061587546,0.03673322033104197,0.035786232224597536,9.036,0.8923785388469696,1.0575945377349854,0.5104164481163025,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step250000_mixed.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,500000,eval_random_switch,1.5,50,1.0,0.0,,,,2.0277389311790466,0.0,0.06,0.0001515494186742206,0.0,7.48548490456246e-05,0.1262831240185278,0.0009303846720418362,0.0009302349616611372,8.028,1.5703803181648257,1.728034794330597,1.144636631011963,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step500000_random.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,500000,eval_random_switch_hard,1.5,50,1.0,0.0,,,,1.3441034066677093,0.1,0.74,0.006729509128590473,0.2352080468407128,0.33273122606970323,0.7415066883995678,0.008921811518957793,0.008909821139241056,8.232000000000001,1.0155278503894807,1.2511640787124634,0.6388921737670898,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step500000_hard.csv,d1.5
