training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase,breakdown_type,breakdown_key,threat_motion_mode,threat_class
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_sudden_threat,50,0.44,0.56,0.44,0.9588493121022444,4.895858995631301,0.7053199768066406,103.66,29.946726210954207,0.241645029723951,0.2822923850104798,1.5546554621210265,0.1029167042473501,0.0,2.889898862192817,0,,scenario,eval_flow_sudden_threat,,
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_density,50,0.38,0.62,0.36,0.9202320605544848,4.475453615905822,0.699850143790245,102.26,27.12546731329612,0.3026395526281177,0.3437495553769918,1.558010927330929,0.1156637989485906,0.0,2.566086793093932,0,,scenario,eval_flow_high_density,,
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_speed,50,0.38,0.62,0.36,0.9549050629390904,4.413689863741139,0.675150126516819,106.38,28.64582592966289,0.2696679373107234,0.3172837896640095,1.5514881385902612,0.1117380149193293,0.0,2.6514894307076986,0,,scenario,eval_flow_high_speed,,
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_threat,50,0.46,0.54,0.42,0.9707886450890092,4.843065304313372,0.7165448486804962,110.18,30.661480526064143,0.2650503576215923,0.3037202418118501,1.5455095344043326,0.1205138326847786,0.0,3.008889399703507,0,,scenario,eval_flow_high_threat,,
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_id,50,0.54,0.46,0.5,0.9679793669462308,5.054514384491614,0.7398345246911049,105.38,32.31522671951618,0.2558406597022939,0.2876992376461813,1.5556213522557425,0.101604999571092,0.0,3.049887289242893,0,,scenario,eval_flow_id,,
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_mixed_ood,50,0.32,0.68,0.3,0.9407822812147596,4.615821784985852,0.6495538249611854,103.26,26.92271205116476,0.2758862013204727,0.3215679003035474,1.558632540072682,0.1098335025042157,0.0,2.770249791461316,0,,scenario,eval_flow_mixed_ood,,
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_sudden_threat,50,0.44,0.56,0.44,0.9610892971566384,4.911403745921114,0.7088932013511657,103.82,30.026077559823293,0.2410885079848206,0.2810836893583059,1.554849578378611,0.1026744596539073,0.0,2.901776573853924,0,,scenario,eval_flow_sudden_threat,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_high_density,50,0.58,0.42,0.58,0.939526067957397,4.328267643082986,0.7438231861591339,112.12,32.51240677813867,0.3668629067685496,0.4098521776722496,1.555109060837417,0.1541864888120823,0.0,2.305570731237271,0,N3PF-V,scenario,eval_flow_high_density,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_high_speed,50,0.56,0.44,0.5,0.9511709328832066,4.88371882601391,0.8208246803283692,117.86,32.60258183272877,0.2481605089703789,0.2989316476938176,1.5552047172452266,0.1467237025889398,0.0,3.005499883323904,0,N3PF-V,scenario,eval_flow_high_speed,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_high_threat,50,0.6,0.4,0.58,0.9703945973200166,4.664034107842646,0.7845485258102417,120.6,34.03414576242102,0.3057862680241021,0.3423076632129253,1.5171911538974396,0.1637866563947305,0.0,2.7777995425832827,0,N3PF-V,scenario,eval_flow_high_threat,,
