variant,selected_checkpoint_label,selected_checkpoint_path,selected_checkpoint_step,selection_metric,selection_score,success_rate,collision_rate,progress,raw_unsafe_action_rate,hard_filter_pass,seed2_screening_gate_pass,trend_improving_through_1000k,trend_detail,continue_to_1500k_recommended,selector_used_only_validation_seeds,test_seed_used_for_selection
stab_s1_lr1e4,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/final.zip,1000000,success_minus_2collision,-0.5249999999999999,0.49166666666666664,0.5083333333333333,0.964442275776306,0.23485869004308052,0,0,0,"score_sequence=-1.1350,-1.1900,-0.6850",0,1,0
stab_s1_lr2e4,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/checkpoint_1000k.zip,1000000,success_minus_2collision,-0.32499999999999984,0.5583333333333333,0.4416666666666666,0.9758154449801448,0.1909431347151877,1,0,1,"score_sequence=-0.7650,-0.3400,-0.3250",1,1,0
stab_s2d_gated,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/checkpoint_1000k.zip,1000000,success_minus_2collision,-0.21999999999999997,0.5933333333333334,0.4066666666666667,0.9725940180557717,0.20495429502975765,1,1,1,"score_sequence=-0.7850,-0.6550,-0.2200",1,1,0
