stage,variant,method_name,training_seed,command,config,out_dir,gpsi_checkpoint,gpsi_checkpoint_sha256,learning_rate,feature_adapter,s2_variant,s2_claim,train_steps,checkpoint_steps,n_envs,device,adapter_parameter_count
train,stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr1e4.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr1e4.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0001,block_projected_no_z,,,1000000,"[500000, 750000, 1000000]",4,cpu,864
"00]""",4,cpu,-1,,,,,,,,,,,,,,
train,stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr1e4.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300 --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr1e4.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0001,block_projected_no_z,,,1000000,"[500000, 750000, 1000000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_s2d_attention_like_gated_gpsi,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300 --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1000000,"[500000, 750000, 1000000]",4,cpu,-1
train,stab_s1_lr2e4,n3pf_stab_s1_lr2e4_block_projected_no_z,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr2e4.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr2e4.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0002,block_projected_no_z,,,1000000,"[500000, 750000, 1000000]",4,cpu,864
train,stab_s1_lr2e4,n3pf_stab_s1_lr2e4_block_projected_no_z,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr2e4.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300 --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr2e4.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0002,block_projected_no_z,,,1000000,"[500000, 750000, 1000000]",4,cpu,-1
train,stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr1e4.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300 --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr1e4.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0001,block_projected_no_z,,,1000000,"[500000, 750000, 1000000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_s2d_attention_like_gated_gpsi,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300 --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1000000,"[500000, 750000, 1000000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_s2d_attention_like_gated_gpsi,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1000000,"[500000, 750000, 1000000]",4,cpu,0
train,stab_s1_lr2e4,n3pf_stab_s1_lr2e4_block_projected_no_z,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr2e4.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2 --train-steps 1000000 --checkpoint-steps 500000 750000 1000000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300 --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_s1_lr2e4.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0002,block_projected_no_z,,,1000000,"[500000, 750000, 1000000]",4,cpu,-1
