episode,step,time,turn_time,turn_step,scenario,success,collision,uav_position,uav_velocity,goal_position,action,min_distance,distance_warning_cost,risk_sum,risk_max,risk_values,sigma_values,reaction_flag,reaction_time_current,attention_weights,attention_entropy,turning_obstacle_id,turning_obstacle_attention_weight,turning_obstacle_attention_rank,turning_obstacle_risk,R_sum,R_max,lateral_deviation,base_reward,applied_cost,shaped_reward,fallback_penalty_active
3,1,0.2,3.0,15,mixed_uncertainty,0,0,"[-5.661259174346924,1.2648245096206665,3.446873903274536]","[1.1189993619918823,-0.9114976525306702,0.9526766538619995]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[0.9320293664932251,-0.7591984868049622,0.7934969663619995]",2.453788995742798,0.0,2.5840956368483603e-05,2.5840956368483603e-05,"[1.031423218799091e-20,4.3965739318191136e-41,2.5840956368483603e-05]","[0.22499999403953552,0.22499999403953552,0.22499999403953552,0.2253750115633011,0.25000134110450745,0.24184595048427582,0.2912707030773163,0.36359360814094543,0.2285812646150589]",0,nan,"[0.4086230993270874,0.1998925507068634,0.3914843499660492]",1.0546621084213257,-1,nan,nan,nan,2.5840956368483603e-05,2.5840956368483603e-05,2.418586015701294,0.07761506080627441,0.0,0.07761506080627441,0
3,2,0.4,3.0,15,mixed_uncertainty,0,0,"[-5.431285381317139,1.0404671430587769,3.6723458766937256]","[1.1498688459396362,-1.1217865943908691,1.1273596286773682]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-1.0,1.0]",2.330334424972534,0.0,6.589986151084304e-05,6.589986151084304e-05,"[8.085963906895595e-24,0.0,6.589986151084304e-05]","[0.20249998569488525,0.20249998569488525,0.20249998569488525,0.20326454937458038,0.23998397588729858,0.22540216147899628,0.31582289934158325,0.4394950568675995,0.2086239606142044]",0,nan,"[0.27604007720947266,0.17884518206119537,0.5451146960258484]",0.9939092397689819,-1,nan,nan,nan,6.589986151084304e-05,6.589986151084304e-05,3.1074440479278564,0.16697232030332088,0.0,0.16697232030332088,0
3,3,0.6000000000000001,3.0,15,mixed_uncertainty,0,0,"[-5.200476169586182,0.810417890548706,3.902545928955078]","[1.154046654701233,-1.1502461433410645,1.1510003805160522]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-1.0,1.0]",2.2388405799865723,0.0,9.932630928233266e-05,9.932630928233266e-05,"[2.076563280906578e-27,0.0,9.932630928233266e-05]","[0.1822499781847,0.1822499781847,0.1822499781847,0.18351857364177704,0.2217310667037964,0.20572176575660706,0.3277208209037781,0.4864768087863922,0.19011123478412628]",0,nan,"[0.22229278087615967,0.17172111570835114,0.6059861183166504]",0.9403649568557739,-1,nan,nan,nan,9.932630928233266e-05,9.932630928233266e-05,3.1529505252838135,0.16133808135986327,0.0,0.16133808135986327,0
3,4,0.8,3.0,15,mixed_uncertainty,0,0,"[-4.9695539474487305,0.5795983672142029,4.13338565826416]","[1.1546120643615723,-1.1540976762771606,1.1541997194290161]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-1.0,1.0]",2.1838479042053223,0.0,7.689576887059957e-05,7.689576887059957e-05,"[7.29161438029049e-32,0.0,7.689576887059957e-05]","[0.1640249788761139,0.1640249788761139,0.1640249788761139,0.1658586859703064,0.1999586671590805,0.18602167069911957,0.3301677107810974,0.5114834308624268,0.17300334572792053]",0,nan,"[0.2001299113035202,0.1689097136259079,0.6309603452682495]",0.9129191637039185,-1,nan,nan,nan,7.689576887059957e-05,7.689576887059957e-05,3.1967861652374268,0.14993690490722655,0.0,0.14993690490722655,0
3,5,1.0,3.0,15,mixed_uncertainty,0,0,"[-4.738615989685059,0.34867456555366516,4.364312171936035]","[1.1546885967254639,-1.1546189785003662,1.1546326875686646]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-1.0,1.0]",2.168128490447998,0.0,3.06347974401433e-05,3.06347974401433e-05,"[1.9197589416348674e-37,0.0,3.06347974401433e-05]","[0.1476224809885025,0.1476224809885025,0.1476224809885025,0.14984451234340668,0.18149612843990326,0.1678059697151184,0.325678288936615,0.5199950933456421,0.15724462270736694]",0,nan,"[0.20434288680553436,0.18280185759067535,0.6128552556037903]",0.9352024793624878,-1,nan,nan,nan,3.06347974401433e-05,3.06347974401433e-05,3.2384910583496094,0.13807987213134765,0.0,0.13807987213134765,0
3,6,1.2000000000000002,3.0,15,mixed_uncertainty,0,0,"[-4.503941535949707,0.1254233419895172,4.598984718322754]","[1.1733710765838623,-1.1162561178207397,1.1733635663986206]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-0.943854570388794,1.0]",2.192007064819336,0.0,5.816878456244012e-06,5.816878456244012e-06,"[4.203895392974451e-44,0.0,5.816878456244012e-06]","[0.1328602284193039,0.1328602284193039,0.1328602284193039,0.1351163387298584,0.17183808982372284,0.15163113176822662,0.3162176311016083,0.5163201689720154,0.14276887476444244]",0,nan,"[0.23030346632003784,0.21549779176712036,0.5541987419128418]",0.9960205554962158,-1,nan,nan,nan,5.816878456244012e-06,5.816878456244012e-06,3.2036075592041016,0.12961479970021172,0.0,0.12961479970021172,0
3,7,1.4000000000000001,3.0,15,mixed_uncertainty,0,0,"[-4.259713649749756,-0.0760730504989624,4.843212604522705]","[1.221139669418335,-1.0074819326400757,1.221138596534729]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-0.8061563968658447,1.0]",2.256113290786743,0.0,3.9491860093221476e-07,3.9491860093221476e-07,"[0.0,0.0,3.9491860093221476e-07]","[0.11957420408725739,0.11957420408725739,0.11957420408725739,0.12163341045379639,0.1716856062412262,0.13812851905822754,0.30331265926361084,0.5038310885429382,0.12950344383716583]",0,nan,"[0.2774781882762909,0.2703535556793213,0.45216822624206543]",1.0682461261749268,-1,nan,nan,nan,3.9491860093221476e-07,3.9491860093221476e-07,3.070014715194702,0.1268903242982924,0.0,0.1268903242982924,0
3,8,1.6,3.0,15,mixed_uncertainty,0,0,"[-4.003259658813477,-0.2440793812274933,5.099666595458984]","[1.2822704315185547,-0.840031623840332,1.2822701930999756]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-0.629972517490387,1.0]",2.362567186355591,0.0,6.38686303844338e-09,6.38686303844338e-09,"[0.0,0.0,6.38686303844338e-09]","[0.10761678218841553,0.10761678218841553,0.10761678218841553,0.10948466509580612,0.17736780643463135,0.1282070279121399,0.28814199566841125,0.4851537346839905,0.11737237870693207]",0,nan,"[0.32839125394821167,0.3319888710975647,0.3396199345588684]",1.0985138416290283,-1,nan,nan,nan,6.38686303844338e-09,6.38686303844338e-09,2.9123125076293945,0.12837677976116538,0.0,0.12837677976116538,0
3,9,1.8,3.0,15,mixed_uncertainty,0,0,"[-3.733966827392578,-0.36460450291633606,5.368959426879883]","[1.3464640378952026,-0.6026256084442139,1.3464640378952026]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-0.4168540835380554,1.0]",2.513685703277588,0.0,1.4912609341832805e-11,1.4912609341832805e-11,"[0.0,0.0,1.4912609341832805e-11]","[0.09685510396957397,0.09685510396957397,0.09685510396957397,0.09860840439796448,0.1838320642709732,0.12260682880878448,0.271607905626297,0.4623200297355652,0.10629875212907791]",0,nan,"[0.3507535457611084,0.36535805463790894,0.2838883399963379]",1.0928101539611816,-1,nan,nan,nan,1.4912609341832805e-11,1.4912609341832805e-11,2.757134199142456,0.13311286155134439,0.0,0.13311286155134439,0
3,10,2.0,3.0,15,mixed_uncertainty,0,0,"[-3.4546890258789062,-0.42199400067329407,5.648237228393555]","[1.396389365196228,-0.2869475185871124,1.396389365196228]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,-0.1691623330116272,1.0]",2.7111244201660156,0.0,3.1696032178562226e-15,3.1696032178562226e-15,"[0.0,0.0,3.1696032178562226e-15]","[0.0871695876121521,0.0871695876121521,0.0871695876121521,0.08880355209112167,0.1868886947631836,0.12159779667854309,0.254393994808197,0.4368901550769806,0.09620640426874161]",0,nan,"[0.36858245730400085,0.39212146401405334,0.239296093583107]",1.0771827697753906,-1,nan,nan,nan,3.1696032178562226e-15,3.1696032178562226e-15,2.64231276512146,0.1396195126324892,0.0,0.1396195126324892,0
3,11,2.2,3.0,15,mixed_uncertainty,0,0,"[-3.1694042682647705,-0.41305094957351685,5.927059173583984]","[1.426424264907837,0.044715285301208496,1.3941086530685425]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,0.06751776486635208,0.9738851189613342]",2.950080156326294,0.0,7.486349020062307e-20,7.486349020062307e-20,"[0.0,0.0,7.486349020062307e-20]","[0.07845262438058853,0.07845262438058853,0.07845262438058853,0.079924076795578,0.1839861273765564,0.12495085597038269,0.23701155185699463,0.4100508987903595,0.08702115714550018]",0,nan,"[0.38633427023887634,0.4171917140483856,0.19647404551506042]",1.0518444776535034,-1,nan,nan,nan,7.486349020062307e-20,7.486349020062307e-20,2.5685606002807617,0.14797835886478422,0.0,0.14797835886478422,0
3,12,2.4000000000000004,3.0,15,mixed_uncertainty,0,0,"[-2.874591588973999,-0.34593597054481506,6.18759298324585]","[1.4740636348724365,0.3355748951435089,1.3026680946350098]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,0.25723549723625183,0.8696177005767822]",3.2156476974487305,0.0,5.278547376379012e-25,5.278547376379012e-25,"[0.0,0.0,5.278547376379012e-25]","[0.07060735672712326,0.07060735672712326,0.07060735672712326,0.07203029841184616,0.17439061403274536,0.13191591203212738,0.2198365330696106,0.3826940953731537,0.07867171615362167]",0,nan,"[0.3992552161216736,0.43783241510391235,0.16291238367557526]",1.0238035917282104,-1,nan,nan,nan,5.278547376379012e-25,5.278547376379012e-25,2.426121234893799,0.164826574139297,0.0,0.164826574139297,0
3,13,2.6,3.0,15,mixed_uncertainty,0,0,"[-2.5710744857788086,-0.23120111227035522,6.42025089263916]","[1.5175859928131104,0.5736743211746216,1.163288950920105]","[6.242019176483154,2.007880926132202,2.0213115215301514]","[1.0,0.400775283575058,0.7488029599189758]",3.500563144683838,0.0,7.0612523997115415e-31,7.0612523997115415e-31,"[0.0,0.0,7.0612523997115415e-31]","[0.06354662030935287,0.06354662030935287,0.06354662030935287,0.06533835828304291,0.15954886376857758,0.14101608097553253,0.203139066696167,0.35547977685928345,0.0710902065038681]",0,nan,"[0.4056151211261749,0.458246648311615,0.1361382156610489]",0.9950698614120483,-1,nan,nan,nan,7.0612523997115415e-31,7.0612523997115415e-31,2.295926332473755,0.18317580498754976,0.0,0.18317580498754976,0
