episode,step,time,turn_time,turn_step,scenario,success,collision,uav_position,uav_velocity,goal_position,action,min_distance,distance_warning_cost,risk_sum,risk_max,risk_values,sigma_values,reaction_flag,reaction_time_current,attention_weights,attention_entropy,turning_obstacle_id,turning_obstacle_attention_weight,turning_obstacle_attention_rank,turning_obstacle_risk,R_sum,R_max,lateral_deviation,base_reward,applied_cost,shaped_reward,fallback_penalty_active
0,1,0.2,3.0,15,mixed_uncertainty,0,0,"[6.104198455810547,-2.6083505153656006,2.743713140487671]","[-1.5078215599060059,0.3120904862880707,0.7871809601783752]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.20698104798793793,0.5220650434494019]",2.5120222568511963,0.0,0.0006635583704337478,0.0006635583704337478,"[2.7589002536427134e-25,0.0,0.0006635583704337478]","[0.22499999403953552,0.22499999403953552,0.22499999403953552,0.22506749629974365,0.2524052858352661,0.24342353641986847,0.28127914667129517,0.33586275577545166,0.22534583508968353]",0,nan,"[0.33689895272254944,0.13825581967830658,0.5248452425003052]",0.9784389734268188,-1,nan,nan,nan,0.0006635583704337478,0.0006635583704337478,1.2662030458450317,0.21406818270683287,0.0,0.21406818270683287,0
0,2,0.4,3.0,15,mixed_uncertainty,0,0,"[5.754311561584473,-2.5434999465942383,2.909639358520508]","[-1.7494338750839233,0.324252724647522,0.8296316862106323]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.1824905425310135,0.4679120182991028]",2.2596757411956787,0.0,0.012834219262003899,0.012834219262003899,"[1.1319229050510148e-24,0.0,0.012834219262003899]","[0.20249998569488525,0.20249998569488525,0.20249998569488525,0.2027251273393631,0.24364379048347473,0.22760283946990967,0.2987373471260071,0.3920752704143524,0.20309138298034668]",0,nan,"[0.46713924407958984,0.2976570129394531,0.23520374298095703]",1.0566685199737549,-1,nan,nan,nan,0.012834219262003899,0.012834219262003899,1.1803069114685059,0.3240385474381037,0.0,0.3240385474381037,0
0,3,0.6000000000000001,3.0,15,mixed_uncertainty,0,0,"[5.3904218673706055,-2.490226984024048,3.064183235168457]","[-1.8194477558135986,0.26636451482772827,0.772719144821167]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.14057207107543945,0.4172906279563904]",2.0285754203796387,0.0,0.04654325917363167,0.04654325917363167,"[7.186270904111813e-25,0.0,0.04654325917363167]","[0.1822499781847,0.1822499781847,0.1822499781847,0.1828424036502838,0.2256690263748169,0.2080482691526413,0.3057883679866791,0.42560476064682007,0.18300914764404297]",0,nan,"[0.5020530223846436,0.34167903661727905,0.1562679558992386]",1.0029247999191284,-1,nan,nan,nan,0.04654325917363167,0.04654325917363167,1.0898339748382568,0.33577133576385676,0.0,0.33577133576385676,0
0,4,0.8,3.0,15,mixed_uncertainty,0,0,"[5.019636154174805,-2.448444128036499,3.2077391147613525]","[-1.8539292812347412,0.20891417562961578,0.7177796959877014]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.10752399265766144,0.3814181089401245]",1.839859962463379,0.0,0.07306978851556778,0.07306978851556778,"[3.207027481995482e-25,0.0,0.07306978851556778]","[0.1640249788761139,0.1640249788761139,0.1640249788761139,0.16519762575626373,0.2035815268754959,0.1882603019475937,0.3051185607910156,0.44196128845214844,0.1648920178413391]",0,nan,"[0.5237667560577393,0.35804152488708496,0.1181916743516922]",0.958863377571106,-1,nan,nan,nan,0.07306978851556778,0.07306978851556778,1.0343619585037231,0.3408980476297438,0.0,0.3408980476297438,0
0,5,1.0,3.0,15,mixed_uncertainty,0,0,"[4.644198894500732,-2.4161863327026367,3.3417255878448486]","[-1.8771854639053345,0.16128909587860107,0.6699318885803223]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.08179118484258652,0.35220861434936523]",1.7132387161254883,0.0,0.05988449975848198,0.05988449975848198,"[1.3203951366398967e-25,0.0,0.05988449975848198]","[0.1476224809885025,0.1476224809885025,0.1476224809885025,0.14933033287525177,0.1848117709159851,0.16990168392658234,0.29883304238319397,0.445487916469574,0.14855168759822845]",0,nan,"[0.5363453030586243,0.36903122067451477,0.09462340921163559]",0.9251163005828857,-1,nan,nan,nan,0.05988449975848198,0.05988449975848198,0.9971532821655273,0.3438403996150009,0.0,0.3438403996150009,0
0,6,1.2000000000000002,3.0,15,mixed_uncertainty,0,0,"[4.2639007568359375,-2.3924617767333984,3.4632320404052734]","[-1.9014896154403687,0.11862324923276901,0.6075323820114136]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.058754876255989075,0.3137394189834595]",1.6636005640029907,0.0,0.02696334943175316,0.02696334943175316,"[8.440514630430204e-26,0.0,0.02696334943175316]","[0.1328602284193039,0.1328602284193039,0.1328602284193039,0.1347646713256836,0.17542651295661926,0.15361575782299042,0.2885730564594269,0.439594566822052,0.13381710648536682]",0,nan,"[0.540795087814331,0.37899962067604065,0.0802052766084671]",0.9025190472602844,-1,nan,nan,nan,0.02696334943175316,0.02696334943175316,0.9442221522331238,0.34757121014175935,0.0,0.34757121014175935,0
0,7,1.4000000000000001,3.0,15,mixed_uncertainty,0,0,"[3.878882646560669,-2.375418186187744,3.570096969604492]","[-1.9250909090042114,0.08521813899278641,0.5343252420425415]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.04147152230143547,0.2710862159729004]",1.6977297067642212,0.0,0.0059355078265070915,0.0059355078265070915,"[8.964195628278097e-26,0.0,0.0059355078265070915]","[0.11957420408725739,0.11957420408725739,0.11957420408725739,0.1213667094707489,0.17630994319915771,0.14009910821914673,0.27561062574386597,0.4269460141658783,0.12053307145833969]",0,nan,"[0.539133608341217,0.392046719789505,0.06881965696811676]",0.8843545317649841,-1,nan,nan,nan,0.0059355078265070915,0.0059355078265070915,0.8857558965682983,0.3518335297331214,0.0,0.3518335297331214,0
0,8,1.6,3.0,15,mixed_uncertainty,0,0,"[3.4902632236480713,-2.361778974533081,3.6636414527893066]","[-1.9430967569351196,0.06819639354944229,0.4677218794822693]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.03367679938673973,0.2350037395954132]",1.8115066289901733,0.0,0.0005131631041876972,0.0005131631041876972,"[1.1558746203300779e-25,0.0,0.0005131631041876972]","[0.10761678218841553,0.10761678218841553,0.10761678218841553,0.10923075675964355,0.18352259695529938,0.13032978773117065,0.26092442870140076,0.4096132516860962,0.10855887830257416]",0,nan,"[0.5303986668586731,0.41142117977142334,0.05818011239171028]",0.8672150373458862,-1,nan,nan,nan,0.0005131631041876972,0.0005131631041876972,0.8436056971549988,0.3550823165196925,0.0,0.3550823165196925,0
0,9,1.8,3.0,15,mixed_uncertainty,0,0,"[3.0991370677948,-2.3484911918640137,3.7462167739868164]","[-1.955631136894226,0.06643906235694885,0.4128764271736145]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.03379865363240242,0.20652511715888977]",1.991391658782959,0.0,1.3722310541197658e-05,1.3722310541197658e-05,"[1.529640738268803e-25,0.0,1.3722310541197658e-05]","[0.09685510396957397,0.09685510396957397,0.09685510396957397,0.09835057705640793,0.19153733551502228,0.1251211017370224,0.24526061117649078,0.3891950249671936,0.09776706993579865]",0,nan,"[0.5122391581535339,0.4382908046245575,0.04947005584836006]",0.8529296517372131,-1,nan,nan,nan,1.3722310541197658e-05,1.3722310541197658e-05,0.819489061832428,0.35698005465441385,0.0,0.35698005465441385,0
0,10,2.0,3.0,15,mixed_uncertainty,0,0,"[2.70609974861145,-2.3336167335510254,3.8188858032226562]","[-1.9651861190795898,0.07437260448932648,0.363345205783844]","[-6.2064127922058105,-2.7806735038757324,1.8446367979049683]","[-1.0,0.038447678089141846,0.18080846965312958]",2.22046160697937,0.0,8.939456108691957e-08,8.939456108691957e-08,"[2.2471923154433285e-25,0.0,8.939456108691957e-08]","[0.0871695876121521,0.0871695876121521,0.0871695876121521,0.08856159448623657,0.19573302567005157,0.12481050193309784,0.22918175160884857,0.36691540479660034,0.08804226666688919]",0,nan,"[0.4844353199005127,0.4724263846874237,0.043138351291418076]",0.8409634828567505,-1,nan,nan,nan,8.939456108691957e-08,8.939456108691957e-08,0.8034677505493164,0.35815280271403027,0.0,0.35815280271403027,0
