baseline_name,config_name,success_rate,collision_rate,near_miss_rate,progress_mean,episode_min_distance_mean,mean_action_delta,filter_trigger_rate,is_pareto_success_collision,is_pareto_progress_collision,rank_score,episodes,baseline_category
vo_like_filter,vo_like_filter_h45_cpa2_h16,1.0,0.0,0.3333333333333333,0.986546236849645,1.5110272069772084,0.2758859629488689,0.5945677429039331,1,0,1.0306425807032624,6,safety_filter
vo_like_filter,vo_like_filter_h45_cpa1p5_h16,1.0,0.0,0.5,0.9869672366975436,1.4237777590751648,0.23583796422273126,0.37237093444671077,1,0,0.9473934473395087,6,safety_filter
cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,1.0,0.0,1.0,0.9871382807416375,1.0445095499356587,0.22425636485370384,0.0,1,1,0.6974276561483275,6,apf
cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,1.0,0.0,1.0,0.9842174049647165,1.1163303852081299,0.1693963637575078,0.0,1,0,0.6968434809929434,6,apf
cpa_reactive_sweep,cpa_reactive_d5,0.3333333333333333,0.0,0.16666666666666666,0.902645468125689,1.78350164492925,0.949666572336703,0.0,0,0,0.4305290936251378,6,cpa_reactive_sweep
attention_full_1500k,attention_full_1500k,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.9789003979134833,0.8306255638599396,0.13062219645530915,0.0,0,0,0.27911341291603,6,reference
cpa_reactive_sweep,cpa_reactive_d3,0.3333333333333333,0.0,0.6666666666666666,0.9707845478208443,1.431451102097829,1.1949851110266754,0.0,0,0,0.19415690956416887,6,cpa_reactive_sweep
cpa_reactive_sweep,cpa_reactive_cpa18,0.5,0.16666666666666666,0.3333333333333333,0.9679157220162352,1.4173816839853923,0.9615637381416735,0.0,0,0,0.1935831444032471,6,cpa_reactive_sweep
random,random,0.0,0.0,0.0,0.08592190902543712,3.3264535466829934,1.060369924006955,0.0,0,0,0.017184381805087422,6,reference
current_cpa_reactive,cpa_reactive_current,0.16666666666666666,0.0,0.8333333333333334,0.9591273829154244,1.3357361853122711,1.0032937575196763,0.0,0,0,-0.05817452341691509,6,"reference,cpa_reactive_sweep"
straight_line,straight_line,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.4217724772387257,0.5900986095269521,3.816744856909295e-08,0.0,0,0,-1.4989788378855882,6,reference
