threat_class,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
high,attention_full_1500k,attention_full_1500k,reference,6,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.9789003979134833,0.7293665160735449,39.24665941029803,104.83333333333333,20.966666666666665,0.8306255638599396,5.0387065218421325,0.9404294391473135,28.5,5.5,1.438323269824606,0.13062219645530915,1.0620742440223694,0,0.0,0.0,0.0,0
high,cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,4,0.75,0.0,0.25,0.5,0.9682830964615481,1.2038237899541855,27.61931705578026,325.5,65.1,1.5857837498188019,3.649450530797334,1.5863448679447174,73.0,5.75,0.9999999838223024,1.0251459989723912,1.9996225833892822,0,0.0,0.0,0.0,0
high,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,5,0.4,0.0,0.6,0.8,0.9771052750566621,3.6599109768867493,13.390822600035449,451.6,90.32000000000001,1.38187415599823,3.5091889424049905,1.38187415599823,111.4,5.6,0.9999999853428218,1.239870379720513,1.9999902963638305,0,0.0,0.0,0.0,0
high,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,6,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.902645468125689,3.3534877399603524,18.4989180482425,440.5,88.10000000000001,1.78350164492925,3.9934417395620936,1.8454827864964802,92.0,5.5,0.9999999827987848,0.949666572336703,1.9999632438023884,0,0.0,0.0,0.0,0
high,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,6,1.0,0.0,0.0,1.0,0.9871382807416375,0.5717455148696899,42.250177850552774,106.83333333333333,21.366666666666664,1.0445095499356587,3.0379067233421733,1.0445095499356587,31.333333333333332,5.5,0.9999999856251409,0.22425636485370384,1.4858789294958115,0,0.0,0.0,0.0,0
high,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,5,1.0,0.0,0.0,1.0,0.9834997754380753,0.6091277480125428,42.41162408317842,100.2,20.04,1.07987380027771,3.0168169191452696,1.07987380027771,29.4,5.6,0.9999999830110028,0.19635029330068374,1.5689975678920747,0,0.0,0.0,0.0,0
high,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",6,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.9591273829154244,5.454852859179179,12.579529874363041,473.3333333333333,94.66666666666667,1.3357361853122711,3.779293994478151,1.3357361853122711,126.66666666666667,5.5,0.9999999846208331,1.0032937575196763,1.9999090631802876,0,0.0,0.0,0.0,0
high,random,random,reference,6,0.0,0.0,1.0,0.0,0.08592190902543712,31.28897698720296,-13.353358106963958,500.0,100.0,3.3264535466829934,7.605460937380791,3.338895579179128,78.16666666666667,5.5,0.7725764183551073,1.060369924006955,2.3594731092453003,0,0.0,0.0,0.0,0
high,straight_line,straight_line,reference,6,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.4217724772387257,19.65976446866989,7.470285120010376,36.666666666666664,7.333333333333333,0.5900986095269521,4.632972056602849,0.5900986095269521,7.5,5.5,0.9999999765796965,3.816744856909295e-08,1.1921042641915847e-07,0,0.0,0.0,0.0,0
high,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,6,1.0,0.0,0.0,0.5,0.9869672366975436,0.5664289593696594,41.86639613234045,179.33333333333334,35.86666666666667,1.4237777590751648,4.537300718869196,1.4286172191301982,50.166666666666664,5.5,1.2626889665378507,0.23583796422273126,1.4366138378779094,1,0.37237093444671077,0.2683723072946842,1.4199127157529194,0
high,vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,5,1.0,0.0,0.0,0.4,0.9869356682537653,0.6256272614002227,41.74052650139761,181.4,36.28,1.4878827691078187,4.596755580613197,1.4878827691078187,41.2,5.6,1.139221710732316,0.25421312439783295,1.8498605251312257,1,0.5864697972318462,0.4546631617385171,1.7855316400527954,0
medium,cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,2,0.0,0.5,0.5,0.0,0.9671809731256091,1.9426994323730469,16.776597055193996,349.5,69.9,1.080577552318573,3.486186100070201,1.080577552318573,93.0,5.0,0.9999999823120971,0.8343992164802378,1.9999554753303526,0,0.0,0.0,0.0,0
medium,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,1,0.0,0.0,1.0,0.0,0.9391809116417548,2.572545528411865,14.082978498024298,500.0,100.0,1.6793358325958252,3.05206699681282,1.6793358325958252,134.0,5.0,0.9999999828338624,0.9705587675574862,1.999942421913147,0,0.0,0.0,0.0,0
medium,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,1,1.0,0.0,0.0,1.0,0.9878055525979228,0.4146446585655212,43.11845344965643,87.0,17.400000000000002,1.2986133098602295,4.223530381575398,1.2986133098602295,23.0,5.0,0.9999999869828936,0.0346267160416282,0.5199632048606873,0,0.0,0.0,0.0,0
medium,vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,1,1.0,0.0,0.0,0.0,0.9845990798290436,0.5263796448707581,39.60590454431231,348.0,69.60000000000001,1.6267493963241575,3.203986921872216,1.6267493963241575,117.0,5.0,1.0571797042656903,0.3842501557040486,2.175999879837036,1,0.6350574712643678,0.4901106538058355,2.020493030548096,0
