method_key,method,wall_time,steps,target_steps,percent,steps_per_second,eta_minutes,recent_episode_reward_mean,approx_kl,clip_fraction,entropy_loss,policy_gradient_loss,value_loss,explained_variance,learning_rate,n_updates,std,log_std_mean,log_std_min,log_std_max,variant,training_seed
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:36:24,65856,750000,8.7808,219.50935155008744,51.94493956399034,13.53854422,0.01844419166445732,0.192333984375,-4.061206516623497,-0.010870344931026921,2.7355219848453998,0.6631301641464233,0.0003,160.0,0.9375446438789368,-0.06654516607522964,-0.15537825226783752,-0.004217654000967741,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:41:24,131220,750000,17.496,218.69418552348645,47.157175099620765,16.40049978,0.022481953725218773,0.247412109375,-4.11842413842678,-0.0032429670682176948,2.5905830539762973,0.5378603935241699,0.0003,320.0,0.9590008854866028,-0.0446525402367115,-0.14158758521080017,0.04087534546852112,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:46:24,197524,750000,26.336533333333332,219.46648716075597,41.95598814405162,20.966689180000003,0.028986329212784767,0.2435302734375,-4.105090963840484,-0.008233971006120555,3.130964911729097,0.7203575372695923,0.0003,480.0,0.9502825736999512,-0.05349237844347954,-0.14154459536075592,0.03164609894156456,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:51:24,262692,750000,35.0256,218.90577229507844,37.1018083024876,20.845972080000003,0.029897797852754593,0.28681640625,-4.206303605437279,-0.000570780789712444,3.2971047312021255,0.597806990146637,0.0003,640.0,0.9872530102729797,-0.015618602745234966,-0.10409630089998245,0.07842381298542023,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:56:24,328404,750000,43.7872,218.9318677386662,32.09491643485857,22.48149888,0.03455546870827675,0.2866455078125,-4.27720578610897,0.001615209542796947,4.395911140739917,0.5673220157623291,0.0003,800.0,1.0069504976272583,0.0034564684610813856,-0.08822552114725113,0.11275448650121689,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:01:24,394128,750000,52.5504,218.95567506009277,27.08858767132741,18.91625752,0.02890763245522976,0.242236328125,-4.402719497680664,-0.003964798802917358,4.204451616108417,0.5599278211593628,0.0003,960.0,1.057928204536438,0.05150361731648445,-0.04063289612531662,0.1859755516052246,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:06:24,460204,750000,61.360533333333336,219.14058160740282,22.040341856837404,24.548433499999998,0.02651175856590271,0.2782958984375,-4.53446201980114,-0.003189431704231538,3.6856520254164935,0.5450820922851562,0.0003,1120.0,1.1018606424331665,0.09281015396118164,0.00491781672462821,0.2179066687822342,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:11:24,527032,750000,70.27093333333333,219.59275609773107,16.92284116912967,22.028621740000002,0.020498909056186676,0.2053466796875,-4.639228305220604,-0.0013068517771898768,2.5076247829943896,0.6866185069084167,0.0003,1280.0,1.1410373449325562,0.1262107640504837,0.04545098543167114,0.2756773829460144,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:16:24,592712,750000,79.02826666666667,219.51888948639126,11.9418728511251,21.44077264,0.025738194584846497,0.206884765625,-4.684871909022331,-0.004266322337207385,3.550516840070486,0.6294479370117188,0.0003,1440.0,1.16163969039917,0.1436024308204651,0.05470288544893265,0.2991037368774414,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:21:24,659408,750000,87.92106666666666,219.7976909208092,6.869347263573646,21.584358239999997,0.027162758633494377,0.2404296875,-4.759496474266053,0.001689409936807351,4.74694879129529,0.38669663667678833,0.0003,1600.0,1.1909347772598267,0.16965170204639435,0.07735980302095413,0.3085004389286041,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:26:26,724996,750000,96.66613333333333,219.59483748394533,1.897737388128721,24.44423328,0.02846662700176239,0.236181640625,-4.89959656894207,-0.004909188875171821,3.4323441706597806,0.6679359674453735,0.0003,1770.0,1.2524635791778564,0.2161538451910019,0.08073118329048157,0.3962826132774353,decouple_nk_gpsi,2
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:36:22,66076,750000,8.810133333333333,220.24860013453466,51.753942256026306,9.23174132,0.014057271182537079,0.169140625,-4.098314270377159,-0.009864247564109974,1.5563018675893545,0.8080410957336426,0.0003,160.0,0.9526050090789795,-0.05050485208630562,-0.13460557162761688,0.01598414033651352,decouple_nk_gpsi,1
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:41:22,131484,750000,17.5312,219.1353534202857,47.0421583697125,13.686290600000001,0.030733508989214897,0.281640625,-4.044027230143547,-0.006293575948802754,1.9538728211075067,0.7582228183746338,0.0003,320.0,0.934459924697876,-0.06955964118242264,-0.14513224363327026,0.0006679257494397461,decouple_nk_gpsi,1
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:46:22,196376,750000,26.183466666666668,218.1909476708443,42.28895270479469,12.52523692,0.02430379018187523,0.23408203125,-4.10717299580574,-0.00997789368557278,0.5407831071875989,0.9299451112747192,0.0003,470.0,0.9563286900520325,-0.045790817588567734,-0.08320312201976776,0.021144863218069077,decouple_nk_gpsi,1
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:51:22,260576,750000,34.74346666666667,217.1413634655947,37.56569700253874,14.931838940000002,0.03090457245707512,0.3016845703125,-4.176951473951339,0.0011062784818932415,2.206433811597526,0.7444684505462646,0.0003,630.0,0.9764867424964905,-0.024219639599323273,-0.06189684942364693,0.00927422009408474,decouple_nk_gpsi,1
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 13:56:22,325928,750000,43.45706666666667,217.27929674973223,32.52894671694199,13.775326580000003,0.03067246824502945,0.3,-4.22018184363842,-0.009725073055597023,1.9718747548758984,0.8726677894592285,0.0003,790.0,0.9904689788818359,-0.01053835079073906,-0.05826946720480919,0.04742823913693428,decouple_nk_gpsi,1
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:01:22,389260,750000,51.90133333333333,216.25029640139186,27.802659387682745,18.05282562,0.03646917641162872,0.3257080078125,-4.270702731609345,-0.00687653689092258,2.593695989251137,0.7977880239486694,0.0003,950.0,1.0067123174667358,0.005708331707865,-0.054562486708164215,0.05137106776237488,decouple_nk_gpsi,1
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:06:22,455152,750000,60.686933333333336,216.73430524804294,22.673537203578928,23.962316640000004,0.04456660896539688,0.326611328125,-4.2997141003608705,-0.000816111292806454,3.0815950661897658,0.6888023614883423,0.0003,1110.0,1.0137754678726196,0.012624449096620083,-0.039334993809461594,0.07229548692703247,decouple_nk_gpsi,1
decouple_nk_gpsi,n3pf_decouple_nearestk_gpsi,2026-05-17 14:11:22,520416,750000,69.3888,216.83485730914538,17.646609255930805,18.47643998,0.04268666356801987,0.33193359375,-4.328923207521439,0.0003454947203863412,2.764149217680097,0.7894861698150635,0.0003,1270.0,1.0313631296157837,0.028660917654633522,-0.05225735530257225,0.11094986647367477,decouple_nk_gpsi,1
