variant,training_seed,selected_checkpoint_label,selected_checkpoint_path,selected_checkpoint_step,selection_score,success_rate,collision_rate,progress,raw_unsafe_action_rate,selector_used_only_validation_seeds,test_seed_used_for_selection
decouple_deepsets_gpsi,0,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s0/checkpoint_750k.zip,750000,-1.085,0.305,0.695,0.966224007129487,0.2051391375724091,1,0
decouple_deepsets_gpsi,1,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s1/checkpoint_500k.zip,500000,-0.92,0.1766666666666666,0.5483333333333333,0.8934376720220106,0.26399790768442544,1,0
decouple_deepsets_gpsi,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/checkpoint_500k.zip,500000,-0.7216666666666668,0.3883333333333333,0.555,0.9454325185037622,0.24366093760866575,1,0
decouple_deepsets_gpsi,3,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s3/checkpoint_500k.zip,500000,-0.89,0.37,0.63,0.9116277984116192,0.27784469559380126,1,0
decouple_deepsets_obs,0,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s0/checkpoint_750k.zip,750000,-0.72,0.4266666666666667,0.5733333333333334,0.9637548782579428,0.15027537574111088,1,0
decouple_deepsets_obs,1,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s1/checkpoint_750k.zip,750000,-0.24,0.5866666666666667,0.41333333333333333,0.9780416163111916,0.1509265065607693,1,0
decouple_deepsets_obs,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s2/checkpoint_500k.zip,500000,-0.7333333333333334,0.3266666666666666,0.53,0.9105500628972412,0.24024635914533404,1,0
decouple_deepsets_obs,3,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s3/checkpoint_500k.zip,500000,-0.9499999999999998,0.35,0.6499999999999999,0.8713536955943728,0.30266711976175054,1,0
decouple_nk_gpsi,0,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s0/checkpoint_500k.zip,500000,-1.2149999999999999,0.24166666666666664,0.7283333333333333,0.9132771695941078,0.32672662748321735,1,0
decouple_nk_gpsi,1,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s1/checkpoint_500k.zip,500000,-0.865,0.36166666666666664,0.6133333333333333,0.8779396658757348,0.30974952665511046,1,0
decouple_nk_gpsi,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s2/checkpoint_750k.zip,750000,-1.145,0.28500000000000003,0.7150000000000001,0.8867302573023417,0.3136533113939306,1,0
decouple_nk_gpsi,3,250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s3/checkpoint_250k.zip,250000,-1.1133333333333333,0.0566666666666666,0.585,0.8383558757361974,0.31941902807523703,1,0
decouple_nk_obs,0,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s0/checkpoint_750k.zip,750000,-1.275,0.24166666666666664,0.7583333333333333,0.8838117227662701,0.33286961570978496,1,0
decouple_nk_obs,1,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s1/checkpoint_750k.zip,750000,-0.7750000000000001,0.37166666666666665,0.5733333333333334,0.9221481606028984,0.3285707572910125,1,0
decouple_nk_obs,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s2/checkpoint_750k.zip,750000,-0.8316666666666666,0.22166666666666665,0.5266666666666666,0.8790295032189828,0.30418279463866243,1,0
decouple_nk_obs,3,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s3/checkpoint_750k.zip,750000,-0.8100000000000002,0.3966666666666666,0.6033333333333334,0.9365624933415184,0.21539780927151747,1,0
