method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_logvar,logvar_output_scale,feature_adapter,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,high,1,1.0,raw_concat,obs_i_12,0,4992,59904,0,0,1.3761857757941844,1.3688533902168274,1.8196530640125275,2.3672256469726562,0.8284429949111282,1.025552713871002,1.3808693885803223
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,high,1,1.0,raw_concat,delta_hat_9_after_scale,0,4992,44928,0,0,1.2543908954524876,1.2581855654716492,1.9018476486206055,2.8538665771484375,0.9847516000415616,1.489285910129547,2.581350803375244
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,high,1,1.0,raw_concat,logvar_raw_9_clamped,0,4992,44928,0,0,13.338943727887594,13.77909803390503,14.743464517593384,15.0,4.977803298152792,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,high,1,1.0,raw_concat,logvar_scaled_9_policy,0,4992,44928,0,0,13.338943727887594,13.77909803390503,14.743464517593384,15.0,4.977803298152792,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,high,1,1.0,raw_concat,full_aug_obs,0,4992,149760,0,0,13.477160083273283,13.922465324401855,14.854004764556885,15.1355619430542,4.977803298152792,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,high,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,high,1,1.0,raw_concat,obs_i_12,0,7074,84888,0,0,1.4254992578388237,1.4139516949653625,1.8818991303443906,2.3248603343963623,0.8545966087373125,1.0686928689479827,1.4577909708023071
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,high,1,1.0,raw_concat,delta_hat_9_after_scale,0,7074,63666,0,0,1.2627392703077998,1.2598410844802856,1.9179163396358487,3.2392165660858154,1.0014511547094815,1.5433651268482198,2.978468418121338
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,high,1,1.0,raw_concat,logvar_raw_9_clamped,0,7074,63666,0,0,13.32072178293562,13.71365213394165,14.696244382858275,15.0,4.981655792830049,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,high,1,1.0,raw_concat,logvar_scaled_9_policy,0,7074,63666,0,0,13.32072178293562,13.71365213394165,14.696244382858275,15.0,4.981655792830049,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,high,1,1.0,raw_concat,full_aug_obs,0,7074,212220,0,0,13.465903090460003,13.86482858657837,14.798532676696777,15.131163597106934,4.981655792830049,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,high,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,sinusoidal_lateral,medium,1,1.0,raw_concat,obs_i_12,0,248,2976,0,0,1.2549579071421777,1.2281272411346436,1.7062304496765133,2.227250814437866,0.7079166445520616,0.9741024643182753,1.3144646883010864
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,sinusoidal_lateral,medium,1,1.0,raw_concat,delta_hat_9_after_scale,0,248,2232,0,0,1.0570943166291522,1.0505303144454956,1.830875039100647,2.194582462310791,0.8302688495586475,1.4117860496044157,1.78875732421875
