metric,p3_full,attention_full,delta_p3_minus_attention,guide_attention
success_rate,0.5966666666666667,0.61,-0.013333333333333308,0.61
collision_rate,0.4033333333333333,0.38999999999999996,0.013333333333333364,0.39
