metric,p3_full,no_z_full,delta_p3_minus_noz,guide_noz
success_rate,0.5966666666666667,0.5633333333333334,0.033333333333333326,0.5633
collision_rate,0.4033333333333333,0.4366666666666667,-0.03333333333333338,0.4367
