metric,p3_full,corrected_z2_full,delta_p3_minus_z2,guide_z2
success_rate,0.5966666666666667,0.5066666666666667,0.08999999999999997,0.5067
collision_rate,0.4033333333333333,0.49333333333333335,-0.09000000000000002,0.4933
