phase,selected_parent_path,selected_parent_sha256,selected_parent_success,selected_parent_collision,forbidden_final_parent_used,parent_total_steps,additional_steps,target_total_steps,reset_num_timesteps,model_num_timesteps,model_parent_step_match,optimizer_state_entries,optimizer_state_restored,learning_rate_current,clip_range_current,progress_remaining_assuming_global_total,n_envs,n_steps,batch_size,obs_dim,feature_extractor,adapter_parameter_count,hostname,model_expected_target_steps,model_target_step_match
before_learn,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,9ba7f68424e65413aead99a51bc1f7bc8de1f00dabbbf6bace45f14dc3bd7ab2,0.5333,0.4667,0,500000,1000000,1500000,False,500000,1,33,1,0.0003,0.2,0.6666666666666667,4,1024,256,30,GpsiBlockProjectedNoZExtractor,864,8a4832b5251c,,
after_learn,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,9ba7f68424e65413aead99a51bc1f7bc8de1f00dabbbf6bace45f14dc3bd7ab2,,,,500000,1000000,1500000,False,1503520,,33,1,0.0003,0.2,-0.002346666666666719,4,1024,256,30,GpsiBlockProjectedNoZExtractor,864,8a4832b5251c,1500000,1
