method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,eval_flow_high_speed,50,0.44,0.56,0.36,0.9268730037988884,4.089175031304919,0.7371785327792167,112.76,29.46763823238333,0.2662286333599079,0.32557918723520585,1.4875225473525506,0.12860179754634007,0.0,2.37985766735194,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,eval_flow_high_threat,50,0.52,0.48,0.5,0.9460074070151905,4.260189766767186,0.70830009162426,108.32,31.811052405367864,0.30041461665827124,0.34778503324435933,1.474418689333021,0.11336450214691977,0.0,2.422823701646911,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,eval_flow_id,50,0.48,0.52,0.46,0.9128756244451931,4.564561106648447,0.7022290216386318,99.92,29.893908994425324,0.30944046339397624,0.3493046831360612,1.5028363774574591,0.1056842903546528,0.0,2.446586150016342,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,eval_flow_mixed_ood,50,0.46,0.54,0.42,0.9147096974178835,4.148566163978646,0.7405620366334915,102.28,29.548526706357407,0.33560686671887346,0.3933171817735756,1.5170360664529172,0.12444591491937036,0.0,2.206953359005118,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,eval_flow_sudden_threat,50,0.42,0.58,0.42,0.9284242480238278,4.368864759359387,0.6748444837331772,104.46,29.230795700347347,0.29805701490198655,0.34669932070023357,1.4870422932841652,0.11539631707159062,0.0,2.3708459769776264,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,eval_flow_high_density,50,0.58,0.42,0.58,0.939526067957397,4.328267643082986,0.7438231861591339,112.12,32.51240677813867,0.36686290676854966,0.4098521776722496,1.555109060837417,0.1541864888120823,0.0,2.305570731237271,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,eval_flow_high_speed,50,0.56,0.44,0.5,0.9511709328832066,4.88371882601391,0.8208246803283692,117.86,32.60258183272877,0.24816050897037897,0.29893164769381764,1.5552047172452266,0.14672370258893985,0.0,3.005499883323904,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,eval_flow_high_threat,50,0.6,0.4,0.58,0.9703945973200166,4.664034107842646,0.7845485258102417,120.6,34.03414576242102,0.30578626802410214,0.34230766321292533,1.5171911538974396,0.16378665639473053,0.0,2.7777995425832827,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,eval_flow_id,50,0.66,0.34,0.64,0.9569688827136233,4.850834837293876,0.7909553581476212,112.46,34.859831907840274,0.32993354341880354,0.3636517415871854,1.546998207343627,0.14963904858221866,0.0,2.7538673677338905,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,eval_flow_mixed_ood,50,0.7,0.3,0.7,0.9421928257165197,4.496304599427353,0.846585505604744,113.68,35.17009385641697,0.31822577916602374,0.36998550788908785,1.5443181452354315,0.15445072593763187,0.0,2.5331985054022077,0
