metric,p3_full,no_z_full,attention_full,corrected_z2_full,p3_parent_500k,delta_p3_minus_noz,delta_p3_minus_attention,delta_p3_minus_z2,delta_p3_minus_parent,guide_noz,guide_attention,guide_z2,guide_parent
success_rate,0.5966666666666667,0.5633333333333334,0.61,0.5066666666666667,0.5333333333333333,0.033333333333333326,-0.013333333333333308,0.08999999999999997,0.06333333333333335,0.5633,0.61,0.5067,0.5333
collision_rate,0.4033333333333333,0.4366666666666667,0.38999999999999996,0.49333333333333335,0.4666666666666666,-0.03333333333333338,0.013333333333333364,-0.09000000000000002,-0.0633333333333333,0.4367,0.39,0.4933,0.4667
