method,seed,checkpoint_step,scenario,episode_id,episode_seed,success,collision,near_miss,mean_min_distance,episode_min_distance,min_distance_after_threat,reaction_time_eval_style,reaction_time_nan_style,conditional_reaction_time,nan_reaction,no_response,threat_window_enter_time,mean_time,episode_length,progress,planned_cpa,planned_ttc,threat_class,threat_motion_mode,threat_valid_rate,replacement_count,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,episode_reward,nan_or_crash
attention_full,0,250000,eval_flow_id,0,1000,0,1,1,4.303185793661302,0.3510564565658569,0.9259434342384338,0.1999999999999999,0.1999999999999999,0.1999999999999999,0,0,1.8,12.4,62,0.5580318950861048,0.5132071540142263,6.340737988489087,high,linear,1.0,17,0.2419354838709677,0.1879533676776867,8.53518302189448,0
attention_full,0,250000,eval_flow_id,1,1001,0,1,1,3.041947404020711,0.6074942946434021,0.8688304424285889,96.4,,,1,1,3.6,7.6,38,0.3138930270124742,0.4658173147209729,8.458489348346669,high,sinusoidal_lateral,1.0,20,0.4736842105263157,0.3562755907746233,0.4015027895293297,0
attention_full,0,250000,eval_flow_id,2,1002,0,1,1,5.150217146785171,0.6300310492515564,0.6300310492515564,0.2,0.2,0.2,0,0,0.4,5.4,27,0.211265365289778,0.4383987178242723,4.338510420922245,high,ar1_velocity,1.0,7,0.1111111111111111,0.10280629386345,-3.107555243604075,0
attention_full,0,250000,eval_flow_id,3,1003,1,0,1,3.450884507531705,0.7170996069908142,0.7170996069908142,0.1999999999999999,0.1999999999999999,0.1999999999999999,0,0,1.6,23.0,115,0.9829366347369026,0.6318051968200264,8.536170219810444,high,ar1_velocity,1.0,44,0.2434782608695652,0.0950258457226944,42.77971606688576,0
attention_full,0,250000,eval_flow_id,4,1004,0,1,1,3.588040992617607,0.6193759441375732,0.6193759441375732,0.1999999999999999,0.1999999999999999,0.1999999999999999,0,0,1.8,18.4,92,0.8334254823183316,0.4263399284269057,8.797872909091755,high,ar1_velocity,1.0,39,0.0978260869565217,0.0651691347859574,17.754785839920963,0
attention_full,0,250000,eval_flow_id,5,1005,1,0,1,3.311322534303053,0.7760440111160278,0.7760440111160278,0.1999999999999999,0.1999999999999999,0.1999999999999999,0,0,0.6000000000000001,21.8,109,0.9853721181377568,0.5411716755581385,5.736180820572207,high,accel_decel,1.0,33,0.2935779816513761,0.160186886516595,42.8858867455865,0
attention_full,0,250000,eval_flow_id,6,1006,0,1,1,3.722290053329569,0.3901622593402862,0.3901622593402862,0.1999999999999999,0.1999999999999999,0.1999999999999999,0,0,1.4,18.8,94,0.8204170829815272,0.6381881752898905,4.361667047612112,high,accel_decel,1.0,36,0.1914893617021276,0.0655566453296773,17.296088305805746,0
attention_full,0,250000,eval_flow_id,7,1007,0,1,1,4.896464129385439,0.4383794367313385,0.4383794367313385,0.2000000000000001,0.2000000000000001,0.2000000000000001,0,0,2.2,20.6,103,0.9717499114516642,0.5180909752425733,4.896799604801513,high,accel_decel,1.0,33,0.0485436893203883,0.0377008477776184,22.429319128705917,0
attention_full,0,250000,eval_flow_id,8,1008,0,1,1,3.696075500751084,0.4811793267726898,0.4811793267726898,0.2,0.2,0.2,0,0,0.2,17.6,88,0.7911634532467396,0.7529251722147916,3.691285902855628,high,sinusoidal_lateral,1.0,22,0.1931818181818181,0.0983237781282407,16.361965616460296,0
attention_full,0,250000,eval_flow_id,9,1009,1,0,0,4.827585887675192,1.790578007698059,1.790578007698059,0.2000000000000001,0.2000000000000001,0.2000000000000001,0,0,4.0,20.4,102,0.9800459173487722,0.4355571532000715,4.254082549659919,high,linear,1.0,51,0.0196078431372549,0.000747385385794,42.77752320312159,0
attention_full,0,250000,eval_flow_id,10,1010,1,0,1,4.459068899263035,0.6708335876464844,0.7245713472366333,0.2,0.2,0.2,0,0,0.2,22.0,110,0.9873130044396408,0.7815425436901259,0.8,high,accel_decel,1.0,29,0.209090909090909,0.1208332569945461,42.897348545133575,0
attention_full,0,250000,eval_flow_id,11,1011,0,1,1,4.169599475087346,0.2706074714660644,0.2706074714660644,0.2,0.2,0.2,0,0,0.4,14.8,74,0.6417840920691439,0.7157969770279695,8.59342229484492,high,crossing_or_sudden_threat,1.0,35,0.1756756756756756,0.1101453192911177,10.786248431789575,0
attention_full,0,250000,eval_flow_id,12,1012,0,1,1,4.53656274493378,0.4457810521125793,0.4457810521125793,0.2000000000000001,0.2000000000000001,0.2000000000000001,0,0,4.4,20.200000000000003,101,0.9727114272896497,0.4550708628890726,0.8,high,crossing_or_sudden_threat,1.0,23,0.1386138613861386,0.0853206627763991,22.495706147062783,0
attention_full,0,250000,eval_flow_id,13,1013,0,1,1,4.222008032798767,0.6486956477165222,0.6486956477165222,0.2000000000000001,0.2000000000000001,0.2000000000000001,0,0,1.0,5.0,25,0.2355046741092805,0.3933813151500854,4.055256075036763,high,ar1_velocity,1.0,8,0.2,0.1814375976394066,-2.212548943283036,0
attention_full,0,250000,eval_flow_id,14,1014,0,1,1,4.511073329409615,0.6009789705276489,0.6009789705276489,0.1999999999999999,0.1999999999999999,0.1999999999999999,0,0,1.2000000000000002,12.2,61,0.5145731995803188,0.3798618336761625,4.933482955100535,high,accel_decel,1.0,11,0.0491803278688524,0.0463788332408906,6.666584480911805,0
attention_full,0,250000,eval_flow_id,15,1015,1,0,1,3.952231588738936,0.981361985206604,0.981361985206604,0.2,0.2,0.2,0,0,0.2,21.6,108,0.9847776400046492,0.6500997688204982,0.8,high,sinusoidal_lateral,1.0,40,0.2222222222222222,0.0868067740954185,42.88477405502939,0
