method,seed,episode,success,collision,episode_min_distance,steps,turn_step,turning_obstacle_id,risk_at_turn,risk_max_after_turn,risk_rise_time_0p3,risk_rise_time_0p5,risk_rise_time_0p7,sigma_trace_at_turn,sigma_trace_max_after_turn,sigma_rise_time_2x,R_sum_at_turn,R_sum_max_after_turn,R_bar_at_turn,R_bar_max_after_turn,w_risk_at_turn,w_risk_max_after_turn,risk_rank_at_turn,risk_rank_best_after_turn,reaction_time
risk_full_rbar,0,0,1,0,1.274726390838623,33,15,2,4.125140549149364e-06,0.0029471111483871937,nan,nan,nan,1.0524040460586548,1.9715614318847656,nan,4.125140549149364e-06,0.08971089869737625,4.125140549125966e-06,0.08947100514391375,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,1,1,0,1.0723470449447632,35,15,2,0.0008184069884009659,0.004896250553429127,nan,nan,nan,0.54807049036026,2.2878499031066895,2.2,0.0008184069884009659,0.3921329975128174,0.000818406805680743,0.37319760887974857,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,2,1,0,1.5300923585891724,35,15,0,6.120557394240222e-10,7.932692369649885e-07,nan,nan,nan,0.41692492365837097,2.0027003288269043,2.4000000000000004,6.120557394240222e-10,0.06557738035917282,6.120557394240222e-10,0.06548353894607391,0.3333333432674408,1.0,1.0,1.0,1.0
risk_full_rbar,0,3,1,0,1.2476441860198975,33,15,1,0.036130160093307495,0.041081372648477554,nan,nan,nan,2.037235975265503,2.0586230754852295,nan,0.07270285487174988,0.11867959052324295,0.07257502983936864,0.11812551737391437,0.49695655703544617,1.0,2.0,1.0,1.0
risk_full_rbar,0,4,1,0,1.8420478105545044,33,15,2,5.167204264466818e-08,0.00026670328225009143,nan,nan,nan,0.9463545083999634,1.6771893501281738,nan,5.578766248959255e-08,0.24012228846549988,5.5787662489592496e-08,0.23561125277305867,0.9262270331382751,0.9971498847007751,1.0,1.0,0.20000000000000018
risk_full_rbar,0,5,1,0,1.3339966535568237,36,15,2,0.0013465990778058767,0.012338098138570786,nan,nan,nan,1.2782435417175293,2.5198395252227783,nan,0.0013465990778058767,0.40725910663604736,0.0013465982638640466,0.3861429430923875,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,6,1,0,1.1741197109222412,36,15,1,0.5623601078987122,0.5623601078987122,0.0,0.0,nan,1.3152952194213867,1.938554286956787,nan,0.5663954615592957,0.6719759106636047,0.5127071724712572,0.5862781317299128,0.9928753972053528,0.9948717355728149,1.0,1.0,0.20000000000000018
risk_full_rbar,0,7,1,0,2.1940207481384277,40,15,1,2.4495669368232963e-14,7.717328003309376e-07,nan,nan,nan,0.8550596237182617,1.9116249084472656,2.0,2.4495669368232963e-14,6.830735947005451e-05,2.4495669368232963e-14,6.830735936381618e-05,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,8,1,0,1.109684944152832,35,15,1,1.4066586118133273e-07,6.989093526499346e-05,nan,nan,nan,1.446562647819519,1.8349976539611816,nan,0.0003427148621995002,0.6786468029022217,0.0003427148487818168,0.5906389713053269,0.0004104457620996982,0.9985173344612122,2.0,1.0,0.6000000000000001
risk_full_rbar,0,9,1,0,1.1990264654159546,32,15,2,0.0749269351363182,0.08163297921419144,nan,nan,nan,0.988152801990509,1.5609525442123413,nan,0.0749269351363182,0.42757242918014526,0.07478703488009195,0.4032905580634435,1.0,1.0,1.0,1.0,0.20000000000000018
