training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,high,289,0.5501730103806228,0.44982698961937717,0.5190311418685121,0.9466800763020096,4.623103225957759,0.7697338169524414,102.58477508650519,32.364308910365594,0.30063042361794784,0.3479905294608732,1.5376290439192026,0.11273069043914596,0.0,2.635387321398296,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,medium,11,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.9540325963381999,4.359910210207588,0.8008038022301414,114.0909090909091,37.928484496162554,0.32727865718681415,0.3723410802779625,1.5145321821041966,0.15501333428985242,0.0,2.4508252458233546,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1001,high,289,0.5501730103806228,0.44982698961937717,0.5155709342560554,0.9462456703074911,4.615728950644178,0.773877958783229,102.74048442906575,32.35099334497489,0.3006523368335419,0.34833290060379507,1.5375091005684498,0.11339160646256348,0.0,2.6276371744320843,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1001,medium,11,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.9540325963381999,4.359910210207588,0.8008038022301414,114.0909090909091,37.928484496162554,0.32727865718681415,0.3723410802779625,1.5145321821041966,0.15501333428985242,0.0,2.4508252458233546,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1002,high,289,0.5605536332179931,0.43944636678200694,0.5259515570934256,0.9504771460414055,4.614852925314773,0.7781428741645648,103.16262975778547,32.70784285439104,0.2969444958491988,0.34453547796588646,1.5369641052277436,0.11330248527327039,0.0,2.6395932353418017,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1002,medium,11,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.9540325963381999,4.359910210207588,0.8008038022301414,114.0909090909091,37.928484496162554,0.32727865718681415,0.3723410802779625,1.5145321821041966,0.15501333428985242,0.0,2.4508252458233546,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1000,high,290,0.5862068965517241,0.41379310344827586,0.5517241379310345,0.9639811963840071,4.647401058974275,0.8041487921928537,113.68275862068965,33.088140398474536,0.3295509517760359,0.3743143201001053,1.5760220909392277,0.18280516330534405,0.0,2.6477175116356477,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1000,medium,10,1.0,0.0,1.0,0.9910598246391421,4.516231425066415,0.9367492079734803,123.0,42.40353802340739,0.34037288863542947,0.39301741421696684,1.5701529625481334,0.21766555731365084,0.0,2.3954757207485433,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1001,high,290,0.596551724137931,0.40344827586206894,0.5620689655172414,0.9641616329573155,4.610859691230523,0.8105910714330344,114.07931034482759,33.31122342573532,0.33237991525049776,0.37748422642405693,1.5756611165785066,0.18590853155414122,0.0,2.609210960697383,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1001,medium,10,1.0,0.0,1.0,0.9910598246391421,4.516231425066415,0.9367492079734803,123.0,42.40353802340739,0.34037288863542947,0.39301741421696684,1.5701529625481334,0.21766555731365084,0.0,2.3954757207485433,0,nan
