training_seed,method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_z,include_logvar,logvar_output_scale,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,high,0,1,0.2,full_aug_obs,0,29125,873750,0,0,3.342875258163321,3.3793914318084717,3.8100528240203855,5.578019142150879,1.2053657037567171,1.6479562520980835,3.825155258178711,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,obs_i_12,0,14095,169140,0,0,1.4000108978307684,1.4007877111434937,1.8369464874267578,2.236274003982544,0.8383145309712456,1.0310927629470825,1.3765143156051636,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,delta_hat_9_after_scale,0,14095,126855,0,0,1.4711617320474686,1.5252432823181152,2.0707499980926514,2.8701255321502686,1.1234778656123081,1.6076741099357603,2.254517078399658,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,logvar_raw_9_clamped,0,14095,126855,0,0,12.573349792325526,13.160669326782227,14.33819408416748,15.0,4.946518282418388,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,logvar_scaled_9_policy,0,14095,126855,0,0,2.5146699675645925,2.632133722305298,2.867638921737671,3.0,0.9893036570520255,1.0,1.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,adapter_output_64,0,14155,905920,0,0,5.639502581047616,5.642361164093018,5.837606906890869,5.995745658874512,0.9985009102592279,0.9999333620071411,0.9999883770942688,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,full_aug_obs,0,14095,422850,0,0,3.2649362184427106,3.3250513076782227,3.766634702682495,4.2058424949646,1.198228973604847,1.6076741099357603,2.254517078399658,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,obs_i_12,0,21783,261396,0,0,1.381586027004193,1.3599159717559814,1.8899197578430162,2.3088085651397705,0.8276569298113453,1.0223047733306885,1.4122447967529297,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,delta_hat_9_after_scale,0,21783,196047,0,0,1.3672069323477514,1.4313509464263916,1.9997161626815796,3.2896382808685303,1.0513579707362022,1.5066993236541748,2.7970399856567383,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,logvar_raw_9_clamped,0,21783,196047,0,0,12.898745457276613,13.467116355895996,14.389073371887207,15.0,4.950719831940207,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,logvar_scaled_9_policy,0,21783,196047,0,0,2.57974910083752,2.693423271179199,2.877814769744873,3.0,0.990143966955001,1.0,1.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,adapter_output_64,0,21719,1390016,0,0,5.6260826724126325,5.629648685455322,5.835174083709717,6.056775093078613,0.9987363148374482,0.9999463558197021,0.9999951720237732,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,full_aug_obs,0,21783,653490,0,0,3.2681668131376536,3.3222603797912598,3.7441465854644775,4.83673095703125,1.162705302011352,1.5066993236541748,2.7970399856567383,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,obs_i_12,0,663,7956,0,0,1.1566985376280357,1.1471275091171265,1.5031383037567139,1.8186626434326172,0.6709118423418762,0.8823387026786804,1.286874532699585,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,delta_hat_9_after_scale,0,663,5967,0,0,0.9544110370976893,0.8981236219406128,1.8494439125061035,2.4140405654907227,0.765784236724695,1.363142490386963,1.9860804080963135,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,logvar_raw_9_clamped,0,663,5967,0,0,13.182606889111963,13.884982109069824,14.875040054321289,15.0,4.933819571231825,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,logvar_scaled_9_policy,0,663,5967,0,0,2.636521376635694,2.776996374130249,2.975008010864258,3.0,0.9867639150554778,1.0,1.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,adapter_output_64,0,681,43584,0,0,5.673125556912191,5.6626296043396,5.91909646987915,6.02739953994751,0.9987005475859285,0.9999699592590332,0.9999908208847046,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,full_aug_obs,0,663,19890,0,0,3.079162182851075,3.1606500148773193,3.5626704692840576,4.0594658851623535,1.0684205293655396,1.363142490386963,1.9860804080963135,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,obs_i_12,0,297,3564,0,0,1.2797349950279853,1.2141690254211426,1.7477589845657349,2.3773977756500244,0.7206044630570845,0.9608820080757141,1.2994955778121948,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,delta_hat_9_after_scale,0,297,2673,0,0,1.3012217925453828,1.2786505222320557,1.8553674221038818,2.149606227874756,1.0027451100774887,1.4010287046432488,1.6616694927215576,nan
