training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1002,eval_flow_high_speed,50,0.42,0.58,0.38,0.9512775018251436,4.459895960910486,0.6748299226164818,103.8,29.938311010001957,0.27229007724073173,0.3243178862344704,1.5598584521701289,0.10944344934586286,0.0,2.6651040495451563,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1002,eval_flow_high_threat,50,0.56,0.44,0.46,0.9379724912809811,4.882195489018575,0.8302855795621872,102.12,32.20557460024156,0.3022422439344011,0.34363935003095464,1.5333023080051502,0.11414634764225137,0.0,2.808876256660069,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1002,eval_flow_id,50,0.78,0.22,0.76,0.9682103603467609,4.870810116597304,0.8857459670305252,106.08,37.7088373300092,0.29500266295817223,0.3405159629324342,1.5280822746929326,0.12133527328764522,0.0,2.751114316713036,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1002,eval_flow_mixed_ood,50,0.4,0.6,0.4,0.9349132836992404,4.607730684204093,0.6741640675067901,99.92,28.97215857682483,0.3045717512669624,0.35878428852955624,1.5436793005673854,0.10911831936885702,0.0,2.665538219186193,0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1002,eval_flow_sudden_threat,50,0.68,0.32,0.66,0.9704636635271372,4.653096527487939,0.8524976009130478,103.74,35.8723205477673,0.2727413622276195,0.31521090075727104,1.529765378443443,0.11159626358798679,0.0,2.6149661421222965,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_high_density,50,0.6,0.4,0.58,0.9598636238978416,4.365390731553723,0.7711453995108605,114.1,33.19611146613804,0.3519484232056282,0.39437709698745427,1.5717174694806286,0.18662916149134515,0.0,2.4493874161416858,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_high_speed,50,0.4,0.6,0.4,0.9626003214771489,4.383411900467239,0.6688400274515152,118.04,29.140460130765927,0.3245383277182679,0.3734300467871463,1.5630378972605197,0.19910836345673563,0.0,2.5334384987771514,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_high_threat,50,0.62,0.38,0.54,0.9633427121747128,4.822588790314856,0.9001420772075653,112.54,33.776182648957764,0.32774744437202835,0.36700607551250175,1.57976668095747,0.178740407872928,0.0,2.7699487565096117,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_id,50,0.68,0.32,0.62,0.9725732569708527,4.9865241660285395,0.8524367159605026,111.74,35.33841097632413,0.32094196705281497,0.3624484684092046,1.5789793497370823,0.17082395396789263,0.0,2.826686588216819,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_mixed_ood,50,0.62,0.38,0.6,0.9498148704178249,4.453791569311464,0.8243117296695709,113.16,33.326566477766214,0.3444682673779962,0.3976699491534816,1.581991966375008,0.18921001769830156,0.0,2.506749152539104,0,nan
