training_seed,method_key,checkpoint_label,success_rate,collision_rate,attention_success,attention_collision,success_diff_vs_attention,collision_diff_vs_attention,better_both
0,p3_s0_1000k,1000k,0.6366666666666667,0.3633333333333333,0.6033333333333334,0.39666666666666667,0.033333333333333326,-0.03333333333333338,1
0,p3_s0_1500k,1500k,0.6166666666666667,0.3833333333333333,0.6033333333333334,0.39666666666666667,0.013333333333333308,-0.013333333333333364,1
0,p3_s0_final,final,0.5933333333333333,0.4066666666666667,0.6033333333333334,0.39666666666666667,-0.01000000000000012,0.010000000000000009,0
1,p3_s1_1000k,1000k,0.5633333333333334,0.4366666666666667,0.6033333333333334,0.39666666666666667,-0.040000000000000036,0.040000000000000036,0
1,p3_s1_1500k,1500k,0.6088888888888889,0.39111111111111113,0.6033333333333334,0.39666666666666667,0.005555555555555536,-0.005555555555555536,1
1,p3_s1_final,final,0.5922222222222223,0.4077777777777778,0.6033333333333334,0.39666666666666667,-0.011111111111111072,0.011111111111111127,0
2,p3_s2_1000k,1000k,0.42111111111111105,0.5788888888888889,0.6033333333333334,0.39666666666666667,-0.18222222222222234,0.18222222222222223,0
2,p3_s2_1500k,1500k,0.4222222222222222,0.5777777777777778,0.6033333333333334,0.39666666666666667,-0.18111111111111117,0.18111111111111117,0
2,p3_s2_final,final,0.49111111111111105,0.5088888888888888,0.6033333333333334,0.39666666666666667,-0.11222222222222233,0.11222222222222217,0
