method_key,method,steps,episode_reward,episode_length,wall_time,training_seed
block_projected_s1,n3pf_ms_block_projected_seed1,21712,10.830697,193,2026-05-15 18:48:20,1
block_projected_s1,n3pf_ms_block_projected_seed1,21756,11.094748,193,2026-05-15 18:48:20,1
block_projected_s1,n3pf_ms_block_projected_seed1,22024,31.059171,214,2026-05-15 18:48:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,22164,7.8492,243,2026-05-15 18:48:22,1
block_projected_s1,n3pf_ms_block_projected_seed1,22524,8.972688,203,2026-05-15 18:48:23,1
block_projected_s1,n3pf_ms_block_projected_seed1,22548,33.212424,198,2026-05-15 18:48:23,1
block_projected_s1,n3pf_ms_block_projected_seed1,22804,6.675815,160,2026-05-15 18:48:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,22916,8.788205,223,2026-05-15 18:48:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,22952,-5.698275,37,2026-05-15 18:48:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,23404,11.099622,220,2026-05-15 18:48:26,1
block_projected_s1,n3pf_ms_block_projected_seed1,23504,29.852918,239,2026-05-15 18:48:26,1
block_projected_s1,n3pf_ms_block_projected_seed1,23704,11.6431,188,2026-05-15 18:48:27,1
block_projected_s1,n3pf_ms_block_projected_seed1,23824,9.347742,227,2026-05-15 18:48:27,1
block_projected_s1,n3pf_ms_block_projected_seed1,24132,34.479269,182,2026-05-15 18:48:28,1
block_projected_s1,n3pf_ms_block_projected_seed1,24384,8.113393,220,2026-05-15 18:48:29,1
block_projected_s1,n3pf_ms_block_projected_seed1,24496,12.645982,198,2026-05-15 18:48:30,1
block_projected_s1,n3pf_ms_block_projected_seed1,24512,12.321753,172,2026-05-15 18:48:30,1
block_projected_s1,n3pf_ms_block_projected_seed1,24948,7.091015,109,2026-05-15 18:48:33,1
block_projected_s1,n3pf_ms_block_projected_seed1,24996,10.106466,216,2026-05-15 18:48:33,1
block_projected_s1,n3pf_ms_block_projected_seed1,25112,-4.793893,29,2026-05-15 18:48:34,1
block_projected_s1,n3pf_ms_block_projected_seed1,25152,11.669086,192,2026-05-15 18:48:34,1
block_projected_s1,n3pf_ms_block_projected_seed1,25344,30.814913,212,2026-05-15 18:48:35,1
block_projected_s1,n3pf_ms_block_projected_seed1,25644,11.343609,174,2026-05-15 18:48:36,1
block_projected_s1,n3pf_ms_block_projected_seed1,25880,10.948588,192,2026-05-15 18:48:37,1
block_projected_s1,n3pf_ms_block_projected_seed1,25912,11.834514,190,2026-05-15 18:48:37,1
block_projected_s1,n3pf_ms_block_projected_seed1,26108,11.950362,191,2026-05-15 18:48:38,1
block_projected_s1,n3pf_ms_block_projected_seed1,26568,9.609083,231,2026-05-15 18:48:39,1
block_projected_s1,n3pf_ms_block_projected_seed1,26616,13.694923,176,2026-05-15 18:48:40,1
block_projected_s1,n3pf_ms_block_projected_seed1,26680,11.88111,200,2026-05-15 18:48:40,1
block_projected_s1,n3pf_ms_block_projected_seed1,26756,-3.900535,35,2026-05-15 18:48:40,1
block_projected_s1,n3pf_ms_block_projected_seed1,26820,11.658496,178,2026-05-15 18:48:40,1
block_projected_s1,n3pf_ms_block_projected_seed1,27292,12.144009,181,2026-05-15 18:48:42,1
block_projected_s1,n3pf_ms_block_projected_seed1,27440,11.964672,190,2026-05-15 18:48:43,1
block_projected_s1,n3pf_ms_block_projected_seed1,27544,11.439336,181,2026-05-15 18:48:43,1
block_projected_s1,n3pf_ms_block_projected_seed1,27676,8.884568,230,2026-05-15 18:48:44,1
