training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_density,linear,medium,301,0.3787375415282392,0.4119601328903654,2.1821117785657167,1.979240674915716,1.5118949456864417,0.13256205800314283,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_density,sinusoidal_lateral,high,418,0.5095693779904307,0.5933014354066986,1.572456054058612,2.2862804125192127,1.5284183943670901,0.1325387173693217,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_density,sinusoidal_lateral,low,489,0.24539877300613497,0.294478527607362,2.6622443056507286,1.4313037724545568,1.521611679916733,0.10279150351744853,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_density,sinusoidal_lateral,medium,461,0.38177874186550975,0.41431670281995664,2.411496883557785,1.6784297589474664,1.5099474990704054,0.16248598963894967,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,accel_decel,high,726,0.2975206611570248,0.3402203856749311,2.711263368711218,1.9988931123722427,1.5496098655314485,0.10205663599525437,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,accel_decel,low,157,0.18471337579617833,0.2229299363057325,3.03712300994214,1.619666715528374,1.5440633486790263,0.1193628050861465,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,accel_decel,medium,570,0.20526315789473684,0.2789473684210526,2.6498701895448264,1.612655944661301,1.5714057625385753,0.10442283636841335,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,ar1_velocity,high,645,0.2589147286821705,0.2837209302325581,2.7391973550238307,1.9822773345447873,1.5473659073659616,0.1068764079622058,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,ar1_velocity,low,162,0.35185185185185186,0.4074074074074074,2.4073515752629366,1.6535937702914625,1.5499705458864754,0.13391650155370619,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,ar1_velocity,medium,547,0.3272394881170018,0.3857404021937843,2.685957745860043,1.4704191843729535,1.585688474627256,0.1254124206233722,0.0,nan
