checkpoint_label,training_seed_count,mean_success_rate,std_success_rate_across_training_seeds,min_success_rate,mean_collision_rate,std_collision_rate_across_training_seeds,max_collision_rate,collapse_warning_count
1000k,3,0.5403703703703704,0.10959709226865862,0.42111111111111105,0.45962962962962967,0.10959709226865857,0.5788888888888889,1
1500k,3,0.5492592592592593,0.11008601201402596,0.4222222222222222,0.4507407407407407,0.11008601201402599,0.5777777777777778,1
final,3,0.5588888888888889,0.05869990640832133,0.49111111111111105,0.44111111111111106,0.058699906408321255,0.5088888888888888,1
