repair_stage,active_only,samples,block,count,nan_count,inf_count,mean,std,l2_norm_mean,l2_norm_median,l2_norm_p95,min,max,p01,p05,p50,p95,p99
before_fix,1,120,obs_i_12,1440,0,0,0.1341481428652691,0.36295428358281573,1.327234580119451,1.279853880405426,1.7017205119132994,-0.8794038891792297,1.0,-0.7688299757242203,-0.6534714877605439,0.13783610612154007,0.7291775524616241,1.0
before_fix,1,120,z_i_64,7680,0,0,59249.530112089036,68739.0123341975,706188.3993140856,750265.625,796643.8468749999,0.0,269871.875,0.0,0.0,27741.287109375,178217.2343749999,261924.39796875
before_fix,1,120,delta_hat_9_before_scale,1080,0,0,-12647.752064776747,49938.49390308382,149758.77417211607,162105.5078125,172611.83046875,-143016.734375,56177.12890625,-142475.19890625,-134743.8828125,739.8797912597656,53729.98613281249,55912.736015625
before_fix,1,120,delta_hat_9_after_scale,1080,0,0,-2529.5504132739657,9987.698793769312,29951.754925570203,32421.1025390625,34522.366015625,-28603.34765625,11235.42578125,-28495.03986328125,-26948.77734375,147.97595977783203,10745.997216796874,11182.54689453125
before_fix,1,120,logvar_hat_9_clamped,1080,0,0,-4.8647369902443005,0.6822223364531335,14.661286866664886,15.0,15.0,-5.0,0.9634289741516113,-5.0,-5.0,-5.0,-5.0,-1.2336267745494827
before_fix,1,120,full_aug_obs,11280,0,0,40097.465963819515,63320.973184373564,706825.0095021089,750965.78125,797391.5343749999,-28603.34765625,269871.875,-16515.591484375,-5.0,0.5656859874725342,161542.99687499963,257472.73015625
after_fix,1,120,obs_i_12,1440,0,0,0.1341481428652691,0.36295428358281573,1.327234580119451,1.279853880405426,1.7017205119132994,-0.8794038891792297,1.0,-0.7688299757242203,-0.6534714877605439,0.13783610612154007,0.7291775524616241,1.0
after_fix,1,120,z_i_64,7680,0,0,1.5549468447696806,1.7474674837963469,18.412093853950502,18.433114051818848,22.375733280181883,0.0,9.24125862121582,0.0,0.0,1.0344045162200928,4.909302258491516,6.61432002067566
after_fix,1,120,delta_hat_9_before_scale,1080,0,0,1.140220790532314,2.163774652130325,7.030693721522888,7.331171035766602,9.875362777709961,-3.5255239009857178,8.581414222717285,-1.8515119087696075,-0.46983751356601716,0.11603067815303802,6.123555374145504,8.277799291610718
after_fix,1,120,delta_hat_9_after_scale,1080,0,0,0.22804415762136193,0.43275492954632583,1.4061387378101549,1.4662341475486755,1.9750725984573365,-0.7051047682762146,1.716282844543457,-0.37030237704515456,-0.09396750405430794,0.023206135258078575,1.224711096286773,1.6555598771572113
after_fix,1,120,logvar_hat_9_clamped,1080,0,0,-3.7039899672554046,1.5992481601301387,12.02044636408488,12.677409172058105,13.072296476364135,-5.0,0.9634289741516113,-5.0,-5.0,-4.96038818359375,-0.8440451860427861,-0.14637896597385378
after_fix,1,120,full_aug_obs,11280,0,0,0.743009186095068,2.184877405835277,22.116660674413044,22.295952796936035,25.8930926322937,-5.0,9.24125862121582,-5.0,-4.792017531394958,0.21768631041049957,4.492735934257505,6.194899125099176
