repair_stage,source,block,dim,count,nan_count,inf_count,mean,std,min,max,p01,p05,p50,p95,p99,scenario
reference,n1_train_raw,ego_current,0,228957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_flow_mixed
reference,n1_train_raw,ego_current,1,228957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_flow_mixed
reference,n1_train_raw,ego_current,2,228957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_flow_mixed
reference,n1_train_raw,ego_current,3,228957,0,0,-0.06347859062303339,0.9978632994066304,-0.9999998807907104,1.0,-0.9999998807907104,-0.999999463558197,-0.9997031092643738,0.9999983310699463,1.0,train_flow_mixed
reference,n1_train_raw,ego_current,4,228957,0,0,0.0007749860518468295,0.015450342022222624,-0.028936058282852173,0.028460737317800522,-0.028936058282852173,-0.02679889090359211,0.0005594394751824439,0.024363672360777855,0.028460737317800522,train_flow_mixed
reference,n1_train_raw,ego_current,5,228957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_flow_mixed
reference,n1_train_raw,ego_current,6,228957,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,train_flow_mixed
reference,n1_train_raw,ego_current,7,228957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_flow_mixed
reference,n1_train_raw,ego_current,8,228957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_flow_mixed
reference,n1_train_raw,ego_current,9,228957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_flow_mixed
reference,n1_train_raw,obs_current,0,228957,0,0,-0.03779362772951446,0.595925178080864,-1.1460696458816528,1.0738904476165771,-0.8995694541931152,-0.8268003821372986,-0.33452168107032776,0.8122673273086547,0.8931820487976074,train_flow_mixed
reference,n1_train_raw,obs_current,1,228957,0,0,0.0006911032290272995,0.23240305965732794,-0.6588070392608643,0.6538016200065613,-0.4487296414375305,-0.3749249815940857,0.001441714121028781,0.37604521512985223,0.45028032779693605,train_flow_mixed
reference,n1_train_raw,obs_current,2,228957,0,0,-0.0001980878810734155,0.05962439027330077,-0.2999981939792633,0.2999363839626312,-0.22132436454296112,-0.08513167053461074,-5.254745337879285e-05,0.08472340255975694,0.2245403492450714,train_flow_mixed
