repair_stage,scenario,episode_id,step,obstacle_slot,obstacle_id,motion_mode,threat_class,motion_mode_id,threat_class_id,history_valid_ratio,history_valid_ratio_bin,z_norm,nan_count,inf_count,delta_norm_1s,logvar_xy_1s,logvar_xy_raw_1s,projected_std_radial_1s,projected_std_relvel_1s,delta_norm_2s,logvar_xy_2s,logvar_xy_raw_2s,projected_std_radial_2s,projected_std_relvel_2s,delta_norm_4s,logvar_xy_4s,logvar_xy_raw_4s,projected_std_radial_4s,projected_std_relvel_4s
before_fix,eval_flow_id,0,0,0,0,sinusoidal_lateral,medium,1,1,0.05000000074505806,0_0.25,10.418055534362793,0,0,0.13074110448360443,-2.8699278831481934,-2.8699278831481934,0.23972605168819427,0.23051606118679047,0.19507183134555817,-1.4544624090194702,-1.4544624090194702,0.4801020622253418,0.5408174991607666,0.304421991109848,-0.441814661026001,-0.441814661026001,0.8859096765518188,1.2212809324264526
before_fix,eval_flow_id,0,0,1,1,sinusoidal_lateral,medium,1,1,0.05000000074505806,0_0.25,9.577122688293457,0,0,0.08012199401855469,-2.4338631629943848,-2.4338631629943848,0.2790204882621765,0.33236396312713623,0.22976219654083252,-1.2006375789642334,-1.2006375789642334,0.4926743507385254,0.7442317008972168,0.48271632194519043,-0.19248351454734802,-0.19248351454734802,0.8650206327438354,1.6382789611816406
before_fix,eval_flow_id,0,0,2,2,crossing_or_sudden_threat,high,4,2,0.05000000074505806,0_0.25,12.083342552185059,0,0,0.1360357701778412,-2.6169447898864746,-2.6169447898864746,0.32819312810897827,0.3486359119415283,1.038651943206787,-1.70956289768219,-1.70956289768219,0.4470784068107605,0.4579974114894867,2.7747485637664795,-0.8178607225418091,-0.8178607225418091,0.6121386885643005,0.5352808833122253
before_fix,eval_flow_id,0,0,3,3,sinusoidal_lateral,medium,1,1,0.05000000074505806,0_0.25,9.418672561645508,0,0,0.09172899276018143,-2.4047157764434814,-2.4047157764434814,0.30095046758651733,0.29591497778892517,0.12836194038391113,-1.0975396633148193,-1.0975396633148193,0.5864126086235046,0.686704695224762,0.03468944877386093,-0.1743881106376648,-0.1743881106376648,1.111255168914795,1.5293917655944824
before_fix,eval_flow_id,0,0,4,4,sinusoidal_lateral,medium,1,1,0.05000000074505806,0_0.25,10.196476936340332,0,0,0.11625342816114426,-2.8100709915161133,-2.8100709915161133,0.24542054533958435,0.23380905389785767,0.16859027743339539,-1.3761401176452637,-1.3761401176452637,0.5106663107872009,0.5595731735229492,0.07184763252735138,-0.3590562343597412,-0.3590562343597412,1.0094815492630005,1.299283742904663
before_fix,eval_flow_id,0,1,0,0,sinusoidal_lateral,medium,1,1,0.10000000149011612,0_0.25,1367108.75,0,0,12915.2880859375,-5.0,-500768.125,0.08208499848842621,0.08208499848842621,14854.7919921875,-5.0,-357382.21875,0.08208499848842621,0.08208499848842621,40147.96484375,-5.0,-218098.671875,0.08208499848842621,0.08208499848842621
before_fix,eval_flow_id,0,1,1,5,ar1_velocity,medium,3,1,0.05000000074505806,0_0.25,1367107.125,0,0,12915.15234375,-5.0,-500767.25,0.08208499848842621,0.08208499848842621,14854.3583984375,-5.0,-357381.625,0.08208499848842621,0.08208499848842621,40148.41015625,-5.0,-218098.296875,0.08208499848842621,0.08208499848842621
before_fix,eval_flow_id,0,1,2,6,crossing_or_sudden_threat,medium,4,1,0.05000000074505806,0_0.25,1367108.25,0,0,12915.2412109375,-5.0,-500767.40625,0.08208499848842621,0.08208499103784561,14854.673828125,-5.0,-357381.6875,0.08208499848842621,0.08208499103784561,40150.5,-5.0,-218097.65625,0.08208499848842621,0.08208499103784561
before_fix,eval_flow_id,0,1,3,7,accel_decel,high,2,2,0.05000000074505806,0_0.25,1367107.0,0,0,12915.21484375,-5.0,-500767.3125,0.08208499103784561,0.08208499848842621,14854.7314453125,-5.0,-357381.625,0.08208499103784561,0.08208499848842621,40148.0390625,-5.0,-218098.15625,0.08208499103784561,0.08208499848842621
before_fix,eval_flow_id,0,1,4,4,sinusoidal_lateral,medium,1,1,0.10000000149011612,0_0.25,1367107.625,0,0,12915.29296875,-5.0,-500767.8125,0.08208499848842621,0.08208499848842621,14854.685546875,-5.0,-357382.09375,0.08208499848842621,0.08208499848842621,40146.63671875,-5.0,-218098.9375,0.08208499848842621,0.08208499848842621
