split,samples,episodes,first_episode_id,last_episode_id,full_history_rate,replacement_boundary_nearby_rate,valid_rate_1s,valid_count_1s,valid_rate_2s,valid_count_2s,valid_rate_4s,valid_count_4s
train,228957,70,2,99,0.7188729761483598,0.49792319081748976,0.9129050374031067,209016,0.8428045511245728,192966,0.7053245902061462,161489
val,49599,15,0,96,0.7143692413153491,0.509042521018569,0.9124578833580017,45257,0.8411459922790527,41720,0.7005786299705505,34748
test,48096,15,1,90,0.7181678310046573,0.5051979374584165,0.9129241704940796,43908,0.8426480293273926,40528,0.704611599445343,33889
