stage,method_key,method,command,checkpoint,split,samples,out,out_npz,config,gpsi_checkpoint,gpsi_checkpoint_sha256,out_dir,train_steps,seed,n_envs,episodes,scenarios,eval_seed,attention_checkpoint
z_stats,z_norm,gpsi_full_z_norm_repaired,python scripts/compute_gpsi_z_stats.py --data-dir data/gpsi_head_a_v1 --checkpoint work_dirs/gpsi_heada_v1_nll/best.pth --out results/env_v2_phase_n3fz_noz_full_z_screen/tables/phase_n3fz_z_stats.csv --out-npz work_dirs/gpsi_heada_v1_nll/z_stats_train_split_n3fz_reference.npz --split train --max-samples 200000 --device cuda,work_dirs/gpsi_heada_v1_nll/best.pth,train,200000,results/env_v2_phase_n3fz_noz_full_z_screen/tables/phase_n3fz_z_stats.csv,work_dirs/gpsi_heada_v1_nll/z_stats_train_split_n3fz_reference.npz,,,,,,,,,,,
train,n3f_no_z_full,gpsi_no_z_full_1500k,python scripts/train_env_v2_gpsi_ppo_n3fz.py --config configs/env_v2_gpsi_heada_ppo_n3f_no_z_full.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0 --train-steps 1500000 --checkpoint-steps 250000 500000 1000000 1500000 --seed 0 --n-envs 4 --device cuda --heartbeat-seconds 30,,,,,,configs/env_v2_gpsi_heada_ppo_n3f_no_z_full.yaml,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0,1500000,0,4,,,,
train,z_l2_scale_4,gpsi_z_l2_scale_4_screen,python scripts/train_env_v2_gpsi_ppo_n3fz.py --config configs/env_v2_gpsi_heada_ppo_n3z_l2_scale4.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3z_l2_scale4_s0 --train-steps 500000 --checkpoint-steps 250000 500000 --seed 0 --n-envs 4 --device cpu --heartbeat-seconds 30,,,,,,configs/env_v2_gpsi_heada_ppo_n3z_l2_scale4.yaml,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,checkpoints/env_v2_gpsi_heada_ppo_n3z_l2_scale4_s0,500000,0,4,,,,
train,z_layernorm_alpha_0p5,gpsi_z_layernorm_alpha_0p5_screen,python scripts/train_env_v2_gpsi_ppo_n3fz.py --config configs/env_v2_gpsi_heada_ppo_n3z_layernorm_alpha0p5.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3z_layernorm_alpha0p5_s0 --train-steps 500000 --checkpoint-steps 250000 500000 --seed 0 --n-envs 4 --device cpu --heartbeat-seconds 30,,,,,,configs/env_v2_gpsi_heada_ppo_n3z_layernorm_alpha0p5.yaml,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,checkpoints/env_v2_gpsi_heada_ppo_n3z_layernorm_alpha0p5_s0,500000,0,4,,,,
eval,all,all,python scripts/eval_env_v2_gpsi_ppo_n3fz.py --result-dir results/env_v2_phase_n3fz_noz_full_z_screen --configs n3f_no_z_full z_l2_scale_4 z_layernorm_alpha_0p5 --eval-seed 1000 --num-episodes 50 --device cuda --scenarios eval_flow_id eval_flow_high_density eval_flow_high_speed eval_flow_high_threat eval_flow_mixed_ood eval_flow_sudden_threat --write-traces,,,,,,,,,,,,,50,"[""eval_flow_id"", ""eval_flow_high_density"", ""eval_flow_high_speed"", ""eval_flow_high_threat"", ""eval_flow_mixed_ood"", ""eval_flow_sudden_threat""]",1000,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip
