method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,linear,medium,386,0.2823834196891192,0.33678756476683935,2.6958921841765546,1.138529408619791,1.4119506620758555,0.18902510931652639,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,sinusoidal_lateral,high,637,0.29984301412872844,0.3328100470957614,2.860222271814638,1.8849692753193774,1.452049703622351,0.13933696960694095,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,sinusoidal_lateral,low,181,0.27071823204419887,0.3370165745856354,2.501709013127655,1.4318249871470556,1.4238093241802237,0.22243384999166455,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,sinusoidal_lateral,medium,556,0.23741007194244604,0.29676258992805754,2.93916692314904,1.5424684308826642,1.4313256241005958,0.16162167468820968,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,accel_decel,high,661,0.21331316187594554,0.22844175491679275,3.398028549612831,1.7365235154084293,1.406471199689943,0.14490364622691035,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,accel_decel,low,140,0.38571428571428573,0.44285714285714284,2.2636377186248344,1.7858908710885453,1.3958562269806862,0.1509188346697816,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,accel_decel,medium,441,0.15873015873015872,0.19727891156462585,3.3378225571513935,1.6163880170598641,1.440215298513166,0.12343412213177418,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,ar1_velocity,high,816,0.5073529411764706,0.5330882352941176,2.2026189677422985,2.04560190043708,1.5024674026770335,0.14957864272668409,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,ar1_velocity,low,214,0.2336448598130841,0.2757009345794392,3.0055563831636594,1.7830491838578995,1.4077472323290656,0.11405284317628106,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,ar1_velocity,medium,396,0.2222222222222222,0.2297979797979798,3.6948193808831746,1.3711609940240763,1.4449545241177384,0.12054737549675852,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,crossing_or_sudden_threat,high,359,0.233983286908078,0.28969359331476324,3.041389230343002,1.769744267106244,1.3796656944459527,0.20760328670014164,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,crossing_or_sudden_threat,low,25,0.28,0.36,2.099627301096916,2.393216177087445,1.3642192268371582,0.18526744306087495,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,crossing_or_sudden_threat,medium,229,0.37117903930131,0.4279475982532751,2.3699393538452123,2.0987978124150386,1.3186780923578938,0.18223590934120412,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,linear,high,552,0.33695652173913043,0.34782608695652173,3.5633905793800005,1.636188021694684,1.4284139966619187,0.14743792745908993,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,linear,low,114,0.06140350877192982,0.09649122807017543,3.8738022846610924,1.1030833715873483,1.4317833535503923,0.14130452182960876,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,linear,medium,284,0.4154929577464789,0.45774647887323944,2.7781084054444825,1.7378242495952114,1.428090126581595,0.16773139738681084,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,sinusoidal_lateral,high,700,0.32,0.34714285714285714,3.2376512067686,1.683102516178225,1.4194664302255426,0.14871934178834115,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,sinusoidal_lateral,low,157,0.17834394904458598,0.24203821656050956,2.8071969657377074,1.4560281664493675,1.5112464154601857,0.18425713678833786,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,sinusoidal_lateral,medium,529,0.24574669187145556,0.28166351606805295,3.186899630960239,1.5174095499510218,1.4672166485416867,0.14541810573147354,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,accel_decel,high,506,0.3241106719367589,0.36363636363636365,2.906161469885925,1.9210531475477222,1.522766838196238,0.10345624927468156,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,accel_decel,low,231,0.16883116883116883,0.1774891774891775,3.412229792509244,2.2040459342400207,1.4751167692147291,0.125195820255455,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,accel_decel,medium,626,0.3402555910543131,0.36261980830670926,2.66143849848409,2.2431183736939193,1.4597713859936299,0.12400781241180107,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,ar1_velocity,high,392,0.45918367346938777,0.5025510204081632,2.64550927832927,2.143816021876806,1.4796449378588978,0.13919100002623258,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,ar1_velocity,low,338,0.09467455621301775,0.10059171597633136,4.218566840693641,1.8442760382981152,1.4069885488092546,0.1198960861388164,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,ar1_velocity,medium,443,0.29571106094808125,0.309255079006772,3.3951751872850897,2.138324608334992,1.5530291373923455,0.09656220800232806,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,crossing_or_sudden_threat,high,143,0.27972027972027974,0.2867132867132867,3.1659520780602537,2.072019007693575,1.4816353700377725,0.12996679225324334,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,crossing_or_sudden_threat,low,31,0.06451612903225806,0.06451612903225806,5.6549816593047115,2.438000113518934,1.1995327434232157,0.19355042801508981,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,crossing_or_sudden_threat,medium,304,0.10197368421052631,0.11513157894736842,3.30414329030502,2.327031965052793,1.3770373593035496,0.11793302472582773,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,linear,high,278,0.420863309352518,0.4676258992805755,3.10977504189962,1.9768260459764952,1.501189454210748,0.11517280166995504,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,linear,low,345,0.09855072463768116,0.1072463768115942,4.353092997662885,1.4763151695174332,1.4065903901189998,0.12349283602223664,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,linear,medium,357,0.4005602240896359,0.4173669467787115,3.026107552325671,1.7714882475628544,1.5135851971053778,0.1396638716385812,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,sinusoidal_lateral,high,511,0.2759295499021526,0.2974559686888454,3.443891331968317,1.824872796099016,1.513879295431238,0.12009556128082108,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,sinusoidal_lateral,low,353,0.141643059490085,0.17563739376770537,3.7987377666089968,1.8024142029714094,1.4738949040853269,0.12287009243916709,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,sinusoidal_lateral,medium,486,0.3436213991769547,0.3683127572016461,3.2899262935982887,1.747302710525498,1.4920317777758272,0.14477839130896752,0.0
