method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,z_transform,z_l2_target_norm,z_layernorm_alpha,z_layernorm_eps,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,accel_decel,high,raw,nan,nan,nan,obs_i_12,0,5479,65748,0,0,1.4027997639562597,1.3751420974731445,1.889466381072998,2.427211284637451,0.8398005465865896,1.0892400503158568,1.3135490417480469
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,accel_decel,high,raw,nan,nan,nan,z_i_64_raw,0,5479,350656,0,0,26.46645099112839,26.09218978881836,40.58080940246582,45.6262092590332,9.107532736332145,13.5147066116333,15.194368362426758
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,accel_decel,high,raw,nan,nan,nan,z_i_64_after_constraint,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,accel_decel,high,raw,nan,nan,nan,delta_hat_9_after_scale,0,5479,49311,0,0,1.339762460747042,1.3310219049453735,1.976548743247985,3.052731513977051,1.0409612699593178,1.55716198682785,2.6688222885131836
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,accel_decel,high,raw,nan,nan,nan,logvar_hat_9_clamped,0,5479,49311,0,0,13.313114608807119,13.6989164352417,14.484615993499755,15.0,4.978099910376128,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,accel_decel,high,raw,nan,nan,nan,full_aug_obs,0,5479,164370,0,0,13.46170740663668,13.841510772705078,14.630098438262939,15.058954238891602,4.978099910376128,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,raw,nan,nan,nan,obs_i_12,0,2348,28176,0,0,1.4033447514197692,1.3801012635231018,1.8566659033298492,2.27482008934021,0.8444219453472904,1.0339536905288695,1.3173240423202515
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,raw,nan,nan,nan,z_i_64_raw,0,2348,150272,0,0,23.291820859990292,23.739450454711914,30.269785499572755,37.328582763671875,8.166097048600244,10.347212648391723,12.196407318115234
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,raw,nan,nan,nan,z_i_64_after_constraint,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,raw,nan,nan,nan,delta_hat_9_after_scale,0,2348,21132,0,0,1.2561639778036784,1.285778522491455,1.6549990236759187,2.282804250717163,0.9632038296576354,1.2938074231147767,1.7540128231048584
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,raw,nan,nan,nan,logvar_hat_9_clamped,0,2348,21132,0,0,12.98656322947962,13.357155799865723,14.369313669204711,14.664654731750488,4.9698559106716305,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,raw,nan,nan,nan,full_aug_obs,0,2348,70440,0,0,13.128979901641962,13.495491981506348,14.481814861297607,14.759288787841797,4.9698559106716305,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,raw,nan,nan,nan,obs_i_12,0,9830,117960,0,0,1.4282310181267992,1.4034435153007507,1.9414760649204252,2.3782482147216797,0.8357594168077044,1.0270889818668365,1.4267539978027344
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,raw,nan,nan,nan,z_i_64_raw,0,9830,629120,0,0,28.57517689950347,27.75606060028076,42.77648372650146,49.35636901855469,9.784665736928961,14.247158813476561,16.528284072875977
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,raw,nan,nan,nan,z_i_64_after_constraint,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,raw,nan,nan,nan,delta_hat_9_after_scale,0,9830,88470,0,0,1.3670163338062176,1.332280158996582,2.1942556619644167,3.119818687438965,1.0653376369489809,1.7547699928283684,2.7572407722473145
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,raw,nan,nan,nan,logvar_hat_9_clamped,0,9830,88470,0,0,13.481574636800849,13.784098148345947,14.52664008140564,15.0,4.9910286314004795,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,raw,nan,nan,nan,full_aug_obs,0,9830,294900,0,0,13.635520112841927,13.945832252502441,14.664160251617432,15.11752986907959,4.9910286314004795,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,linear,high,raw,nan,nan,nan,obs_i_12,0,4822,57864,0,0,1.3768456012492654,1.3664059042930603,1.8272654592990876,2.230985164642334,0.8275908970056555,1.0005654036998748,1.2572052478790283
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,linear,high,raw,nan,nan,nan,z_i_64_raw,0,4822,308608,0,0,27.115592052114796,25.415696144104004,42.11917324066161,49.961708068847656,9.379075362740686,14.0100426197052,16.305456161499023
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,linear,high,raw,nan,nan,nan,z_i_64_after_constraint,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,linear,high,raw,nan,nan,nan,delta_hat_9_after_scale,0,4822,43398,0,0,1.3811389125036853,1.3416723012924194,2.1931432723999014,2.9831936359405518,1.0729689652973973,1.6777941405773162,2.5593109130859375
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,linear,high,raw,nan,nan,nan,logvar_hat_9_clamped,0,4822,43398,0,0,13.252842875844163,13.625312805175781,14.484735679626464,15.0,4.9785163213187165,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,linear,high,raw,nan,nan,nan,full_aug_obs,0,4822,144660,0,0,13.404272317194138,13.774327754974365,14.626607322692871,15.091246604919434,4.9785163213187165,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,high,raw,nan,nan,nan,obs_i_12,0,6787,81444,0,0,1.4297597039794472,1.4137508869171143,1.9111807703971861,2.35719633102417,0.8526394656239509,1.0753841042518615,1.383750081062317
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,high,raw,nan,nan,nan,z_i_64_raw,0,6787,434368,0,0,26.944833254838738,26.374195098876953,39.47105331420898,48.27656936645508,9.214534118914264,13.316215229034423,15.742218017578125
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,high,raw,nan,nan,nan,z_i_64_after_constraint,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,high,raw,nan,nan,nan,delta_hat_9_after_scale,0,6787,61083,0,0,1.3437607343232745,1.3142213821411133,2.0835625886917115,3.3095195293426514,1.045208407433121,1.6573464035987853,2.9400715827941895
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,high,raw,nan,nan,nan,logvar_hat_9_clamped,0,6787,61083,0,0,13.240395289519864,13.640995025634766,14.46080722808838,15.0,4.985171056380412,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,high,raw,nan,nan,nan,full_aug_obs,0,6787,203610,0,0,13.394142563781806,13.790396690368652,14.594921875,15.107382774353027,4.985171056380412,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,medium,raw,nan,nan,nan,obs_i_12,0,279,3348,0,0,1.3748309937001983,1.378867745399475,1.7584669947624205,2.1836531162261963,0.7301547730268116,0.8921610116958607,1.2388042211532593
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,medium,raw,nan,nan,nan,z_i_64_raw,0,279,17856,0,0,20.59780721083337,19.278715133666992,28.996571159362787,36.16163635253906,7.288986393200454,10.363383102416991,12.189361572265625
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,medium,raw,nan,nan,nan,z_i_64_after_constraint,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
