method_key,method,checkpoint,checkpoint_step,checkpoint_label,seed,scenario,episode_id,episode_seed,success,collision,near_miss,mean_min_distance,episode_min_distance,episode_length,progress,planned_cpa,planned_ttc,threat_class,threat_motion_mode,threat_valid_rate,replacement_count,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,raw_min_predicted_cpa,action_norm,action_delta,no_response_rate,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,0,1000,0,1,0,5.891641594323457,0.3546156585216522,102,0.9565095974838294,1.1327958661632034,4.0323812495870035,high,ar1_velocity,1.0,28,21.907169449708178,0.43137254901960786,0.46078431372549017,3.2198141104925204,1.5355689490542692,0.10467992450439316,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,1,1001,0,1,0,5.001075723645639,0.35689255595207214,98,0.9792386475814413,0.42009285209787633,3.3344509451052775,high,crossing_or_sudden_threat,1.0,45,22.672495811707947,0.3163265306122449,0.32653061224489793,3.27148459725348,1.478636724608285,0.12353165195874717,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,2,1002,1,0,1,5.449511195483961,0.9159820675849915,114,0.9890233626558966,0.7718971143321147,7.736874042231113,high,sinusoidal_lateral,1.0,45,42.933923590937646,0.21929824561403508,0.2807017543859649,3.2576032202494773,1.5166564547179038,0.10096777559936113,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,3,1003,0,1,0,4.92770632974103,0.34046703577041626,117,0.9833424512077781,0.3849416528592379,7.250236670762824,high,accel_decel,1.0,37,22.683585139175026,0.3247863247863248,0.3504273504273504,2.8625757123232205,1.4505510671525939,0.14081074317726186,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,4,1004,0,1,0,5.956357633025901,0.6104480624198914,103,0.9654901770752394,0.5011601019873878,6.599704261184773,high,sinusoidal_lateral,1.0,42,20.81709401549174,0.30097087378640774,0.30097087378640774,3.489375272119255,1.5164423949510148,0.075094580541826,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,5,1005,1,0,1,5.1284718464721335,0.6939808130264282,110,0.979509163195003,1.6341328738474006,4.7796227159303735,medium,accel_decel,1.0,34,42.60089974226868,0.32727272727272727,0.32727272727272727,3.1023027858612213,1.4950180606408552,0.10803479740226811,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,6,1006,0,1,0,4.935574950220493,0.331435889005661,104,0.9775228119601603,0.7494943267895304,8.442153103359518,high,sinusoidal_lateral,1.0,37,22.60611476544369,0.34615384615384615,0.3557692307692308,3.1081123306827907,1.4518843688643897,0.10319471267016175,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,7,1007,0,1,0,7.973077269604332,0.5132181644439697,95,0.909588643194916,0.4853520781941787,6.980813294716407,high,linear,1.0,31,20.229489067025874,0.2736842105263158,0.28421052631578947,5.101977457655104,1.537855308934262,0.07520319188111707,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,8,1008,1,0,1,5.793585032224655,1.4727504253387451,104,0.9858438184692679,1.99654496555132,7.832796382757676,medium,linear,1.0,31,42.88666939276041,0.19230769230769232,0.23076923076923078,4.199003804188508,1.5349594675577605,0.08694346600140516,0.0,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,0,eval_flow_id,9,1009,0,1,0,7.2752958898302875,0.160980224609375,79,0.7687063286085047,0.43956997825885463,7.49242013096209,high,accel_decel,1.0,39,13.771172568606405,0.12658227848101267,0.13924050632911392,5.114077798951464,1.4655329834056805,0.09782844961066789,0.0,0
