method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,accel_decel,58,0.5,0.5,0.4482758620689655,0.9524958576596134,4.94556150887613,0.7411091966104919,107.24137931034483,31.453454590255177,0.27975145221067305,0.3153971497971203,1.4633319088666523,0.13091051694424458,0.0,3.0755191565125615,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,ar1_velocity,85,0.6705882352941176,0.32941176470588235,0.6470588235294118,0.9631134074680786,4.837963962723243,0.838694269341581,112.4235294117647,35.29721115874088,0.29512683322659505,0.32809677214333943,1.4545727744142127,0.14633787528763534,0.0,3.028785709542784,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,crossing_or_sudden_threat,49,0.6938775510204082,0.30612244897959184,0.673469387755102,0.9679373920709071,4.787470034316571,0.8624982973750757,111.44897959183673,35.95847287693267,0.2948400913695428,0.326871570915852,1.4584785716507827,0.13869812959565786,0.0,2.9174335023900735,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,linear,36,0.5277777777777778,0.4722222222222222,0.4444444444444444,0.9379613019678339,4.94180794235699,0.791070549438397,108.19444444444444,31.654515808141767,0.31006394660861797,0.340087754511754,1.4800194501351767,0.13431979552959838,0.0,2.9719769336006374,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,sinusoidal_lateral,72,0.6111111111111112,0.3888888888888889,0.5972222222222222,0.9564058537281915,4.839201176619278,0.8177722905659013,111.04166666666667,33.88430123301541,0.2848422081555111,0.32035872987252617,1.4624677829167132,0.13858637305721533,0.0,2.975696882154673,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1000k,1000000,1000k,accel_decel,73,0.3835616438356164,0.6164383561643836,0.3561643835616438,0.9357384132872475,5.137684825694057,0.7070923451691458,98.42465753424658,28.561622538829763,0.2463690930434545,0.2798469572284269,1.558613306156523,0.06342402855575659,0.0,3.21513147869908,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1000k,1000000,1000k,ar1_velocity,69,0.2753623188405797,0.7246376811594203,0.2318840579710145,0.9136256579367065,4.990065480777757,0.6505694319156633,95.5072463768116,25.549260285225888,0.22984445977863185,0.26259723064800805,1.5635714430358496,0.06051036969889593,0.0,3.188868862336849,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1000k,1000000,1000k,crossing_or_sudden_threat,49,0.32653061224489793,0.673469387755102,0.2653061224489796,0.9349060539598439,5.17476590527157,0.6925148903107157,98.14285714285714,27.514093208776373,0.22994404657335085,0.26115945694419757,1.5585154064542044,0.06077598016681746,0.0,3.2950902258497665,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1000k,1000000,1000k,linear,43,0.18604651162790697,0.813953488372093,0.16279069767441862,0.9370737874844268,4.96605542872097,0.5943562929020372,96.76744186046511,24.71756923778055,0.2732557639313527,0.3009727839078058,1.5688917910825517,0.05848124715655738,0.0,3.0757959547343563,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1000k,1000000,1000k,sinusoidal_lateral,66,0.21212121212121213,0.7878787878787878,0.16666666666666666,0.9295846713677316,5.0332462524900405,0.6346984092484821,96.56060606060606,24.99740433178577,0.26472303946633946,0.29987848675971895,1.5619245072652674,0.05991142070290441,0.0,3.0980268063918572,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1500k,1500000,1500k,accel_decel,68,0.47058823529411764,0.5294117647058824,0.39705882352941174,0.935109939875987,5.225729854354546,0.7667199389680344,108.25,30.469317771615426,0.25581348206872073,0.2916990401905655,1.560720888513813,0.0948684638749403,0.0,3.236876597043602,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1500k,1500000,1500k,ar1_velocity,82,0.5,0.5,0.4268292682926829,0.9496928351295033,5.402166841794319,0.7393200124909238,107.34146341463415,31.465980853031933,0.24464439361662735,0.27664357728365974,1.557585607555766,0.08694507819187049,0.0,3.4867967072903734,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1500k,1500000,1500k,crossing_or_sudden_threat,45,0.4444444444444444,0.5555555555555556,0.4222222222222222,0.9568511166961227,5.347050477360183,0.7245328929689195,112.62222222222222,30.626547811360393,0.26190688643250976,0.29341884677419516,1.561679890509429,0.09900357124610439,0.0,3.401806741317801,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1500k,1500000,1500k,linear,33,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.9314910284982442,5.302366811985078,0.6510155106132681,107.27272727272727,28.215137999041243,0.2939320697485565,0.328446924949882,1.5632452163142876,0.096488210668463,0.0,3.117018177371954,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1500k,1500000,1500k,sinusoidal_lateral,72,0.5,0.5,0.4444444444444444,0.9383844555439542,5.21320418727432,0.7500039899928702,107.30555555555556,31.098941927698384,0.26332150474542737,0.3021008503625613,1.5636495987729426,0.09117864317796026,0.0,3.263814945975655,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,accel_decel,59,0.3050847457627119,0.6949152542372882,0.2542372881355932,0.9097877395444767,5.101996604081695,0.6818639252145412,94.08474576271186,26.143986504954242,0.28283152794201677,0.3170332813712447,1.4688947990127947,0.07688259744806832,0.0,3.1046439700952915,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,ar1_velocity,81,0.2962962962962963,0.7037037037037037,0.18518518518518517,0.9280485989717925,5.028788097519549,0.7254492300160137,95.93827160493827,26.554450053711218,0.26128685249171313,0.29773834862208115,1.466798047982294,0.07730340453226511,0.0,3.0443070665521654,0
