epoch,train_loss,train_mse,train_smoothl1,train_nll,train_mean_logvar,train_min_logvar,train_max_logvar,val_loss,val_mse,val_smoothl1,val_nll,val_mean_logvar,val_min_logvar,val_max_logvar,zero_val_mse
1,0.07291518427830722,0.20442655642649957,0.07291518427830722,0.0,-0.05749252742056602,-2.108666540422876,1.8131643992050417,0.06352078116365842,0.1761700073067023,0.06352078116365842,0.0,-0.05515733634938999,-1.9281887570206,1.6286610900139322,0.45815154031574173
2,0.054966231741543324,0.14228287661847258,0.054966231741543324,0.0,-0.060743384661951234,-2.088179402053356,1.787347249686718,0.05250167721236239,0.13006756211421927,0.05250167721236239,0.0,-0.048743625912739307,-1.7593789684529206,1.6227909034612227,0.45815154031574173
3,0.04752407838324351,0.11705382933307971,0.04752407838324351,0.0,-0.03348421875437323,-1.7564271576702595,1.7267065894390856,0.047881699794409226,0.11635519533741231,0.047881699794409226,0.0,-0.017477466192628657,-1.3973792134499063,1.629084115125695,0.45815154031574173
4,0.04392170185954975,0.10733921190590731,0.04392170185954975,0.0,-0.008997473485911607,-1.59672890071358,1.7781693626727377,0.045927067458325505,0.11171072478197058,0.045927067458325505,0.0,-0.0024136707497931713,-1.3538212837005148,1.5554006537612604,0.45815154031574173
5,0.041924198590485115,0.10198742596964751,0.041924198590485115,0.0,0.0003468297486181525,-1.5725988852126258,1.8099159454660756,0.04492856478508638,0.10936491632339906,0.04492856478508638,0.0,-0.0005393113180096927,-1.3833436552359133,1.686376793043954,0.45815154031574173
6,0.040583174575918486,0.09845292132480868,0.040583174575918486,0.0,0.0024437155281589185,-1.569015630121742,1.86293643659779,0.04474559145010248,0.10886059100834691,0.04474559145010248,0.0,0.003533863176221066,-1.3815031319248432,1.6651211904019725,0.45815154031574173
7,0.03939258689726038,0.09528192927661751,0.03939258689726038,0.0,0.003637174651040758,-1.5926832077758653,1.9042032323777676,0.04400837425218553,0.10670191634978567,0.04400837425218553,0.0,0.005874635784753731,-1.3794326198344329,1.6933823726615127,0.45815154031574173
8,0.03849530065365668,0.09278650901147298,0.03849530065365668,0.0,0.004356727880674173,-1.593085984566382,1.8895565154297012,0.04379151419413333,0.10641725817505195,0.04379151419413333,0.0,0.005126789308651868,-1.368635673912204,1.6556520899947809,0.45815154031574173
9,0.03735357377445325,0.0896960380487144,0.03735357377445325,0.0,0.00040042871509017786,-1.5888899128351892,1.8576867463333266,0.04367041876729654,0.10597392065184456,0.04367041876729654,0.0,0.003249896591652793,-1.333831643571659,1.6891343593597412,0.45815154031574173
10,0.03643843312082546,0.08717321454813438,0.03643843312082546,0.0,-7.668268049850926e-05,-1.5730932503938675,1.8245221376419067,0.043429981346945375,0.10542503326218955,0.043429981346945375,0.0,0.0007473202080736697,-1.3250322974458033,1.5783475880720177,0.45815154031574173
11,0.03565038157726771,0.0850127622751253,0.03565038157726771,0.0,-0.0024923678974784836,-1.5551082438656263,1.8011950185256345,0.04379661168370928,0.106678698135882,0.04379661168370928,0.0,-0.004917341373287372,-1.330699857400388,1.577020881127338,0.45815154031574173
12,0.03467932286938386,0.08237287146039307,0.03467932286938386,0.0,-0.0017379367572272844,-1.5477149720702852,1.7953115520732743,0.04396537569712619,0.10662765679310779,0.04396537569712619,0.0,-0.004876714616070136,-1.262312797867522,1.5293612869418398,0.45815154031574173
13,0.03363287477155349,0.07960624008306436,0.03363287477155349,0.0,-0.004629749020263522,-1.489708379975387,1.7640896333115441,0.04427188133098641,0.10758253392212246,0.04427188133098641,0.0,-0.007117552256891124,-1.2977062244804538,1.574706770935837,0.45815154031574173
14,0.03269970123489786,0.07705374087007451,0.03269970123489786,0.0,-0.004363481258906177,-1.488868709653616,1.7408859681870257,0.04456571755664689,0.10794553517991183,0.04456571755664689,0.0,-0.004368196591100541,-1.316927364894322,1.5795587739165948,0.45815154031574173
15,0.03183937855231177,0.0748119086326499,0.03183937855231177,0.0,-0.006905948690635861,-1.4963529902909483,1.717541256653411,0.044550711403087695,0.10855461276915608,0.044550711403087695,0.0,-0.004306619654276541,-1.2658672077315194,1.5410843260434208,0.45815154031574173
16,0.03090046867561926,0.07230288028118334,0.03090046867561926,0.0,-0.006603525977717644,-1.4808185201670443,1.7267438141363007,0.04504736087151936,0.11005286902797465,0.04504736087151936,0.0,-0.007038267869166721,-1.299873706029386,1.5412107657413094,0.45815154031574173
17,0.029902220761869103,0.06968900054094515,0.029902220761869103,0.0,-0.009653427577307281,-1.481583012001855,1.6957333380622523,0.04519384076856837,0.11040346940257112,0.04519384076856837,0.0,-0.00723144378281752,-1.3075323506277434,1.5197728118117975,0.45815154031574173
18,0.028988612707637782,0.06730607441360396,0.028988612707637782,0.0,-0.009846911128014264,-1.4643353154616696,1.6831247976848058,0.045909885925297836,0.11251706607183631,0.045909885925297836,0.0,-0.008003946847113684,-1.2767025828361511,1.5248312536551027,0.45815154031574173
19,0.027992704866587052,0.06475772555651409,0.027992704866587052,0.0,-0.009607629679002068,-1.4674917592533998,1.6634714944022042,0.04628892406365093,0.1132618535538109,0.04628892406365093,0.0,-0.008740433494142276,-1.2981496319478871,1.5115320195957107,0.45815154031574173
20,0.027247421501670033,0.06281026116838413,0.027247421501670033,0.0,-0.009318074758474333,-1.457070738609348,1.6777771333498614,0.04713688136971727,0.11587554376040186,0.04713688136971727,0.0,-0.009980721630830774,-1.3019649301256453,1.511116465743707,0.45815154031574173
